Question & Options,Correct Answer
"What is the main topic of discussion depicted in the film 'My Name Is Khan'?
Options:
A. Khan
B. Islam
C. Discrimination
D. Love",Islam
"What embodies the essence and narrative of the film 'My Name Is Khan'?
Options:
A. Khan
B. My Name Is Khan
C. Spirit of the film and story
D. The title of the film",Spirit of the film and story
"Who is the leading actor in the film 'My Name Is Khan'?
Options:
A. Khan
B. Shah Rukh Khan
C. Amitabh Bachchan
D. Salman Khan",Shah Rukh Khan
"Who is the female lead in the film 'My Name Is Khan'?
Options:
A. Shah Rukh Khan
B. Kajol
C. Rani Mukerji
D. Deepika Padukone",Kajol
"Which production company was involved in handling the production and distribution of the film that features the lead character named Khan?
Options:
A. Khan Productions
B. Fox Star Studios
C. Bollywood Films
D. Star Movies",Fox Star Studios
"Which entity was involved in the distribution of the film that features the lead character named Khan?
Options:
A. Khan
B. My Name Is Khan
C. Abu Dhabi-based Image Nation
D. Shah Rukh Khan",Abu Dhabi-based Image Nation
"What is the lead character's name in the film titled 'My Name Is Khan'?
Options:
A. Khan
B. Rizwan
C. Rahul
D. Aamir",Khan
"What was the estimated budget for the film 'My Name Is Khan'?
Options:
A. ₹300 million
B. ₹550 million
C. ₹800 million
D. ₹1 billion",₹550 million
"Who is the lead actor in the film 'My Name Is Khan'?
Options:
A. Khan
B. Shah Rukh Khan
C. Aamir Khan
D. Salman Khan",Shah Rukh Khan
"Who confirmed her presence in the film titled 'My Name Is Khan'?
Options:
A. Shah Rukh Khan
B. Kajol
C. Rani Mukerji
D. Priyanka Chopra",Kajol
"What was the filming approach of 'My Name Is Khan' during the 2009 swine flu pandemic?
Options:
A. Publicly
B. Openly
C. Secretly
D. With great fanfare",Secretly
"What is the name of the lead character in the film that was shot at Film City?
Options:
A. Khan
B. Rizwan
C. Rahul
D. Aamir",Khan
"What marked the end of the production process for the film titled 'My Name Is Khan'?
Options:
A. The lead character's name
B. The final schedule
C. The release date
D. The filming location",The final schedule
"What main topic of discussion did Karan Johar choose to depict in the movie *My Name Is Khan*?
Options:
A. english-language dialogues
B. Hinduism
C. Islam
D. Christianity",Islam
"What aspect of 'My Name Is Khan' reflects the essence of the film and story as envisioned by its creator?
Options:
A. english-language dialogues
B. the title of the film
C. the cinematography
D. the soundtrack",the title of the film
"Who is the leading actor that makes his Hollywood debut in the film *My Name Is Khan*?
Options:
A. Amitabh Bachchan
B. Shah Rukh Khan
C. Salman Khan
D. Aamir Khan",Shah Rukh Khan
"Who is the female lead in the film 'My Name Is Khan' and also makes her Hollywood debut?
Options:
A. Shah Rukh Khan
B. Kajol
C. Priyanka Chopra
D. Deepika Padukone",Kajol
"Which entity was involved in the production and distribution of the film that features English-language dialogues?
Options:
A. Fox Star Studios
B. Warner Bros.
C. Universal Pictures
D. Columbia Pictures",Fox Star Studios
"Which entity was involved in the distribution of *My Name Is Khan* after the casting of Shah Rukh Khan and Kajol?
Options:
A. english-language dialogues
B. abu dhabi-based image nation
C. Bollywood Film Company
D. Yash Raj Films",abu dhabi-based image nation
"Which entity was involved in the distribution of the film 'My Name Is Khan' nine months after its release?
Options:
A. english-language dialogues
B. hong kong-based huaxia film distribution
C. Bollywood
D. Hollywood",hong kong-based huaxia film distribution
"What was the estimated budget for the film that features english-language dialogues?
Options:
A. ₹450 million
B. ₹550 million
C. ₹650 million
D. ₹750 million",₹550 million
"Who starred in the film *My Name Is Khan*, which features English-language dialogues?
Options:
A. Amitabh Bachchan
B. Shah Rukh Khan
C. Salman Khan
D. Aamir Khan",Shah Rukh Khan
"Which actress confirmed her presence in the film *My Name Is Khan*?
Options:
A. Deepika Padukone
B. Kareena Kapoor
C. Kajol
D. Priyanka Chopra",Kajol
"What type of dialogues were primarily used in the filming of 'My Name Is Khan' which was done secretly to avoid public attention?
Options:
A. Hindi-language dialogues
B. english-language dialogues
C. Spanish-language dialogues
D. French-language dialogues",english-language dialogues
