Question,Answer
Did Hans Zimmer compose the score for Dragonball Evolution: Original Motion Picture Soundtrack?,no
Was the score for Dragonball Evolution: Original Motion Picture Soundtrack composed by Brian Tyler and recorded with an 82-piece ensemble of the Hollywood Studio Symphony?,yes
"""Was the 'Dragonball Evolution: Original Motion Picture Soundtrack' released by Disney Music Group in 2009?""",no
"""Was the 'Dragonball Evolution: Original Motion Picture Soundtrack' released by Varèse Sarabande in the United States?""",yes
"[""Is the song 'Worked Up' by Brian Anthony absent from the Dragonball Evolution: Original Motion Picture Soundtrack?""]",no
"[""Is Brian Anthony's remixed song 'Worked Up' featured on the Dragonball Evolution: Original Motion Picture Soundtrack?""]",yes
"""Is the theme song for Dragonball Evolution 2009 performed by an American artist?""",no
"""Is the song 'Rule' by Ayumi Hamasaki featured on the Dragonball Evolution 2009: Original Motion Picture Soundtrack?""",yes
"""Is the soundtrack for the movie 'Dragonball Evolution 2009' unrelated to the film itself?""",no
"""Does 'Dragonball Evolution: Original Motion Picture Soundtrack' refer to the soundtrack of the movie 'Dragonball Evolution 2009'?""",yes
