Question & Options,Correct Answer
"In the movie 'Murder 2' (2011), which of the following statements about the relationship between Emraan Hashmi's character and Priya are true?
Options:
A. A. Emraan Hashmi's character is named Arjun Bhagawat.
B. B. Priya is portrayed by Jacqueline Fernandez.
C. C. Arjun Bhagawat is married to Priya.
D. D. Arjun Bhagawat and Priya are in a casual relationship.","A, B, D"
"In the movie 'Murder 2' (2011), which of the following statements about the characters Arjun Bhagawat and Dheeraj Pandey are true?
Options:
A. A. Arjun Bhagawat is a police officer.
B. B. Dheeraj Pandey is a former associate of Arjun.
C. C. Dheeraj Pandey is a serial killer.
D. D. Arjun Bhagawat is a serial killer.","A, B, C"
"In the movie 'Murder 2' (2011), which of the following characters is associated with Arjun Bhagawat in his quest to find missing hookers?
Options:
A. Reshma
B. Sulagna Panigrahi
C. Arjun Bhagawat
D. Inspector Kabir","Reshma, Sulagna Panigrahi"
"In the movie 'Murder 2' (2011), which of the following statements are true regarding Dheeraj Pandey's actions towards Reshma?
Options:
A. A. Dheeraj Pandey pretends to be a customer.
B. B. Reshma is a detective investigating Dheeraj.
C. C. Dheeraj calls hookers, including Reshma, before murdering them.
D. D. Reshma is one of Dheeraj's victims.","A, C, D"
"In the movie 'Murder 2' (2011), which of the following statements are true regarding the characters Nirmala Pandit and Dheeraj Pandey?
Options:
A. Nirmala Pandit is Dheeraj's mentor.
B. Dheeraj Pandey is killed by Nirmala Pandit.
C. Nirmala Pandit is killed by Dheeraj Pandey.
D. Dheeraj Pandey is a detective.","Nirmala Pandit is Dheeraj's mentor., Nirmala Pandit is killed by Dheeraj Pandey."
"In the movie 'Murder 2' (2011), which of the following statements are true regarding the character of Commissioner Ahmed Khan as portrayed by Bikramjeet Kanwarpal?
Options:
A. A. Commissioner Ahmed Khan is responsible for investigating the murder case.
B. B. Bikramjeet Kanwarpal plays the role of the murderer.
C. C. Commissioner Ahmed Khan collaborates with the main protagonist to solve the case.
D. D. The character played by Bikramjeet Kanwarpal is a police commissioner.","A, C, D"
"In the movie 'Murder 2' (2011), which of the following statements about the character Inspector Sadaa and actor Sudhanshu Pandey are correct?
Options:
A. Sudhanshu Pandey portrays the character Inspector Sadaa.
B. Inspector Sadaa is a villain in the movie.
C. Inspector Sadaa assists the protagonist, Arjun.
D. Sudhanshu Pandey is known for his role in a romantic comedy.","Sudhanshu Pandey portrays the character Inspector Sadaa. | Inspector Sadaa assists the protagonist, Arjun."
"In the movie 'Murder 2' (2011), which characters are related to Dheeraj Pandey's father?
Options:
A. Dheeraj Pandey
B. Abhijit Lahiri
C. Inspector Ranjit
D. Maya","Dheeraj Pandey, Abhijit Lahiri"
"In the movie 'Murder 2' (2011), which of the following statements about the cast are true?
Options:
A. Amardeep Jha plays the role of Reshma's mother.
B. Reshma's mother is a key character in the film.
C. Amardeep Jha is known for his role in another popular movie.
D. Reshma's mother is involved in the main plot of the movie.","Amardeep Jha plays the role of Reshma's mother., Reshma's mother is a key character in the film., Reshma's mother is involved in the main plot of the movie."
"In the movie 'Murder 2' (2011), which of the following statements about the cast are true?
Options:
A. Dr. Sania is a psychiatrist in the film.
B. Shweta Kawatra plays the role of Dr. Sania.
C. Shweta Kawatra is the main lead of the movie.
D. Dr. Sania is portrayed by Shweta Kawatra in a special appearance.","Dr. Sania is a psychiatrist in the film., Shweta Kawatra plays the role of Dr. Sania., Dr. Sania is portrayed by Shweta Kawatra in a special appearance."
"In the movie 'Murder 2' (2011), which of the following characters are portrayed by Jhuma Biswas?
Options:
A. Hostel Warden
B. Detective
C. Victim
D. Witness",Hostel Warden
"In the movie 'Murder 2' (2011), which of the following statements are true regarding the character played by Santosh Sahu?
Options:
A. A) Santosh Sahu portrays a male prostitute.
B. B) Santosh Sahu is the main antagonist of the film.
C. C) The character played by Santosh Sahu has a significant role in the plot.
D. D) Santosh Sahu's character is involved in a romantic relationship.","A, C"
"In the movie 'Murder 2' (2011), which characters are involved in the song 'Aa Zara' and its storyline?
Options:
A. Jyoti
B. Dheeraj
C. Yana Gupta
D. Murderer","Jyoti, Yana Gupta"
