Question,Answer
"Is Amitabh Bachchan the leader of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Raghu aka ""Guruji"" serve as the guru of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Ranbir Kapoor not playing the role of Shiva in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Shiva possess the Agniastra in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is nivaan gupta the older version of baby Shiva in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Is baby Shiva portrayed as the younger version of Shiva in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
Is Alia Bhatt the main character in Brahmāstra: Part One – Shiva released in 2022?,NO
Is Isha Chatterjee Shiva's girlfriend in Brahmāstra: Part One – Shiva released in 2022?,YES
"Is Mouni Roy the main protagonist in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Junoon play a significant role in the plot of ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Anish Shetty a member of the Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Anish Shetty wield the Nandi Āstra in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Dimple Kapadia a member of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Is Savitri Devi portrayed by Dimple Kapadia in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
Is gurfateh pirzada a veteran member of Brahmānsh in the movie Brahmāstra: Part One – Shiva released in 2022?,NO
Does Sher wield the Nāg Dhanush in the movie Brahmāstra: Part One – Shiva released in 2022?,YES
"Is stanzin delek a veteran member of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Tensing wield the Pawanāstra in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Lehar Khan a new recruit of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Raveena wield the Gajāstra in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Aditi Joshi a new recruit of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Rani possess Āyu Madrikā in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Markand Soni a new recruit of Brahmānsh in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Santha wield the Chakravathāstra (Dagger of Resurrection) in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Saurav Gurjar a main character in ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Is Zor a henchman of Junoon in ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Is Raftaar a main character in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Raftaar serve as a henchman in ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"In the movie ""Brahmāstra: Part One – Shiva"" released in 2022, are Chaitanya Sharma and Saqib Ayub portrayed as enemies of Shiva?",NO
"In the movie ""Brahmāstra: Part One – Shiva"" released in 2022, are Chaitanya Sharma and Saqib Ayub portrayed as friends of Shiva?",YES
"In the movie ""Brahmāstra: Part One – Shiva"" released in 2022, are Rashi Mal and Rohan Rustomji depicted as siblings of Isha?",NO
"In the movie ""Brahmāstra: Part One – Shiva"" released in 2022, are Rashi Mal and Rohan Rustomji depicted as cousins of Isha?",YES
"Is Farida Devi the landlord of Shiva in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Does Farida Devi play a role as the landlady of Shiva in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Does Riyaaz Makaney play the character of Isha's grandfather in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Is Riyaaz Makaney portrayed as Isha's grandfather in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
"Does Shah Rukh Khan play a leading role in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",NO
"Is Mohan Bhargav a character portrayed by Shah Rukh Khan in the movie ""Brahmāstra: Part One – Shiva"" released in 2022?",YES
