node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
son,cassidy,stephanie,randy,Cassidy reveals that she has a son.,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter"
son,cassidy,randy,daughter,Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","parent-child relationship, Randy reveals having a daughter"
son,cassidy,randy,prostitute,Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","sexual interaction, Randy has sex with a prostitute in a women's restroom"
son,cassidy,randy,deli counter,Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","location, Randy goes to a deli counter to apologize to Stephanie"
son,cassidy,randy,heart condition,Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
son,cassidy,stephanie,randy,Cassidy reveals that she has a son.,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter"
son,cassidy,son,cassidy,Cassidy reveals that she has a son.,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.
son,cassidy,randy,daughter,Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","parent-child relationship, Randy reveals having a daughter"
son,cassidy,randy,prostitute,Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","sexual interaction, Randy has sex with a prostitute in a women's restroom"
son,cassidy,randy,deli counter,Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","location, Randy goes to a deli counter to apologize to Stephanie"
son,cassidy,randy,heart condition,Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request.","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,stephanie,randy,daughter,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","parent-child relationship, Randy reveals having a daughter"
cassidy,stephanie,randy,prostitute,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","sexual interaction, Randy has sex with a prostitute in a women's restroom"
cassidy,stephanie,randy,deli counter,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","location, Randy goes to a deli counter to apologize to Stephanie"
cassidy,stephanie,randy,heart condition,"employer-employee relationship, Cassidy is Stephanie's boss at the store","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,stephanie,randy,daughter,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","parent-child relationship, Randy reveals having a daughter"
cassidy,stephanie,randy,prostitute,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","sexual interaction, Randy has sex with a prostitute in a women's restroom"
cassidy,stephanie,randy,deli counter,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","location, Randy goes to a deli counter to apologize to Stephanie"
cassidy,stephanie,randy,heart condition,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday","gift giver and recipient, Stephanie initially expects gift from Randy but later he gives it to his daughter","Randy has a heart condition that causes chest pain and unsteadiness during his wrestling match, despite Cassidy's pleas to cancel the match."
cassidy,son,cassidy,stephanie,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.,"employer-employee relationship, Cassidy is Stephanie's boss at the store"
cassidy,son,cassidy,randy,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.,"romantic advances and rejection, Randy tries to court Cassidy but she rejects him due to job"
cassidy,son,cassidy,stephanie,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.,"job-related interaction, Stephanie asks Cassidy to find her a gift for Stephanie's birthday"
cassidy,son,cassidy,son,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.,"parent-child relationship, Cassidy has a son"
cassidy,son,cassidy,randy,"parent-child relationship, Cassidy has a son",Cassidy reveals that she has a son.,"Cassidy accompanies Randy to the wrestling event and tries to persuade him not to participate because of his heart condition. However, Randy ignores her request."
