Question,Answer
"[""Did Scarlett Johansson not portray the character Olivia Wenscombe in the 2006 movie 'The Prestige'?""]",no
"[""Did Scarlett Johansson portray the character Olivia Wenscombe in the 2006 movie 'The Prestige'?""]",yes
"[""Did Christopher Nolan, in 2006, express indifference towards Scarlett Johansson playing the role of Olivia Wenscombe in the movie 'The Prestige'?""]",no
"[""Was Christopher Nolan 'very keen' for Scarlett Johansson to play the role of Olivia Wenscombe in the 2006 movie 'The Prestige'?""]",yes
"[""Was Scarlett Johansson's character, Olivia Wenscombe, not an assistant to Angier in the 2006 movie 'The Prestige'?""]",no
"[""In the 2006 movie 'The Prestige', is Scarlett Johansson's character, Olivia Wenscombe, an assistant to Angier?""]",yes
"[""Did Piper Perabo portray Julia McCullough in the 2006 movie 'The Prestige'?""]",yes
"[""In the 2006 movie 'The Prestige', was Julia McCullough portrayed by an actor other than Piper Perabo?""]",no
"[""In the 2006 movie 'The Prestige', was Julia McCullough the wife of Milton the Magician?""]",yes
"[""In the 2006 film 'The Prestige', did Julia McCullough have no relationship with Milton the Magician?""]",no
"[""Did Rebecca Hall portray the character of Sarah Borden in the 2008 movie 'The Prestige'?""]",no
"[""Is Rebecca Hall the actress who portrayed Sarah Borden in the 2006 movie 'The Prestige'?""]",yes
"[""Is Sarah Borden the sister of Borden in the 2006 movie 'The Prestige'?""]",no
"[""In the movie 'The Prestige' released in 2006, is Sarah Borden the wife of Borden?""]",yes
"[""Did Christopher Nolan cast someone other than David Bowie for the role of Nikola Tesla in the 2006 movie 'The Prestige' due to lack of charisma?""]",no
"[""Did Christopher Nolan want David Bowie to play the role of Nikola Tesla in 'The Prestige' released in 2006 because he found him 'extraordinarily charismatic'?""]",yes
"[""Did David Bowie portray the character of Thomas Edison in the 2006 movie 'The Prestige'?""]",no
"[""In the 2006 film 'The Prestige', did David Bowie portray the character of Nikola Tesla?""]",yes
