node_1,node_2,edge,chunk_id,count
marjaavaan,hindi-language romantic action film,Marjaavaan is a Hindi-language romantic action film written and directed by Milap Milan Zaveri.,064422109a7746ae83dcda8abbe8bcf9,4
riteish deshmukh,sidharth malhotra,Riteish Deshmukh and Sidharth Malhotra are the leading actors in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
tara sutaria,marjaavaan,Tara Sutaria is an actress who appears in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
rakul preet singh,marjaavaan,Rakul Preet Singh is an actress who appears in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
milap milan zaveri,marjaavaan,Milap Milan Zaveri is the writer and director of Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
pen entertainment,marjaavaan,Pen Entertainment distributed Marjaavaan in India.,064422109a7746ae83dcda8abbe8bcf9,4
eros international,marjaavaan,Eros International distributed Marjaavaan overseas.,064422109a7746ae83dcda8abbe8bcf9,4
t-series,marjaavaan,T-Series released the music album of Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
raghu,narayan anna,Raghu is a goon loyal to Narayan Anna in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
vishnu,anna's son,Vishnu is Anna's son in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
raghu,zoya,Raghu falls for Zoya in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
vishnu,discrediting father's goon,Vishnu jumps at the opportunity to use Zoya to discredit his father's most favourite goon in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
zoya,mute kashmiri girl,Zoya is a mute Kashmiri girl in Marjaavaan.,064422109a7746ae83dcda8abbe8bcf9,4
zoya,anna,"Anna ordered Raghu to kill Zoya, not knowing that Raghu loves her.",228bb460d40941b19f71c9cf424fce20,4
zoya,raghu,"Raghu loves Zoya and tries to run with her, but Vishnu catches them and orders them and all the kids killed. Zoya tells Raghu to kill her so he and the kids remain safe.",228bb460d40941b19f71c9cf424fce20,4
