node_1,node_2,node_3,edge_1,edge_2
hellboy: rise of the blood queen,hellboy,mike mignola,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","In 2014, Hellboy creator Mike Mignola began work with writer Andrew Cosby on the story for a new film."
hellboy: rise of the blood queen,hellboy,guillermo del toro,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","The project was initially intended as a sequel to Guillermo del Toro's films Hellboy and Hellboy II: The Golden Army, which starred Ron Perlman as the title character."
hellboy: rise of the blood queen,hellboy,ron perlman,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","The project was initially intended as a sequel to Guillermo del Toro's films Hellboy and Hellboy II: The Golden Army, which starred Ron Perlman as the title character."
hellboy: rise of the blood queen,hellboy,david harbour,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.",David Harbour stars as the eponymous character in the Hellboy reboot.
hellboy: rise of the blood queen,hellboy,mignola,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","Mignola said that he would have minimal involvement with the reboot, acting more as a ""co-executive producer"" and without participating in pre-production or design. This indicates a supervision or overseeing role for Mignola in the reboot of Hellboy, while also implying a less active participation in the initial stages of production."
hellboy: rise of the blood queen,hellboy,screenplay,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.",Christopher Golden and Mignola wrote a couple of drafts of the screenplay and got it on track. This highlights the collaborative efforts of both writers in refining the script for Hellboy.
hellboy: rise of the blood queen,hellboy,title,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","In August 2017, the film dropped the subtitle Rise of the Blood Queen and was re-titled simply Hellboy. This could imply a potential shift in focus or narrative direction for the movie."
hellboy: rise of the blood queen,hellboy,united kingdom,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","During the production of Hellboy's latest adaptation, principal photography took place primarily in the United Kingdom."
hellboy: rise of the blood queen,hellboy,bulgaria,"The reboot, titled Hellboy: Rise of the Blood Queen, stars David Harbour as the eponymous character.","Additionally, during the production of Hellboy's latest adaptation, principal photography also occurred in Bulgaria."
harbour,hellboy,mike mignola,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"In 2014, Hellboy creator Mike Mignola began work with writer Andrew Cosby on the story for a new film."
harbour,hellboy,guillermo del toro,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"The project was initially intended as a sequel to Guillermo del Toro's films Hellboy and Hellboy II: The Golden Army, which starred Ron Perlman as the title character."
harbour,hellboy,ron perlman,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"The project was initially intended as a sequel to Guillermo del Toro's films Hellboy and Hellboy II: The Golden Army, which starred Ron Perlman as the title character."
harbour,hellboy,david harbour,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,David Harbour stars as the eponymous character in the Hellboy reboot.
harbour,hellboy,mignola,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"Mignola said that he would have minimal involvement with the reboot, acting more as a ""co-executive producer"" and without participating in pre-production or design. This indicates a supervision or overseeing role for Mignola in the reboot of Hellboy, while also implying a less active participation in the initial stages of production."
harbour,hellboy,screenplay,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,Christopher Golden and Mignola wrote a couple of drafts of the screenplay and got it on track. This highlights the collaborative efforts of both writers in refining the script for Hellboy.
harbour,hellboy,title,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"In August 2017, the film dropped the subtitle Rise of the Blood Queen and was re-titled simply Hellboy. This could imply a potential shift in focus or narrative direction for the movie."
harbour,hellboy,united kingdom,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"During the production of Hellboy's latest adaptation, principal photography took place primarily in the United Kingdom."
harbour,hellboy,bulgaria,Added Harbour's facial features into the initial Hellboy maquette sculpt to capture his likeness into the character.,"Additionally, during the production of Hellboy's latest adaptation, principal photography also occurred in Bulgaria."
ed skrein,daniel dae kim,skrein,"Skrein dropped the role of Daimio, which was later taken up by Daniel Dae Kim in September 2017. Kim applauded Skrein's decision to do so.","Replaced Skrein as Daimio in September 2017. Daniel Dae Kim praised Skrein for dropping the role, stating that Asian characters should be played by Asian or Asian American actors."
thomas haden church,daniel dae kim,skrein,"Both are a part of the film's cast, and Thomas Haden Church is not directly related to Daniel Dae Kim's character.","Replaced Skrein as Daimio in September 2017. Daniel Dae Kim praised Skrein for dropping the role, stating that Asian characters should be played by Asian or Asian American actors."
levin,marshall,collaborator,Levin frequently interrupted Marshall before the cast and crew during rehearsals and attempted to give the actors different directions from Marshall's.,"In relation to the production of Hellboy's latest adaptation, Marshall worked closely with a collaborator named Sam McCurdy."
singer,levin,marshall,Singer disputed that Levin had no recollection of [an incident].,Levin frequently interrupted Marshall before the cast and crew during rehearsals and attempted to give the actors different directions from Marshall's.
harbour,marshall,collaborator,"Two insiders stated that Harbour walked off set, refusing to film more takes for Marshall.","In relation to the production of Hellboy's latest adaptation, Marshall worked closely with a collaborator named Sam McCurdy."
