Question,Answer,generated_answer
"[""Did the principal photography for 'Freddy Got Fingered 2001' take place in Eastern British Columbia?""]",no,yes
"[""Did the principal photography for 'Freddy Got Fingered 2001' primarily take place in South Western British Columbia, including Vancouver and other cities?""]",yes,yes
"Did the principal photography for ""Freddy Got Fingered 2001"" take place in New York City?",no,yes
"Was the principal photography for ""Freddy Got Fingered 2001"" conducted in Belcarra (Burrard Inlet)?",yes,yes
"Did the principal photography for ""Freddy Got Fingered 2001"" take place in Paris?",no,yes
"Was the principal photography for ""Freddy Got Fingered 2001"" conducted in Port Moody (Reed Point Marina)?",yes,yes
"Was the principal photography for ""Freddy Got Fingered 2001"" conducted in a location other than Burnaby (Lougheed Mall)?",no,yes
"Did the principal photography for ""Freddy Got Fingered 2001"" take place in Burnaby (Lougheed Mall)?",yes,yes
"Did the principal photography for ""Freddy Got Fingered 2001"" take place in New York City?",no,yes
"Was the Squamish Airport the location for the principal photography of ""Freddy Got Fingered 2001""?",yes,yes
"Did the principal photography for ""Freddy Got Fingered 2001"" take place in New York?",no,yes
"Was Santa Monica, California the location for the principal photography of ""Freddy Got Fingered 2001""?",yes,yes
