Question,Answer,LLAMA_response
"[""Did Jim Carrey play the lead character in the movie 'Norbit 2007'?""]",no,yes
"[""Is Norbit a representation of Eddie Murphy's performance in the movie 'Norbit 2007'?""]",yes,yes
"Did Jeffrey Katzenberg, the co-founder and CEO of DreamWorks, have no role in selecting ""Norbit 2007"" as the follow-up production after Shrek's success?",no,no
"Did Jeffrey Katzenberg, the co-founder and CEO of DreamWorks, play a significant role in selecting ""Norbit 2007"" as the follow-up production after Shrek's success?",yes,no
"[""Did Eddie Murphy first play multiple characters in 'Norbit 2007' before his roles in 'Coming to America', 'Dr. Dolittle', and 'The Nutty Professor'?""]",no,yes
"[""Did Eddie Murphy have a tradition of playing multiple characters in his previous works like 'Coming to America', 'Dr. Dolittle', and 'The Nutty Professor' before his role in 'Norbit 2007'?""]",yes,yes
"[""Did Brian Robbins bring the script for 'Norbit 2007' to Adam Goodman?""]",no,no
"[""Was the script for 'Norbit 2007' brought to Brian Robbins by Adam Goodman, the DreamWorks production president?""]",yes,yes
"[""Did Thandiwe Newton never film scenes with the stand-ins during the production of Norbit 2007?""]",no,no
"[""During the production of Norbit 2007, were the stand-ins used alongside Thandiwe Newton convincing as replacements for Eddie Murphy?""]",yes,yes
"[""Did Rick Baker and his company Cinovation have no involvement in the production of Norbit 2007?""]",no,yes
"[""Did Rick Baker and his company Cinovation create the various prosthetic makeups, bodysuits, and wigs for the movie Norbit 2007?""]",yes,yes
,,0.6666666666666666
