Question,Answer
"Did Kangana Ranaut play a different character in the movie ""Queen"" released in 2010?",NO
"Is Rani Mehra the character portrayed by Kangana Ranaut in the movie ""Queen"" released in 2010?",YES
"Did Kangana Ranaut and Rajkumar Rao play roles in the movie ""Queen"" released in 2010?",NO
"Are Kangana Ranaut and Rajkumar Rao co-actors in the movie ""Queen"" released in 2010?",YES
"Is Rajkumar Rao portrayed as a supportive fiancé in the movie ""Queen"" released in 2010?",NO
"Does Rajkumar Rao play the role of Vijay Dhingra in the movie ""Queen"" released in 2010?",YES
"Does the character played by Lisa Haydon in the movie ""Queen"" released in 2010 have any connection to Rani?",NO
"Is Vijayalakshmi portrayed by Lisa Haydon in the movie ""Queen"" released in 2010?",YES
"Does Mish Boyko play a different character in the movie ""Queen"" released in 2010?",NO
"Is Oleksander also known as Sikander in the movie ""Queen"" released in 2010?",YES
Does Jeffrey Ho play the character Taka in the movie Queen released in 2010?,NO
Is Taka a character in the movie Queen released in 2010?,YES
"Is Joseph Guitobh not playing the character of Tim in the movie ""Queen"" released in 2010?",NO
"Is Joseph Guitobh playing the character of Tim in the movie ""Queen"" released in 2010?",YES
"Is the character of Baba played by someone other than Tantrik Baba in the movie ""Queen"" released in 2010?",NO
"Is Tantrik Baba a character in the movie ""Queen"" released in 2010?",YES
"Does Marco Canadea play the role of Rani's father in the movie ""Queen"" released in 2010?",NO
"Is Marcello portrayed by Marco Canadea in the movie ""Queen"" released in 2010?",YES
"Does Yogendra Tiku play the role of Rani's Father in the movie ""Queen"" released in 2010?",NO
"Is Yogendra Tiku a character in the movie ""Queen"" released in 2010?",YES
"Does the character Alka Badola Kaushal play a role other than Rani's Mother in the movie ""Queen"" released in 2010?",NO
"Is Alka Badola Kaushal's character Rani's Mother in the movie ""Queen"" released in 2010?",YES
"Is Chinmai Chandranshuh not playing the role of Chintu Mehra in the movie ""Queen"" released in 2010?",NO
"Does Chinmai Chandranshuh play Chintu Mehra in the movie ""Queen"" released in 2010?",YES
"Did Tripta Lakhanpal play a different character in the movie ""Queen"" released in 2010?",NO
"Is Dadi a character played by Tripta Lakhanpal in the movie ""Queen"" released in 2010?",YES
"Is Nayani Dixit the main character in the movie ""Queen"" released in 2010?",NO
"Does Nayani Dixit play the role of Sonal in the movie ""Queen"" released in 2010?",YES
"Does Sabeeka Imam play a character other than Roxette in the movie ""Queen"" released in 2010?",NO
"Is Roxette also known as Rukhsar in the movie ""Queen"" released in 2010?",YES
"In the movie ""Queen"" released in 2010, does Alexandre Plasti Melara play the role of a serious character instead of flying pig drunk #1?",NO
"In the movie ""Queen"" released in 2010, is Alexandre Plasti Melara depicted as flying pig drunk #1?",YES
"Does Leonardo Pricoli play the character of flying pig drunk #2 in the movie ""Queen"" released in 2010?",NO
"Is Leonardo Pricoli a part of the cast in the movie ""Queen"" released in 2010?",YES
