node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
young rasputia,rasputia latimore,norbit,albert rice,Lindsey Sims-Lewis plays the role of Young Rasputia at the age of 10. This suggests that there is a temporal relationship between Young Rasputia and Rasputia Latimore.,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
young rasputia,rasputia latimore,norbit,khamani griffin,Lindsey Sims-Lewis plays the role of Young Rasputia at the age of 10. This suggests that there is a temporal relationship between Young Rasputia and Rasputia Latimore.,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
young rasputia,rasputia latimore,norbit,austin reid,Lindsey Sims-Lewis plays the role of Young Rasputia at the age of 10. This suggests that there is a temporal relationship between Young Rasputia and Rasputia Latimore.,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
young rasputia,rasputia latimore,norbit,jonathan robinson,Lindsey Sims-Lewis plays the role of Young Rasputia at the age of 10. This suggests that there is a temporal relationship between Young Rasputia and Rasputia Latimore.,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
young kate,kate thomas,norbit,albert rice,China Anderson portrays the role of Young Kate at the age of 5. This suggests that there is a temporal link between Young Kate and Kate Thomas.,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
young kate,kate thomas,norbit,khamani griffin,China Anderson portrays the role of Young Kate at the age of 5. This suggests that there is a temporal link between Young Kate and Kate Thomas.,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
young kate,kate thomas,norbit,austin reid,China Anderson portrays the role of Young Kate at the age of 5. This suggests that there is a temporal link between Young Kate and Kate Thomas.,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
young kate,kate thomas,norbit,jonathan robinson,China Anderson portrays the role of Young Kate at the age of 5. This suggests that there is a temporal link between Young Kate and Kate Thomas.,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
deion hughes,kate thomas,norbit,albert rice,"Cuba Gooding Jr. Performs the character of Deion Hughes, who is engaged to Kate Thomas. This indicates that there is a romantic connection between Deion Hughes and Kate Thomas.","Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
deion hughes,kate thomas,norbit,khamani griffin,"Cuba Gooding Jr. Performs the character of Deion Hughes, who is engaged to Kate Thomas. This indicates that there is a romantic connection between Deion Hughes and Kate Thomas.","Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
deion hughes,kate thomas,norbit,austin reid,"Cuba Gooding Jr. Performs the character of Deion Hughes, who is engaged to Kate Thomas. This indicates that there is a romantic connection between Deion Hughes and Kate Thomas.","Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
deion hughes,kate thomas,norbit,jonathan robinson,"Cuba Gooding Jr. Performs the character of Deion Hughes, who is engaged to Kate Thomas. This indicates that there is a romantic connection between Deion Hughes and Kate Thomas.","Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
terry crews,rasputia latimore,norbit,albert rice,"Terry Crews depicts the character of Big Black Jack Latimore, who is Rasputia Latimore's eldest brother and henchman. This implies that there is a familial connection between Rasputia Latimore and Big Black Jack Latimore.","Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
