Question & Options,Correct Answer
"In the movie 'Chhoti Si Baat' (2013), which of the following statements accurately describe the relationship between Arun Pradeep and Prabha Narayan?
Options:
A. Arun falls in love with Prabha at first sight.
B. Prabha is oblivious to Arun's feelings.
C. Arun lacks the confidence to approach Prabha.
D. Prabha secretly enjoys Arun's discomfort.","Arun falls in love with Prabha at first sight., Arun lacks the confidence to approach Prabha., Prabha secretly enjoys Arun's discomfort."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements are true regarding the relationship between Arun Pradeep and Nagesh Shastri?
Options:
A. Nagesh is more confident and assertive than Arun.
B. Arun is the one who offers Prabha rides on his scooter.
C. Nagesh competes for Prabha's attention.
D. Arun is miles ahead of Nagesh in street-smartness.","Nagesh is more confident and assertive than Arun., Nagesh competes for Prabha's attention."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements are true regarding the relationship between Arun Pradeep and Nagesh Shastri?
Options:
A. Arun attempts to impress Prabha by matching Nagesh's scooter with his motorbike.
B. Nagesh helps Arun in buying a motorbike.
C. Arun buys a defective motorbike, leading to embarrassment.
D. Prabha is unaware of Arun's attempts to impress her.","Arun attempts to impress Prabha by matching Nagesh's scooter with his motorbike., Arun buys a defective motorbike, leading to embarrassment."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements are true regarding the relationship between Arun and Prabha?
Options:
A. Arun has a romantic interest in Prabha.
B. Prabha is unaware of Arun's feelings.
C. Arun and Prabha are childhood friends.
D. Prabha is in love with someone else.","Arun has a romantic interest in Prabha., Prabha is unaware of Arun's feelings."
"In the movie 'Chhoti Si Baat' (2013), how do the themes of personal struggle and relationship dynamics relate to the faulty motorbike?
Options:
A. The motorbike symbolizes the protagonist's challenges.
B. The faulty motorbike represents the protagonist's love life.
C. The motorbike is a metaphor for the protagonist's journey.
D. The relationship issues are directly linked to the motorbike's condition.","The motorbike symbolizes the protagonist's challenges., The motorbike is a metaphor for the protagonist's journey."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements are true regarding Arun's character and his approach to romance?
Options:
A. A. Arun relies on astrology to navigate his love life.
B. B. Arun dismisses astrological beliefs entirely.
C. C. Arun seeks guidance from astrology for his romantic pursuits.
D. D. Arun consults a friend for advice on love.","A, C"
"In the movie 'Chhoti Si Baat' released in 2013, which of the following statements are true regarding Arun's actions and his use of tarot cards?
Options:
A. A. Arun consults tarot cards to gain insights into his love life.
B. B. Arun uses tarot cards to predict his future career.
C. C. Arun seeks guidance from tarot cards to impress a romantic interest.
D. D. Arun relies on tarot cards to make decisions about his relationships.","A, C, D"
"In the movie 'Chhoti Si Baat' (2013), which of the following statements are true regarding Arun's actions?
Options:
A. A. Arun seeks guidance from dubious godmen.
B. B. Arun relies on scientific methods to solve his love life issues.
C. C. Arun consults questionable spiritual gurus for advice.
D. D. Arun ignores all forms of advice regarding his love life.","A, C"
"In the 2013 movie 'Chhoti Si Baat', which of the following statements are true regarding the relationship between Colonel Singh and Arun?
Options:
A. Colonel Singh acts as a mentor to Arun.
B. Arun is a rival of Colonel Singh.
C. Colonel Singh provides guidance to Arun.
D. Arun is an experienced officer under Colonel Singh.","Colonel Singh acts as a mentor to Arun., Colonel Singh provides guidance to Arun."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements about Colonel Singh's relationship with Arun are true?
Options:
A. A. Colonel Singh creates lesson plans for Arun's development.
B. B. Colonel Singh is a mentor to Arun.
C. C. Colonel Singh has a military background.
D. D. Colonel Singh discourages Arun from pursuing his goals.","A, B, C"
"In the movie 'Chhoti Si Baat' (2013), which characters or elements are associated with the incorporation of philosophy into Arun's lessons?
Options:
A. Colonel Singh
B. Arun
C. Philosophy
D. Mrs. D'Souza","Colonel Singh, Philosophy"
"In the 2013 movie 'Chhoti Si Baat', which of the following statements about Arun's character are true regarding his self-esteem?
Options:
A. Arun acquires self-confidence through Colonel Singh's teachings.
B. Arun's self-esteem is unaffected by Colonel Singh.
C. Colonel Singh helps Arun confront his fears.
D. Arun learns to stand up for himself with Colonel Singh's guidance.","Arun acquires self-confidence through Colonel Singh's teachings, Colonel Singh helps Arun confront his fears, Arun learns to stand up for himself with Colonel Singh's guidance."
"In the movie 'Chhoti Si Baat' (2013), which of the following statements about Arun's character are true after Colonel Singh's mentoring?
Options:
A. A) Arun exhibits a newfound sense of sophistication.
B. B) Arun becomes more self-assured and confident.
C. C) Arun loses his original personality traits.
D. D) Arun demonstrates a distinguished swagger.","A, B, D"
