Question & Options,Correct Answer
"What roles do Vijju, ACP Karan, and Kaban Bhai play in the conflict described?
Options:
A. Vijju is trying to protect ACP Karan.
B. ACP Karan is the target of Kaban Bhai.
C. Kaban Bhai is seeking to eliminate ACP Karan.
D. All of the above",All of the above
"What roles do Vijju and ACP Karan play in relation to Tanya and her father?
Options:
A. Vijju tries to protect ACP Karan from gangsters
B. ACP Karan wins over Tanya's conservative father
C. Vijju is Tanya's father
D. ACP Karan is a gangster",Both 'Vijju tries to protect ACP Karan from gangsters' and 'ACP Karan wins over Tanya's conservative father'
"What are the relationships involving Tanya, ACP Karan, and Kaban Bhai in the context of their interactions?
Options:
A. ACP Karan is trying to woo Tanya.
B. Kaban Bhai decides to eliminate ACP Karan.
C. Tanya is unaware of the conflict between ACP Karan and Kaban Bhai.
D. All of the above",All of the above
"What is the relationship between Tanya, ACP Karan, and Tanya's conservative father in the context of their interactions?
Options:
A. ACP Karan is trying to win over Tanya.
B. Tanya's conservative father approves of ACP Karan.
C. ACP Karan succeeds in winning over both Tanya and her father.
D. Tanya is in love with ACP Karan.",ACP Karan is trying to win over Tanya. ACP Karan succeeds in winning over both Tanya and her father.
"Which characters are involved in the conflict surrounding ACP Karan in the story?
Options:
A. Tedha
B. ACP Karan
C. Kaban Bhai
D. Inspector Vijju","Tedha, ACP Karan, Kaban Bhai"
"Which characters are involved in the conflict and resolution in the storyline?
Options:
A. Tedha
B. ACP Karan
C. Tanya's conservative father
D. All of the above",All of the above
"What relationships can be inferred from the interactions among Amrita, Vijju, and ACP Karan?
Options:
A. Amrita suspects an affair between Vijju and her mother.
B. Vijju is protective of his son, ACP Karan.
C. ACP Karan is unaware of the past relationship between Vijju and Amrita's mother.
D. All of the above",All of the above
"What assumptions or actions are associated with Amrita in relation to Vijju and Kaban?
Options:
A. Amrita suspects an affair between Vijju and her mother
B. Amrita visited Kaban's den
C. Amrita is concerned about Karan's health
D. All of the above",All of the above
"What assumptions or decisions are made regarding the relationships between Amrita, Vijju, and Paris?
Options:
A. Amrita suspects an affair between Vijju and her mother.
B. Vijju plans to return to Paris.
C. Amrita's mother is overly friendly to Vijju.
D. All of the above",All of the above
"What are the key relationships depicted in the story involving Amrita, Vijju, and his wife?
Options:
A. Amrita suspects an affair between Vijju and her mother
B. Vijju reconciles with his wife
C. Amrita is unaware of the true nature of Vijju's relationship with his wife
D. Vijju and Amrita have a history together","a) Amrita suspects an affair between Vijju and her mother, b) Vijju reconciles with his wife"
"What aspects of Amrita and Vijju's relationship are highlighted in the context of aging?
Options:
A. Amrita's suspicion about Vijju's past with her mother
B. Vijju's acknowledgment of his aging
C. Their shared experiences in the hospital
D. Amrita's feelings towards Vijju's friendship with her mother",All of the above
"What challenges do Vijju and ACP Karan face in their relationship with Sita?
Options:
A. Vijju's attempt to reconnect with Sita
B. ACP Karan's struggle against gangsters
C. Sita's efforts to support her son
D. All of the above",All of the above
"Which characters are involved in the relationships and events described in the story?
Options:
A. Sita
B. Vijju
C. Kaban
D. All of the above",All of the above
"What significant events occur in the relationship between Vijju and Sita in the storyline?
Options:
A. Vijju meets his estranged wife, Sita.
B. Vijju decides to return to Paris.
C. Sita is encouraged to bring Karan along when she is ready.
D. Vijju and Sita successfully patch up their relationship.","a) Vijju meets his estranged wife, Sita. and b) Vijju decides to return to Paris. and c) Sita is encouraged to bring Karan along when she is ready."
"What significant events occur in Vijju's relationship with Sita in the story?
Options:
A. Vijju meets Sita but they do not reconcile.
B. Vijju reconciles with Sita during a hospital scene.
C. Sita is portrayed as Vijju's estranged wife.
D. Vijju and Sita have a happy reunion at the end.",b) Vijju reconciles with Sita during a hospital scene.
"What themes are explored in the relationship between Vijju and Sita in the context of aging?
Options:
A. The struggle to reconcile estranged relationships
B. The impact of aging on personal identity
C. The importance of family in times of crisis
D. All of the above",All of the above
"What roles do Karan and Vijju play in relation to each other in the context of the shootout?
Options:
A. Karan is the son of Vijju
B. Vijju tries to protect Karan
C. Karan is a gangster
D. Vijju is an ACP","Karan is the son of Vijju, Vijju tries to protect Karan"
"What actions are associated with Karan, Vijju, and Kaban in the context of the shootout?
Options:
A. Karan was involved in a shootout despite Vijju's attempts to stop him.
B. Vijju is Karan's father.
C. Kaban was visited by Vijju after Karan was admitted to the hospital.
D. Vijju successfully prevented Karan from going to the shootout.","Karan was involved in a shootout despite Vijju's attempts to stop him., Vijju is Karan's father., Kaban was visited by Vijju after Karan was admitted to the hospital."
"Which characters are involved in the storyline related to Karan's journey to Paris?
Options:
A. Karan
B. Vijju
C. Sita
D. Paris","Karan, Vijju, Sita"
"What events are connected to Karan's character in relation to Vijju and his wife?
Options:
A. Karan is the son of Vijju.
B. Karan fails to heed Vijju's warnings.
C. Karan reconciles with his wife in the hospital.
D. Karan is involved in a shootout.",All of the above
"What significant developments occur in the character relationships in the story involving Karan and Vijju?
Options:
A. Karan is the son of Vijju.
B. Karan resists Vijju's attempts to protect him.
C. Karan comes to terms with his aging.
D. Vijju successfully stops Karan from going to the shootout.",Karan is the son of Vijju. Karan resists Vijju's attempts to protect him. Karan comes to terms with his aging.
"What events are connected to Vijju and Kaban in relation to the shootout?
Options:
A. Vijju visited Kaban's den after admitting Karan to the hospital.
B. The shootout occurred at the place where Karan was present.
C. Vijju attempted to stop Karan from going to the shootout.
D. Karan was initially admitted to the hospital for unrelated reasons.","a) Vijju visited Kaban's den after admitting Karan to the hospital, b) The shootout occurred at the place where Karan was present, c) Vijju attempted to stop Karan from going to the shootout."
