node_1,node_2,edge,chunk_id,count
development,play,"Tommy Wiseau originally wrote The Room as a play in 2001, after seeing the film The Talented Mr. Ripley.",a5d94e8dd3e34189bdba65d0aa72ab54,4
development,book,"He then adapted the play into a 540-page book, which he was unable to get published.",a5d94e8dd3e34189bdba65d0aa72ab54,4
production,development,"Wiseau decided to adapt the play into a film, producing it himself in order to maintain creative control.",a5d94e8dd3e34189bdba65d0aa72ab54,4
wealth,tommy wiseau,"According to The Disaster Artist (Greg Sestero's book based on the making of The Room), Wiseau was already independently wealthy at the time production began.",a5d94e8dd3e34189bdba65d0aa72ab54,4
funding,tommy wiseau,"He claims to have amassed a fortune through entrepreneurship and real estate development in Los Angeles and San Francisco, a story Sestero found impossible to believe.",a5d94e8dd3e34189bdba65d0aa72ab54,4
marketing,production,"Wiseau spent the entire US$6,000,000 (equivalent to about $9,900,000 in 2023) budget for The Room on production and marketing;",a5d94e8dd3e34189bdba65d0aa72ab54,4
production,marketing,"According to Sestero, Wiseau made numerous poor decisions during filming that resulted in high marketing costs.",a5d94e8dd3e34189bdba65d0aa72ab54,4
cast and crew,production,Many members of the cast and crew had to be replaced.,a5d94e8dd3e34189bdba65d0aa72ab54,4
the room,high production costs,"Wiseau's poor decisions during filming, such as building sets and purchasing equipment instead of renting, resulted in inflated costs.",c53cb425f34348b097a907231ade6f2b,4
the room,replacement of cast and crew,Many members of the cast and crew had to be replaced due to unknown reasons.,c53cb425f34348b097a907231ade6f2b,4
tommy wiseau,high production costs,Wiseau's poor decisions during filming caused high production costs.,c53cb425f34348b097a907231ade6f2b,4
tommy wiseau,replacement of cast and crew,Wiseau selected actors from thousands of head shots for the film.,c53cb425f34348b097a907231ade6f2b,4
sestero,the room,"Sestero wrote, produced, and starred in the independent drama The Room.",c53cb425f34348b097a907231ade6f2b,4
tommy wiseau,sestero,"Wiseau was a co-star, co-writer, and co-producer of the film, alongside Sestero.",c53cb425f34348b097a907231ade6f2b,4
tommy wiseau,limited film experience,Most of the cast had limited film experience prior to working on The Room.,c53cb425f34348b097a907231ade6f2b,4
sestero,wiseau,friendship between Sestero and Wiseau before production began,43b989e3b18445a89c68a765ff901e73,4
mark,sestero,Sestero agreed to play the character 'Mark' after Wiseau fired the original actor on the first day of filming,43b989e3b18445a89c68a765ff901e73,4
lisa,juliette danielle,Danielle was originally one of three or four understudies for the Lisa character and was selected after the original actress left the production,43b989e3b18445a89c68a765ff901e73,4
latina actress,original actress for lisa role,The original actress was 'Latina' and came from an unidentified South American country,43b989e3b18445a89c68a765ff901e73,4
michelle,juliette danielle,Danielle was originally cast as Michelle but was given the Lisa role when the original actress was dismissed because her 'personality... didn't seem to fit',43b989e3b18445a89c68a765ff901e73,4
personality,original actress for lisa role,The original actress' personality did not seem to fit the character,43b989e3b18445a89c68a765ff901e73,4
another actress hired to play michelle,michelle (key character),multiple actors were dismissed from the production prior to filming,a3b43cb54c3148e4b06d4720893b3f91,4
peter (key character),climax,"Kyle Vogt's (who played Peter) scenes were not fully filmed by the time his schedule ran out, and his lines in the last half of the film were given to Ellery",a3b43cb54c3148e4b06d4720893b3f91,4
