Question & Options,Correct Answer
"Who does Rainbird telepathically call for during the escape scene?
Options:
A. Andy
B. Charlie
C. The men in hazmat suits
D. Rainbird",Charlie
"What action does Charlie take that spares Rainbird's life?
Options:
A. She telepathically calls for him
B. She escapes with her father
C. She uses her powers to trick him
D. She fights him off",She uses her powers to trick him
"What organization does Charlie confront in her quest to rescue her father?
Options:
A. CIA
B. FBI
C. DSI
D. NSA",DSI
"What happens to Hollister during Charlie's fit of rage?
Options:
A. He escapes unscathed
B. He is rescued by Rainbird
C. He sets Charlie on fire
D. He gets set on fire by Charlie",He gets set on fire by Charlie
"Who does Charlie set on fire in a fit of rage while trying to rescue her father?
Options:
A. Rainbird
B. Hollister
C. Andy
D. A hazmat suit guard",B) Hollister
"Who does Rainbird ultimately surrender to in the movie?
Options:
A. Andy
B. Charlie
C. Hazmat suits
D. Forest",Charlie
"Who does Charlie ultimately spare after using her powers?
Options:
A. Andy
B. Rainbird
C. DSI agents
D. Hazmat suits",Rainbird
"What organization did Charlie confront to reach her father's cell?
Options:
A. FBI
B. CIA
C. DSI
D. NSA",DSI
"What drastic action does Charlie take in the movie involving Hollister?
Options:
A. He saves him from danger
B. He sets him on fire
C. He helps him escape
D. He teams up with him",B) He sets him on fire
"What does Charlie do to her father in the movie 'Firestarter'?
Options:
A. She saves him from Rainbird
B. She sets him on fire
C. She helps him escape
D. She telepathically communicates with him",She sets him on fire
"How does Charlie's action affect Rainbird during their escape?
Options:
A. Charlie uses her powers to capture Rainbird.
B. Charlie spares Rainbird's life, allowing them to escape together.
C. Charlie betrays Rainbird to save her father.
D. Charlie leaves Rainbird behind in the house.","Charlie spares Rainbird's life, allowing them to escape together."
"What action does Charlie take that allows her to escape from DSI agents?
Options:
A. She surrenders to Rainbird.
B. She uses her push to trick Rainbird.
C. She fights off the DSI agents.
D. She calls for her father.",She uses her push to trick Rainbird.
"What organization does Charlie confront in order to rescue her father?
Options:
A. CIA
B. FBI
C. DSI
D. NSA",DSI
"What drastic action does Charlie take involving Hollister?
Options:
A. She saves him from danger
B. She sets both Hollister and herself on fire
C. She uses her powers to heal him
D. She escapes with him",She sets both Hollister and herself on fire
"Who does Charlie use her powers to help escape from DSI?
Options:
A. Rainbird
B. Hollister
C. Charlie's father
D. DSI agents",Charlie's father
"Who does Andy trick to allow Charlie to escape?
Options:
A. Charlie
B. DSI agents
C. Rainbird
D. Her father",Rainbird
"What happens to Vicky when Rainbird confronts her at the McGee home?
Options:
A. She escapes with Charlie
B. She successfully counters Rainbird
C. She is killed by Rainbird
D. She helps Hollister escape",She is killed by Rainbird
