node_1,node_2,edge,chunk_id,edge_type,node_3,count
indiana jones,james mangold,James Mangold directed Indiana Jones and the Dial of Destiny.,564248bb55914038a0652d30a9bba834,,,4
indiana jones,harrison ford,Harrison Ford portrayed the character of Indiana Jones in the film.,564248bb55914038a0652d30a9bba834,,,4
indiana jones,indiana jones and the kingdom of the crystal skull,Indiana Jones and the Dial of Destiny is a sequel to Indiana Jones and the Kingdom of the Crystal Skull.,564248bb55914038a0652d30a9bba834,,,4
indiana jones,steven spielberg,"Steven Spielberg directed Indiana Jones and the Kingdom of the Crystal Skull, which precedes Indiana Jones and the Dial of Destiny in the film series.",564248bb55914038a0652d30a9bba834,,,4
indiana jones,george lucas,George Lucas created the character of Indiana Jones.,564248bb55914038a0652d30a9bba834,,,4
helena,harrison ford,"In Indiana Jones and the Dial of Destiny, Harrison Ford's character, Indiana Jones, is reunited with his estranged goddaughter, Helena.",564248bb55914038a0652d30a9bba834,,,4
helena,phoebe waller-bridge,Phoebe Waller-Bridge portrayed the character of Helena in Indiana Jones and the Dial of Destiny.,564248bb55914038a0652d30a9bba834,,,4
marion ravenwood,karen allen,"In Indiana Jones and the Dial of Destiny, Karen Allen reprised her role as Marion Ravenwood from previous films in the series.",564248bb55914038a0652d30a9bba834,,,4
marion ravenwood,indiana jones,"Marion Ravenwood is a character previously portrayed by Karen Allen and associated with Harrison Ford's character, Indiana Jones, in the Indiana Jones film series.",564248bb55914038a0652d30a9bba834,,,4
helena,indiana jones,"In Indiana Jones and the Dial of Destiny, Helena seeks the help of her estranged grandfather, Indiana Jones.",564248bb55914038a0652d30a9bba834,,,4
dr. jürgen voller,mads mikkelsen,Mads Mikkelsen portrayed the character of Dr. Jürgen Voller in Indiana Jones and the Dial of Destiny.,564248bb55914038a0652d30a9bba834,,,4
dr. jürgen voller,nazi scientist,Dr. Jürgen Voller is a Nazi-turned-NASA scientist in Indiana Jones and the Dial of Destiny.,564248bb55914038a0652d30a9bba834,,,4
world war ii,dr. jürgen voller,Dr. Jürgen Voller plans to use a powerful artifact in Indiana Jones and the Dial of Destiny to alter the outcome of World War II.,564248bb55914038a0652d30a9bba834,,,4
1969,indiana jones and the dial of destiny,Indiana Jones and the Dial of Destiny is set in 1969.,564248bb55914038a0652d30a9bba834,,,4
steven spielberg,executive producer,"Steven Spielberg served as an executive producer on Indiana Jones and the Dial of Destiny, which was directed by James Mangold.",564248bb55914038a0652d30a9bba834,,,4
george lucas,executive producer,"George Lucas also served as an executive producer on Indiana Jones and the Dial of Destiny, which is a part of the Indiana Jones film series that he created.",564248bb55914038a0652d30a9bba834,,,4
paramount pictures,distribution rights,"Paramount Pictures retained the distribution rights to the first four Indiana Jones films in the series, but Walt Disney Studios acquired the film rights for future sequels.",564248bb55914038a0652d30a9bba834,,,4
indiana jones,fifth indiana jones film,Plans for a fifth Indiana Jones film date back to the late 1970s with a deal made with Paramount to produce four sequels to Raiders of the Lost Ark in 1981.,94efe0471fd24ffd88a803a874170641,,,4
indiana jones,steven spielberg,Spielberg was originally set to direct the fifth Indiana Jones film but stepped down in 2020 and James Mangold took his place.,94efe0471fd24ffd88a803a874170641,,,4
steven spielberg,michael koepp,"Koepp was hired to write the fifth Indiana Jones film in 2016, before Jonathan Kasdan replaced him in 2018.",94efe0471fd24ffd88a803a874170641,,,4
indiana jones,john williams,Longtime franchise composer John Williams returned to compose and conduct the film's score for Indiana Jones and the Dial of Destiny.,94efe0471fd24ffd88a803a874170641,,,4
michael koepp,jonathan kasdan,Kasdan replaced Koepp in writing the fifth Indiana Jones film in 2018 but eventually left the project.,94efe0471fd24ffd88a803a874170641,,,4
fifth indiana jones film,release date,"A release date for the fifth Indiana Jones film was set for 2019, which was delayed several times due to rewrites and the COVID-19 pandemic.",94efe0471fd24ffd88a803a874170641,,,4
indiana jones,lucasfilm,"Plans for a fifth Indiana Jones film date back to the late 1970s with a deal made with Paramount to produce four sequels to Raiders of the Lost Ark in 1981, which was later taken over by Lucasfilm.",94efe0471fd24ffd88a803a874170641,,,4
indiana jones,harrison ford,The fifth Indiana Jones film features Harrison Ford reprising his role as the titular character.,94efe0471fd24ffd88a803a874170641,,,4
nazis,indiana jones,"In 1944, Nazis capture Indiana Jones",db33b53026074d72bd2cb47b473940a2,,,4
indiana jones,oxford archaeologist basil shaw,"In 1944, Indiana Jones and Oxford archaeologist Basil Shaw attempt to retrieve the Lance of Longinus from a castle in the French Alps",db33b53026074d72bd2cb47b473940a2,,,4
lance of longinus,indiana jones,"In 1944, Indiana Jones attempts to retrieve the Lance of Longinus from a castle in the French Alps",db33b53026074d72bd2cb47b473940a2,,,4
castle,indiana jones,"In 1944, Indiana Jones and Oxford archaeologist Basil Shaw attempt to retrieve the Lance of Longinus from a castle in the French Alps",db33b53026074d72bd2cb47b473940a2,,,4
french alps,indiana jones,"In 1944, Indiana Jones and Oxford archaeologist Basil Shaw attempt to retrieve the Lance of Longinus from a castle in the French Alps",db33b53026074d72bd2cb47b473940a2,,,4
astrophysicist jürgen voller,lance of longinus,"In 1944, Astrophysicist Jürgen Voller informs his superiors the Lance is fake",db33b53026074d72bd2cb47b473940a2,,,4
archimedes' dial,indiana jones,"In 1969, Indiana Jones obtains a Dial piece",db33b53026074d72bd2cb47b473940a2,,,4
marion,indiana jones,Marion has recently filed for legal separation from Indiana Jones,db33b53026074d72bd2cb47b473940a2,,,4
helena shaw,archimedes' dial,Helena Shaw unexpectedly visits and wants to research the Dial half,db33b53026074d72bd2cb47b473940a2,,,4
jones' goddaughter helena shaw,indiana jones,"Jones' goddaughter, archaeologist Helena Shaw, unexpectedly visits",db33b53026074d72bd2cb47b473940a2,,,4
basil shaw,archimedes' dial,"Basil became obsessed with studying the Dial before relinquishing it to Jones to destroy, which he never did",db33b53026074d72bd2cb47b473940a2,,,4
nasa,jürgen voller,Now working for NASA as 'Dr. Schmidt',db33b53026074d72bd2cb47b473940a2,,,4
cia,voller's accomplices,The CIA assists Voller's accomplices,db33b53026074d72bd2cb47b473940a2,,,4
archaeologist helena shaw,antiquities smuggler,Revealed as an antiquities smuggler,db33b53026074d72bd2cb47b473940a2,,,4
dial piece,indiana jones,Indiana Jones obtains a Dial piece,db33b53026074d72bd2cb47b473940a2,,,4
helena shaw,dial piece,"Helena, revealed as an antiquities smuggler, absconds with the Dial to auction it on the black market",db33b53026074d72bd2cb47b473940a2,,,4
jones,sallah,old friend,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
helena,dial,illegal private auction,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
voller,helena,likely sells the Dial in Tangier,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
jones,tangier hotel,disrupts Helena's auction,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
helena,teddy kumar,teen sidekick,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
voller,cia,disavows him for going rogue,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
jones,renaldo,old friend,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
voller,renaldo,murders him and his crew,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
jones,basil's research,guided by,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
aegean sea shipwreck,graphikos tablet,contains directions to the Dial's other half,a7379bdd4c314fb08cdd0127fd5f1ff6,,,4
indiana jones,george lucas,"In 1979, George Lucas and Steven Spielberg made a deal with Paramount Pictures for five Indiana Jones films.",8b86031d1b224a6cbc72c9c7be62b238,,,4
steven spielberg,paramount pictures,"In 1979, George Lucas and they made a deal for five Indiana Jones films.",8b86031d1b224a6cbc72c9c7be62b238,,,4
indiana jones,harrison ford,"Back in the present, a recovering Jones awakens in his apartment and reunites with Helena, Teddy, Sallah and Marion.",8b86031d1b224a6cbc72c9c7be62b238,,,4
marion,indiana jones,"Back in the present, a recovering Jones awakens in his apartment and reunites with Helena, Teddy, Sallah and Marion. Marion and Jones reconcile.",8b86031d1b224a6cbc72c9c7be62b238,,,4
henry jones sr.,sean connery,Photographs of Sean Connery and Shia LaBeouf are used to represent their respective Last Crusade and Kingdom of the Crystal Skull characters: Henry Jones Sr. And Mutt Williams (Henry Jones III).,8b86031d1b224a6cbc72c9c7be62b238,,,4
mutt williams,shia labeouf,Photographs of Sean Connery and Shia LaBeouf are used to represent their respective Last Crusade and Kingdom of the Crystal Skull characters: Henry Jones Sr. And Mutt Williams (Henry Jones III).,8b86031d1b224a6cbc72c9c7be62b238,,,4
indiana jones,harrison ford,"In April 2008, Harrison Ford said he would return as Indiana Jones for a fifth film if it does not take another twenty years to develop, referring to the long development of Indiana Jones and the Kingdom of the Crystal Skull (2008), which was released a month later.",8b86031d1b224a6cbc72c9c7be62b238,,,4
lucas,spielberg,"In 2008, Lucas began researching potential plot devices for another film and stated that Spielberg was open to directing it. Explaining the process for each film, Ford said in an interview that both Lucas and Spielberg come to some basic agreement, and then Spielberg goes away for a long time to work on it before sharing with Lucas and Ford.",2319708fe9c74f7994760ea1cba22af0,,,4
ford,lucas,Ford described their collaboration as having some sort of tension because Lucas is in the future while Steven is trying to drag it back to the way it was. This was mentioned in an interview by Lucas in 2008.,2319708fe9c74f7994760ea1cba22af0,,,4
lucas,spielberg,"In the same context, Lucas also stressed the importance of having a MacGuffin that is supernatural but still grounded in reality with an archaeological or historical background. He said, 'you can't just make something up, like a time machine.'",2319708fe9c74f7994760ea1cba22af0,,,4
ford,lucas's concept for the fifth film,"In an interview in 2008, Ford described Lucas's concept as 'crazy but great'.",2319708fe9c74f7994760ea1cba22af0,,,4
spielberg,the way it was,Ford also mentioned that Spielberg is trying to drag the franchise back to the way it was in an interview in 2008.,2319708fe9c74f7994760ea1cba22af0,,,4
lucas's concept for the fifth film,the future,"In Lucas's own words, he is trying to push it to a whole different place in the context given.",2319708fe9c74f7994760ea1cba22af0,,,4
indiana jones intellectual property,the walt disney company,"In October 2012, The Walt Disney Company acquired Lucasfilm, giving Disney ownership rights to the Indiana Jones intellectual property.",101e183ce5404527bb626653929500fd,,,4
indiana jones intellectual property,future indiana jones films,The Walt Disney Studios purchased the distribution and marketing rights to future Indiana Jones films from Paramount,101e183ce5404527bb626653929500fd,,,4
paramount,distribution rights to the first four indiana jones films,"With the 2012 acquisition, Lucas passed Indiana Jones 5 to new Lucasfilm president Kathleen Kennedy. Lucasfilm planned to focus on the Star Wars franchise before working on a fifth Indiana Jones film. Lucasfilm planned to focus on the Star Wars franchise before working on a fifth Indiana Jones film. In December 2013, The Walt Disney Studios purchased the distribution and marketing rights to future Indiana Jones films from Paramount, with the latter studio retaining the distribution rights to the first four films and receiving ""financial participation"" for any additional films as well as an ""in association with"" credit in the film's billing.",101e183ce5404527bb626653929500fd,,,4
indiana jones,marion ravenwood,"In May 2015, Kennedy confirmed that Lucasfilm would eventually make another Indiana Jones film. The ending of Kingdom of the Crystal Skull was positive for both characters as their marriage remained intact. However, Ford did not view the film as a definitive ending for Jones but rather wished to make one more film that could expand his character and conclude his journey.",f2bd6ceb8d96478fb345c1658b3d49c1,,,4
harrison ford,another indiana jones film,"Ford felt that Crystal Skull 'ended in kind of a suspended animation. There was not a real strong feeling of the conclusion or the closure that I always hoped for.' According to Kennedy, 'we all felt that if we could conclude the series with one more movie, given the fact that Harrison was so excited to try to do another one, we should do it.'",f2bd6ceb8d96478fb345c1658b3d49c1,,,4
indiana jones 5,spielberg,"In 2019, Spielberg was still involved with Indiana Jones 5 as the director. The release date had been pushed back to 2021 due to delays in finalizing the script.",429bf0d6d88f4ad097052f26915540c3,,,4
koepp,indiana jones 5,"In 2017, Koepp stated that they had a script they were mostly happy with for Indiana Jones 5. However, by May 2019, it was reported that Koepp had departed the project.",429bf0d6d88f4ad097052f26915540c3,,,4
marshall,indiana jones 5,"According to Marshall in early 2018, a lot of people had pitched ideas for Indiana Jones 5.",429bf0d6d88f4ad097052f26915540c3,,,4
kasdan,indiana jones 5,"In mid-2018, Kasdan was hired to replace Koepp as the writer for Indiana Jones 5. However, by May 2019, it was reported that Kasdan had departed the project.",429bf0d6d88f4ad097052f26915540c3,,,4
beck,indiana jones and star wars franchises,"In early 2018, Lucasfilm met with Beck and Woods for an 'open canvas talk' including the Indiana Jones and Star Wars franchises. Beck stated that they had considered writing the next Indiana Jones installment.",429bf0d6d88f4ad097052f26915540c3,,,4
disney,ford,"According to Koepp in September 2019, efforts to produce Indiana Jones 5 failed due to disagreement between Spielberg, Ford, and Disney regarding the script.",429bf0d6d88f4ad097052f26915540c3,,,4
spielberg,ford,"In September 2019, Koepp announced that he had re-joined the production as writer for Indiana Jones 5, stating that they had 'a good idea this time'. However, it was reported in May 2019 that Kasdan had departed the project.",429bf0d6d88f4ad097052f26915540c3,,,4
spielberg,ready player one (2018),"In 2017, Spielberg was busy working on Ready Player One (2018) and The Post (2017), which led to a push back of the release date for Indiana Jones 5.",429bf0d6d88f4ad097052f26915540c3,,,4
spielberg,indiana jones 4,"The specific reason for the release date pushback for Indiana Jones 5 in September 2019 was not mentioned, but it is known that the franchise has had a previous film released in 2008.",429bf0d6d88f4ad097052f26915540c3,,,4
disney,indiana jones,"In February 2018, it was announced that Disney had acquired Lucasfilm, which includes the Indiana Jones franchise.",429bf0d6d88f4ad097052f26915540c3,,,4
spielberg,mangold,"Spielberg stepped down as director and Mangold was confirmed as director for the 'Indiana Jones' film series. Spielberg remained as a hands-on producer, while Mangold suggested that Spielberg and Kennedy hire him after previously working with him on other projects.",a7ed87eac99d492e8e5cae6d5397835f,,,4
koepp,mangold,"Koepp departed the 'Indiana Jones' project again after Spielberg stepped down, allowing Mangold to have his own take on it and write it himself.",a7ed87eac99d492e8e5cae6d5397835f,,,4
spielberg,kennedy,"Spielberg was 'kind of off and on' about directing the project, according to Kennedy.",a7ed87eac99d492e8e5cae6d5397835f,,,4
ford,spielberg,Ford suggested that Spielberg and Kennedy hire Mangold as director after working together on other projects.,a7ed87eac99d492e8e5cae6d5397835f,,,4
dial of destiny,raiders of the lost ark,"Mangold cited the first entry, Raiders of the Lost Ark, as his biggest inspiration while making Dial of Destiny.",5f9c76ec424b47aebfabbbd03c93ab11,,,4
mangold,dial of destiny,Mangold wrote the new screenplay for Dial of Destiny with Jez and John-Henry Butterworth over the course of six to eight months.,5f9c76ec424b47aebfabbbd03c93ab11,,,4
butterworths,dial of destiny,Mangold worked with the Butterworths previously on Ford v Ferrari for Dial of Destiny.,5f9c76ec424b47aebfabbbd03c93ab11,,,4
ford v ferrari,butterworths,The Butterworths worked with Mangold previously on Ford v Ferrari.,5f9c76ec424b47aebfabbbd03c93ab11,,,4
antikythera mechanism,time travel element,Mangold conceived the film's time-travel element and its use of the Antikythera mechanism as the MacGuffin.,700f09fcb2e941658f9666a57797554a,,,4
antikythera mechanism,artistic liberty,"To suit the story, artistic liberty was taken with the film's dial, giving it the ability to detect time fissures.",700f09fcb2e941658f9666a57797554a,,,4
antikythera mechanism,macguffin,Mangold conceived the film's time-travel element and its use of the Antikythera mechanism as the MacGuffin.,700f09fcb2e941658f9666a57797554a,,,4
earlier draft,macguffin,"The earlier draft by Koepp featured a MacGuffin that was ""just another relic with power, similar to the relics we had seen,"" with no emotional connection to Jones.",700f09fcb2e941658f9666a57797554a,,,4
antikythera mechanism,creator,"Although Greek inventor Archimedes is presented in the film as the Antikythera's creator, it is unclear whether that is true in reality.",700f09fcb2e941658f9666a57797554a,,,4
time travel element,previous films,"Mangold considered time travel on par with the previous films: ""It's no more of a wild swing in my mind than ghouls flying out of a box and melting people's heads through the sheer power of dark angels, or a 700-year-old knight existing in a cave for perpetuity. These are all beyond the scope of all physical belief""",700f09fcb2e941658f9666a57797554a,,,4
nazi germany,dial of destiny,"Operation Paperclip inspired Mangold and the Butterworths to reincorporate Nazis for Dial of Destiny as a way to continue exploring their antagonistic role in earlier films. However, as the idea was developed further, Mangold found it too predictable and lacking emotional resonance for Jones.",79cf76d57d1a4ee2b8774d998354cb83,,,4
siege of syracuse,dial of destiny,"Mangold considered Nazi Germany for the film's time-traveling final act, but he found that idea lacked emotional resonance for Jones and played out like a spy film, prompting him to choose the Siege of Syracuse instead.",79cf76d57d1a4ee2b8774d998354cb83,,,4
jones,marion,"The Butterworths suggested the idea to end the film with Jones and Marion discussing their emotional pain, as a callback to a similar conversation in Raiders.",79cf76d57d1a4ee2b8774d998354cb83,,,4
short round,dial of destiny,"A post-credits scene featuring Short Round was considered according to storyboard artist Gabriel Hardman, but the idea was discarded early on so Ke Huy Quan wasn't contacted to reprise the role.",79cf76d57d1a4ee2b8774d998354cb83,,,4
indiana jones,mangold,Consulted with Mangold on the script.,15217d5f59394f4d84c3d20b8cd52abd,,,4
lucas,spielberg,Served as executive producers alongside each other.,15217d5f59394f4d84c3d20b8cd52abd,Collaboration,,4
mangold,lucas and spielberg,Consulted with both Lucas and Spielberg on the script.,15217d5f59394f4d84c3d20b8cd52abd,,,4
marshall,ford,Involved in the production of the movie featuring Ford's character.,15217d5f59394f4d84c3d20b8cd52abd,Production relationship,,4
spielberg,marshall,Worked alongside Marshall on the production of the movie.,15217d5f59394f4d84c3d20b8cd52abd,,,4
ford,indiana jones,"Identical to 'Indiana Jones' node, as per Ford's statement: 'I'm Indiana Jones. When I'm gone, he's gone.'",15217d5f59394f4d84c3d20b8cd52abd,,,4
spielberg,jones,Ruled out the possibility of killing off the character in this movie.,15217d5f59394f4d84c3d20b8cd52abd,,,4
phoebe waller-bridge,barbara stanwyck's performance as jean harrington in the lady eve (1941),"Mangold referred the actress to Barbara Stanwyck's performance as Jean Harrington in The Lady Eve (1941) as a key reference point for Waller-Bridge's character, who is described as 'a mystery and a wonder'",8976a61d25cb453891686eb90e01f6e6,,,4
karen allen,"mangold and the butterworths wrote the role specifically for waller-bridge, inspired by karen allen's performance as marion ravenwood in raiders of the lost ark.","Mangold and the Butterworths wrote the role specifically for Waller-Bridge, inspired by Karen Allen's performance as Marion Ravenwood in Raiders of the Lost Ark.",8976a61d25cb453891686eb90e01f6e6,,,4
mikkelsen,villainous characters,"Mikkelsen has portrayed many villainous characters throughout his career, and in this context, he describes Voller as a 'misunderstood person' within this category.",e9cf29c198aa4461b8e1cca9d76d68b9,,,4
voller,mikkelsen,"Mikkelsen played the character of Voller in the script, and he described the role as a 'misunderstood person'.",e9cf29c198aa4461b8e1cca9d76d68b9,,,4
von braun,nazi scientists involved in nasa,"Mikkelsen stated that his character Voller was partly inspired by the Nazi scientists, including Wernher von Braun.",e9cf29c198aa4461b8e1cca9d76d68b9,,,4
restrained,voller,"According to Mikkelsen, his character Voller was restrained and avoided the cliché of an extreme German or Nazi accent and extreme madness.",e9cf29c198aa4461b8e1cca9d76d68b9,,,4
blended in,voller,Mikkelsen also mentioned that Voller was a man who could blend in once he moved to America because he was predominantly a scientist.,e9cf29c198aa4461b8e1cca9d76d68b9,,,4
marion,indiana jones (jones),"Marion was married to Indiana Jones in the previous film, 'Indiana Jones and the Last Crusade'. Allen kept her return a secret for years due to contractual obligations, but her scene was shot in a day and a half. Spielberg's original version of the film had more scenes with Marion and Jones.",24cae719c6ba4c7fb597fb1b1036a365,,,4
charles stanforth,jim broadbent (broadbent),"Broadbent expressed a willingness to reprise his role as Charles Stanforth from 'Kingdom of the Crystal Skull', but ultimately did not return.",24cae719c6ba4c7fb597fb1b1036a365,,,4
mutt,intrepid female character,"In the previous film, Mangold did not think Mutt's whole thing worked that well. To instead capture 'that wonderful energy between Indy and an intrepid female character', Mangold kept his options open about Mutt still being alive but said that focusing on characters in the picture is important for the story to avoid making them 'a sadder purgatory than actually making them a story point in the film and using their character’s existence as a tremendous source of drama for some of our lead characters.'",88efddcca09b47a2bb87507d7b460434,,,4
mutt,lead characters,"According to Mangold, focusing on characters in the picture is important for the story because saying someone's out wandering off in the periphery seems sadder purgatory than actually making them 'a story point in the film and using their character’s existence as a tremendous source of drama for some of our lead characters.'",88efddcca09b47a2bb87507d7b460434,,,4
mutt,spielberg,"Following the release of Crystal Skull, LaBeouf criticized the film and Spielberg, although Mangold said this did not factor into Mutt's absence in Dial of Destiny.",88efddcca09b47a2bb87507d7b460434,,,4
crystal skull,fifth film,"Although Crystal Skull was largely shot in the U.S., Marshall said that the fifth film would return to a global range of filming locations like the earlier films.",75f5a1a2f8304fa59804dbb06b3e8421,,,4
global range of filming locations,earlier films,"Although Crystal Skull was largely shot in the U.S., Marshall said that the fifth film would return to a global range of filming locations like the earlier films.",75f5a1a2f8304fa59804dbb06b3e8421,,,4
