node_1,node_2,node_3,edge_1,edge_2
elle,lee,rachel,"close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah.","Lee's girlfriend Rachel, representing Elle's friend circle and the possible impact of Lee's reaction to Elle's decision on their relationship."
elle,lee,elle,"close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah.","Elle applies to University of Southern California to study game design. Elle and Lee remain best friends, visiting the fated Kissing Booth at the Charity Fair and Carnival."
lee,rachel,lee,"Lee's girlfriend Rachel, representing Elle's friend circle and the possible impact of Lee's reaction to Elle's decision on their relationship.","Relationship between Rachel and Lee, which has led to disagreements and misunderstandings. However, Rachel hopes for a future reconciliation."
lee,rachel,lee,"Lee's girlfriend Rachel, representing Elle's friend circle and the possible impact of Lee's reaction to Elle's decision on their relationship.",Lee and Rachel got back together and became engaged after college.
noah,lee,rachel,"close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah.","Lee's girlfriend Rachel, representing Elle's friend circle and the possible impact of Lee's reaction to Elle's decision on their relationship."
noah,lee,elle,"close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah.","Elle applies to University of Southern California to study game design. Elle and Lee remain best friends, visiting the fated Kissing Booth at the Charity Fair and Carnival."
chloe,elle,lee,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah."
chloe,elle,harvard,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process."," Elle's choice to go to Harvard with Noah, signifying her academic aspirations and potential future academic and career opportunities."
chloe,elle,berkeley's deadline,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","Elle's struggle with Berkeley's deadline, reflecting the time constraints and pressures of academic decisions."
chloe,elle,noah,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","History of relationship between Elle and Noah, including breaking up due to Elle's acceptance letter to Berkeley and Elle's heartbreak. Relationship has been a source of conflict for both characters."
chloe,elle,lee,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","Relationship between Elle and Lee, which Elle perceives as less important than her relationship with Noah. Arguments and disagreements have arisen due to this perception."
chloe,elle,linda,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","Issue arising from Elle's father's relationship with Linda, which led to an argument between Elle and her father."
chloe,elle,linda,"Noah's friend Chloe, representing Elle's social circle and the possible impact of her friendship with Noah on Elle's decision-making process.","Elle eventually understands and accepts Linda, reconciling with her father. Acknowledging how happy her brother is around her, Elle understands and accepts Linda."
marco,elle,lee,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process.","close siblings sharing childhood memories at beach house, highlighting their sibling bond and the potential emotional fallout of Lee's reaction to Elle's decision to go to Harvard with Noah."
marco,elle,harvard,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process."," Elle's choice to go to Harvard with Noah, signifying her academic aspirations and potential future academic and career opportunities."
marco,elle,berkeley's deadline,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process.","Elle's struggle with Berkeley's deadline, reflecting the time constraints and pressures of academic decisions."
marco,elle,noah,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process.","History of relationship between Elle and Noah, including breaking up due to Elle's acceptance letter to Berkeley and Elle's heartbreak. Relationship has been a source of conflict for both characters."
marco,elle,lee,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process.","Relationship between Elle and Lee, which Elle perceives as less important than her relationship with Noah. Arguments and disagreements have arisen due to this perception."
marco,elle,linda,"Marco getting a job in the area, representing Elle's past romantic connections and potential emotional fallout of her decision-making process.","Issue arising from Elle's father's relationship with Linda, which led to an argument between Elle and her father."
