Question,Answer
"""Is it true that in the 2005 movie, 'Batman Begins', the character Batman was portrayed by an actor other than Christian Bale?""",NO
"""In the movie 'Batman Begins' released in 2005, was the character Batman played by Christian Bale?""",YES
"[""In the 2005 movie Batman Begins, does Christian Bale play the role of Joker?""]",[NO]
"[""Did Christian Bale play the role of Bruce Wayne in the 2005 movie Batman Begins?""]",[YES]
"[""Is it true that Sir Christopher Nolan did not direct the film 'Batman Begins' released in 2005?""]",[NO]
"[""Was 'Batman Begins' released in 2005 directed by Sir Christopher Nolan?""]",[YES]
"[""Did Christopher Nolan solely write the screenplay for 'Batman Begins' released in 2005?""]",[NO]
"[""Was David S. Goyer a co-writer for the screenplay of 'Batman Begins' released in 2005?""]",[YES]
"[""Was the film 'Batman Begins' released in 2005 produced and distributed by a company other than Warner Bros. Pictures?""]",[NO]
"[""Was the film 'Batman Begins' released in 2005 produced and distributed by Warner Bros. Pictures?""]",[YES]
"[""Was 'The Dark Knight' released before 'Batman Begins' in 2005?""]",[NO]
"[""Is 'The Dark Knight' the sequel to 'Batman Begins' which was released in 2005?""]",[YES]
"[""Was the expectation for the movie 'Batman Begins' released in 2005 high due to the success of the previous Batman film series?""]",[NO]
"[""Did the movie 'Batman Begins', released in 2005, have moderate to low expectations due to the poor reception of the previous Batman film, 'Batman & Robin'?""]",[YES]
"[""In the 2005 movie 'Batman Begins', does Batman decide that killing is unnecessary due to the failures of the authorities and the corruption rampant in Gotham?""]",[NO]
"[""In 'Batman Begins' released in 2005, does Batman believe that taking justice into his own hands through killing is necessary due to the failures of the authorities?""]",[YES]
"[""Did Bruce show no interest in his family's company, Wayne Enterprises, in the 2005 movie 'Batman Begins'?""]",[NO]
"[""In the movie 'Batman Begins', released in 2005, did Bruce inherit and take an interest in his family's company, Wayne Enterprises?""]",[YES]
"[""In the 2005 movie 'Batman Begins', does Batman decide to adopt a vigilante identity due to his love for animals?""]",[NO]
"[""In 'Batman Begins' released in 2005, does Batman adopt a vigilante identity inspired by his childhood fear to fight crime and bring justice?""]",[YES]
"[""In the 2005 film 'Batman Begins', did Batman fail to provide Rachel with evidence against Falcone leading to his arrest?""]",[NO]
"[""In 'Batman Begins' released in 2005, while investigating a drug shipment, did Batman provide Rachel with evidence against Falcone that leads to his arrest?""]",[YES]
"[""In the 2005 film 'Batman Begins', does the character Falcone refuse to engage in crime and corruption in Gotham?""]",[NO]
"[""Is Falcone portrayed as a criminal mastermind who engages in crime and corruption in Gotham in the 2005 movie 'Batman Begins'?""]",[YES]
"[""In the 2005 movie 'Batman Begins', is Dr. Jonathan Crane portrayed as an honest psychologist?""]",[NO]
"[""In 'Batman Begins' released in 2005, does Dr. Jonathan Crane, a corrupt psychologist, smuggle drugs into Gotham with Falcone's help?""]",[YES]
"[""In the 2005 movie 'Batman Begins', does Crane use a fear-inducing hallucinogen without donning a scarecrow mask?""]",[NO]
