Question & Options,Correct Answer
"Which of the following statements are true regarding the production of the movie 'Bhaiaji Superhit' released in 2018?
Options:
A. The initial cast for 'Bhaiaji Superhit' was announced in 2011.
B. The movie was produced in 2018.
C. The movie's production began after the initial cast announcement.
D. The film was directed by a well-known Hollywood director.","The initial cast for 'Bhaiaji Superhit' was announced in 2011., The movie was produced in 2018., The movie's production began after the initial cast announcement."
"Which of the following statements are true regarding the production of the movie 'Bhaiaji Superhit' released in 2018?
Options:
A. Sunny Deol was part of the initial cast announced in 2011.
B. Ameesha Patel was part of the initial cast announced in 2011.
C. The movie was produced in 2018 without any prior announcements.
D. Sunny Deol and Ameesha Patel were both announced as part of the initial cast.","Sunny Deol was part of the initial cast announced in 2011., Ameesha Patel was part of the initial cast announced in 2011., Sunny Deol and Ameesha Patel were both announced as part of the initial cast."
"Which of the following actors were announced as part of the initial cast for the production of 'Bhaiaji Superhit' in 2011?
Options:
A. Arshad Warsi
B. Tusshar Kapoor
C. Sunny Deol
D. Preity Zinta","Arshad Warsi, Tusshar Kapoor"
"Which of the following statements are true regarding the production of the movie 'Bhaiaji Superhit' released in 2018?
Options:
A. Prakash Raj was announced as part of the movie's production in 2011.
B. The movie 'Bhaiaji Superhit' was produced by a single production house.
C. Prakash Raj has no involvement in the movie's production.
D. The production of 'Bhaiaji Superhit' began before its release year.","Prakash Raj was announced as part of the movie's production in 2011., The production of 'Bhaiaji Superhit' began before its release year."
"In the movie 'Bhaiaji Superhit' (2018), which of the following statements about the movie's production are correct?
Options:
A. Faouzia refused to increase the budget of the movie's production.
B. The movie's production budget was increased by ₹6 crore.
C. The refusal to increase the budget occurred in May 2012.
D. Faouzia was involved in the movie's casting decisions.","Faouzia refused to increase the budget of the movie's production., The refusal to increase the budget occurred in May 2012."
"Which of the following statements are true regarding the production of the movie 'Bhaiaji Superhit' released in 2018?
Options:
A. Subhash Ghai was approached by the director for the movie's production.
B. The production team had originally approached Faouzia for the project.
C. Subhash Ghai increased the budget for the production.
D. The movie was produced in May 2012.","Subhash Ghai was approached by the director for the movie's production., The production team had originally approached Faouzia for the project."
"Which of the following statements are true regarding the production of 'Bhaiaji Superhit' released in 2018?
Options:
A. Tusshar Kapoor was involved in the movie's production until July 2013.
B. Tusshar Kapoor left the movie's production due to schedule conflicts.
C. The production of 'Bhaiaji Superhit' began after July 2013.
D. Tusshar Kapoor was a main actor in 'Bhaiaji Superhit'.","Tusshar Kapoor left the movie's production due to schedule conflicts., Tusshar Kapoor was a main actor in 'Bhaiaji Superhit'."
"Which of the following statements about the production of 'Bhaiaji Superhit' (2018) are true?
Options:
A. A. Zinta was initially removed from the cast due to unavailability of dates.
B. B. Zinta played the role of the don's wife in the movie.
C. C. The movie was released in 2017.
D. D. Zinta confirmed her participation in April 2013.","A, B, D"
"In the production of the movie 'Bhaiaji Superhit' released in 2018, which of the following statements are true regarding its shooting schedule?
Options:
A. A 45-days long shooting schedule took place in Udaipur, Rajasthan.
B. The shooting schedule was conducted in September 2013.
C. The movie was primarily filmed in Mumbai.
D. The production involved a significant number of outdoor scenes.","A 45-days long shooting schedule took place in Udaipur, Rajasthan., The shooting schedule was conducted in September 2013."
"In the movie 'Bhaiaji Superhit' (2018), which of the following statements are true regarding the relationship between Mahendra Dharival and Sunny Deol?
Options:
A. Mahendra Dharival had a dispute with Sunny Deol over remuneration.
B. Sunny Deol was in favor of delaying the dubbing process.
C. The dispute occurred in November 2013.
D. Sunny Deol wanted his remuneration before dubbing.","Mahendra Dharival had a dispute with Sunny Deol over remuneration., The dispute occurred in November 2013., Sunny Deol wanted his remuneration before dubbing."
"Which of the following statements are true regarding the production of the movie 'Bhaiaji Superhit' released in 2018?
Options:
A. A. The movie was produced under the banner of Vijayta Films.
B. B. Tinu Verma was the action director consulted for the film.
C. C. Mahendra Dharival suggested that Sunny Deol should not be paid.
D. D. The project was advised to be completed under Vijayta Films.","A, B, D"
"In the movie 'Bhaiaji Superhit' (2018), which of the following statements about the production process are true?
Options:
A. A. Deol was advised by Tinu Verma regarding his payment.
B. B. The project was abandoned midway.
C. C. Tinu Verma consulted on the completion of the project.
D. D. Deol's payment was a concern during production.","A, C, D"
"In the movie 'Bhaiaji Superhit' (2018), which of the following statements are true regarding Zinta's involvement during production?
Options:
A. A) Zinta's scenes were delayed due to her participation in the Indian Premier League.
B. B) Zinta had no involvement in the Indian Premier League during the filming.
C. C) Zinta's role was significantly impacted by her IPL commitments.
D. D) Zinta was able to complete her scenes without any delays.","A, C"
