Question & Options,Correct Answer
"In the movie 'Bhuj: The Pride of India' (2021), which character is portrayed by Ajay Devgn, who also serves during the time of Prime Minister Indira Gandhi?
Options:
A. A. Squadron Leader Vijay Srinivas Karnik
B. B. Indira Gandhi
C. C. Major General
D. D. A fictional character",A. Squadron Leader Vijay Srinivas Karnik
"In the 2021 movie 'Bhuj: The Pride of India', which actress plays the role of Usha Karnik, who is the daughter-in-law of Indira Gandhi?
Options:
A. Pranitha Subhash
B. Kriti Sanon
C. Shraddha Kapoor
D. Kareena Kapoor Khan",Pranitha Subhash
"In the 2021 movie 'Bhuj: The Pride of India', which character is played by Ajay Devgn?
Options:
A. Squadron Leader Vijay Srinivas Karnik
B. Captain Vikram Batra
C. Major General Shah Nawaz Khan
D. Lieutenant Colonel Khushal Thakur",Squadron Leader Vijay Srinivas Karnik
"In the 2021 movie 'Bhuj: The Pride of India', what role does Sanjay Dutt's character, Ranchordas Pagi, play in relation to India?
Options:
A. He is a civilian leader advocating for peace.
B. He serves in the Indian Army Scout and works for R&AW.
C. He is a journalist reporting on the war.
D. He is a spy working for a foreign government.",He serves in the Indian Army Scout and works for R&AW.
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is portrayed by Sanjay Dutt?
Options:
A. Ranchordas Pagi
B. Vijay Karnik
C. Sardar Patel
D. Rani Mukerji",Ranchordas Pagi
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is played by Sonakshi Sinha?
Options:
A. Sunderben Jetha Madharparya
B. Rani Lakshmibai
C. Indira Gandhi
D. Rani Padmini",Sunderben Jetha Madharparya
"In the movie 'Bhuj: The Pride of India' released in 2021, which character does Nora Fatehi portray?
Options:
A. Heena Rehman
B. Rani Padmini
C. Madhubala
D. Sita",Heena Rehman
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is portrayed by Sharad Kelkar?
Options:
A. Lt. Col. Ram Karan 'RK' Nair
B. Major General Shamsher Singh
C. Captain Vikram Batra
D. Colonel Jagdish",Lt. Col. Ram Karan 'RK' Nair
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is played by Ammy Virk?
Options:
A. Squadron Leader Vikram Singh Baj
B. Major Karan Singh
C. Captain Raghav Sharma
D. Lieutenant Colonel Rajesh Kumar",Squadron Leader Vikram Singh Baj
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is played by Ihana Dhillon?
Options:
A. A. Vikram's sister
B. B. Vikram's wife
C. C. Vikram's mother
D. D. Vikram's friend",B. Vikram's wife
"In the 2021 movie 'Bhuj: The Pride of India', which character is portrayed by Mahesh Shetty?
Options:
A. Laxman Karnik
B. Vijay Karnik
C. Sunderlal
D. Rani",Laxman Karnik
"In the 2021 movie 'Bhuj: The Pride of India', which actress portrays Indira Gandhi?
Options:
A. Navni Parihar
B. Sanjana Sanghi
C. Pooja Hegde
D. Sridevi",Navni Parihar
"In the 2021 movie 'Bhuj: The Pride of India', which character is portrayed by Pranitha Subhash?
Options:
A. Usha Karnik
B. Vijay Srinivas Karnik
C. Ajay Devgn
D. Squadron Leader",Usha Karnik
"In the 2021 movie 'Bhuj: The Pride of India', which character is portrayed by Amit Dimri?
Options:
A. Razzak Bari
B. Vikram Batra
C. Ajay Singh
D. Sardar Shamsher Singh",Razzak Bari
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is portrayed by Nisha Singh?
Options:
A. Sundar Singh
B. Prema Bai
C. Ravi Kumar
D. Lakshmi Devi",Prema Bai
"In the 2021 movie 'Bhuj: The Pride of India', which actress plays the character Laxmi Parmar?
Options:
A. Vinitha Menon
B. Sanjana Sanghi
C. Disha Patani
D. Kriti Sanon",Vinitha Menon
"In the movie 'Bhuj: The Pride of India' released in 2021, which actor plays the character Anurag Tripathi?
Options:
A. Ajay Devgn
B. Monazir Khan
C. Arjun Kapoor
D. Sonakshi Sinha",Monazir Khan
"In the movie 'Bhuj: The Pride of India' released in 2021, which character is portrayed by Sanjeev Anand?
Options:
A. Sanjeev
B. Sunny
C. Anand
D. Bhuj",Sunny
"In the movie 'Bhuj: The Pride of India' (2021), which character is portrayed by Aditya Kumar Choubey?
Options:
A. Aadi
B. Vikram
C. Ravi
D. Karan",Aadi
"In the movie 'Bhuj: The Pride of India' (2021), which character is portrayed by Pooja Bhavoria?
Options:
A. Zeenat
B. Sundari
C. Aditi
D. Nisha",Zeenat
"In the 2021 movie 'Bhuj: The Pride of India', which character is portrayed by Vaansh Goswami?
Options:
A. Colonel Taimur
B. Major Singh
C. Captain Raghav
D. Lieutenant Arjun",Colonel Taimur
