Question & Options,Correct Answer
"In the 2014 movie 'Haider', which actor plays the character Haider Meer?
Options:
A. Ranbir Kapoor
B. Shahid Kapoor
C. Hrithik Roshan
D. Arjun Kapoor",Shahid Kapoor
"In the 2014 movie 'Haider', which character is played by Anshuman Malhotra?
Options:
A. Young Haider
B. Old Haider
C. Arshia
D. Khurram Mir",Young Haider
"In the 2014 film 'Haider', which actress plays the role of Ghazala Meer, Haider's mother?
Options:
A. Kareena Kapoor
B. Deepika Padukone
C. Tabu
D. Priyanka Chopra",Tabu
"In the 2014 movie 'Haider', which character is portrayed by Kay Kay Menon?
Options:
A. A. Haider's father
B. B. Khurram Meer (Haider's paternal uncle)
C. C. Haider's love interest
D. D. The antagonist",B. Khurram Meer (Haider's paternal uncle)
"In the 2014 movie 'Haider', which character is played by Shraddha Kapoor, who also goes by the name Arshia Lone?
Options:
A. Ophelia
B. Arshia Lone
C. Horatio
D. Gertrude",Arshia Lone
"In the 2014 movie 'Haider', which character is played by Irrfan Khan?
Options:
A. Roohdaar
B. Haider
C. Khurram
D. Ghazala",Roohdaar
"In the 2014 movie 'Haider', which actor plays the role of Dr. Hilaal Meer, who is Haider's father?
Options:
A. Narendra Jha
B. Irrfan Khan
C. Shahid Kapoor
D. Kay Kay Menon",Narendra Jha
"In the 2014 movie 'Haider', which character is portrayed by Kulbhushan Kharbanda?
Options:
A. Hussain Meer
B. Vikram
C. Rohit
D. Sultan",Hussain Meer
"In the 2014 film 'Haider', which characters are portrayed by Lalit Parimoo and Pervez Lone?
Options:
A. Hamlet
B. Ophelia
C. Polonius
D. Gertrude",Polonius
"In the 2014 movie 'Haider', which actor portrays the character Brigadier T. S. Murthy?
Options:
A. Ashish Vidyarthi
B. Irrfan Khan
C. Shahid Kapoor
D. Tabu",Ashish Vidyarthi
"In the 2014 film 'Haider', which character is portrayed by Rajat Bhatt?
Options:
A. Salman 1, who is a courtier
B. Hamlet, the prince
C. Ghazala, the mother
D. Khilji, the antagonist","Salman 1, who is a courtier"
"In the 2014 movie 'Haider', what is Saqib Sheikh's character commonly referred to as?
Options:
A. The Hero
B. Chocolate Boy
C. The Villain
D. The Mentor",Chocolate Boy
"In the 2014 movie 'Haider', which character is portrayed by Mohammad Shah?
Options:
A. Hamlet
B. Fortinbras
C. Ophelia
D. Gertrude",Fortinbras
"In the 2014 movie 'Haider', what role does Lankesh Bhardwaj play?
Options:
A. A detective
B. An interrogation officer
C. A lawyer
D. A journalist",An interrogation officer
