node_1,node_2,edge,chunk_id,count
i know who killed me,psychological thriller,I Know Who Killed Me is a psychological thriller film directed by Chris Sivertson.,130ddbc4c77b4fb79c174d6230f36740,4
lindsay lohan,young woman,The story of I Know Who Killed Me revolves around a young woman played by Lindsay Lohan.,130ddbc4c77b4fb79c174d6230f36740,4
serial killer,sadistic serial killer,I Know Who Killed Me is about a young woman who is abducted and tortured by a sadistic serial killer.,130ddbc4c77b4fb79c174d6230f36740,4
julia ormond,another woman,"After surviving the abduction, Lindsay Lohan's character insists that her identity is that of another woman played by Julia Ormond.",130ddbc4c77b4fb79c174d6230f36740,4
chris sivertson,director,I Know Who Killed Me is directed by Chris Sivertson.,130ddbc4c77b4fb79c174d6230f36740,4
tristar pictures,distributor,I Know Who Killed Me was released by TriStar Pictures.,130ddbc4c77b4fb79c174d6230f36740,4
new salem,serial killer,New Salem is being terrorized by a serial killer who abducts and tortures young women.,41796103526540ceb8fa02fc6b75141e,4
young women,serial killer,The serial killer abducts and tortures young women in New Salem.,41796103526540ceb8fa02fc6b75141e,4
aubrey fleming,serial killer,Aubrey Fleming appears to be the latest victim of the serial killer in New Salem.,41796103526540ceb8fa02fc6b75141e,4
new salem,fbi task force,The FBI Task Force is convened in New Salem to track the serial killer.,41796103526540ceb8fa02fc6b75141e,4
aubrey fleming,hospital,"Aubrey Fleming, who was abducted by the serial killer in New Salem, is found and taken to a hospital.",41796103526540ceb8fa02fc6b75141e,4
hospital,distraught parents,Aubrey Fleming's distraught parents wait by her side in the hospital.,41796103526540ceb8fa02fc6b75141e,4
aubrey fleming,dakota moss,"When Aubrey Fleming wakes up in the hospital, she claims to be Dakota Moss, a down-on-her-luck stripper.",41796103526540ceb8fa02fc6b75141e,4
aubrey fleming,amnesia,"After returning home from the hospital, Aubrey Fleming continues to claim that she is not who her doctors, parents, and law enforcement officials think she is, suffering from amnesia.",41796103526540ceb8fa02fc6b75141e,4
