Question,Answer
"Is ""Student of the Year 2"" directed by Ali Abbas Zafar, the same director of ""Tiger Zinda Hai"" in 2019?",NO
"Is ""Student of the Year 2"" released in 2019 directed by Ali Abbas Zafar, who also directed ""Tiger Zinda Hai""?",YES
"Is the music of ""Student of the Year 2"" composed by someone other than Vishal–Shekhar in 2019?",NO
"Did Vishal–Shekhar compose the music for ""Student of the Year 2"" in 2019?",YES
"Is ""Student of the Year 2"" an original movie released in 2019?",NO
"Is ""Student of the Year 2"" a sequel to the movie ""Student of the Year"" released in 2019?",YES
"Is the music of ""Student of the Year 2"" composed by Vishal–Shekhar, similar to ""Tiger Zinda Hai"" in 2019?",NO
"Did Vishal–Shekhar compose the soundtrack for ""Student of the Year 2"" released in 2019?",YES
"Is ""Student of the Year 2"" a Bollywood film that was released in 2019 and is not similar to ""Bharat""?",NO
"Is ""Student of the Year 2"" a Bollywood film released in 2019?",YES
"Is ""Student of the Year 2"" a Bollywood action film starring Salman Khan released in 2019?",NO
"Is ""Student of the Year 2"" a film released in 2019 that features a soundtrack?",YES
"Is the jawaani song in ""Student of the Year 2"" (2019) an original composition?",NO
"Does the jawaani song in ""Student of the Year 2"" (2019) recreate an iconic song from a previous Bollywood film?",YES
"Is the song ""hook up song"" from the movie ""Student of the Year 2"" (2019) a slow ballad?",NO
"Is ""mumbai dilli ki kudiyan"" an upbeat dance number featured in ""Student of the Year 2"" (2019)?",YES
"Is the jawaani song from the movie ""Student of the Year 2"" released in 2019 a sad ballad?",NO
"Are both the jawaani song and the hook up song popular party songs from recent Bollywood films in ""Student of the Year 2"" released in 2019?",YES
"Is the song ""the hook up song"" from ""Student of the Year 2"" (2019) a slow ballad?",NO
"Do both ""the hook up song"" and ""mumbai dilli di kudiyaan"" from ""Student of the Year 2"" (2019) share themes of youth and energy?",YES
