Question,Answer,generated_answer
"[""Did Kristen Stewart portray the character Alice Cullen in the movie 'The Twilight Saga  Breaking Dawn – Part 1 2011'?""]",no,yes
"[""Is Ashley Greene the actress who portrayed Alice Cullen in the movie 'The Twilight Saga  Breaking Dawn – Part 1 2011'?""]",yes,yes
"[""Did Nikki Reed portray the character of Jacob Black in the movie 'The Twilight Saga  Breaking Dawn – Part 1 2011'?""]",no,yes
"[""Did Nikki Reed embody the character Rosalie Hale in the movie 'The Twilight Saga  Breaking Dawn – Part 1 2011'?""]",yes,yes
"Did Robert Pattinson portray the character of Jasper Hale in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Is Jackson Rathbone the actor who portrayed the character Jasper Hale in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"""Is Billy Burke not portraying the character Charlie Swan in the movie 'The Twilight Saga Breaking Dawn – Part 1 2011'?""",no,yes
"""Does Billy Burke portray the character Charlie Swan in the movie 'The Twilight Saga Breaking Dawn – Part 1 2011'?""",yes,yes
"Did Sarah Clarke portray the character of Bella Swan in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Did Sarah Clarke embody the character Renée Dwyer in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"Did Ty Olsson play the role of Bella Swan in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Did Ty Olsson portray the character Phil Dwyer in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"Did Anna Kendrick play the role of Bella Swan in the movie ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",no,yes
"Is Jessica Stanley a character portrayed by Anna Kendrick in the movie ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",yes,yes
"Did Michael Welch portray the character Mike Newton in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"Was the character Mike Newton in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011"" portrayed by someone other than Michael Welch?",no,yes
"Did Christian Serratos portray the character Angela Weber in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"In the movie ""The Twilight Saga Breaking Dawn – Part 1 2011"", was Angela Weber portrayed by an actor other than Christian Serratos?",no,yes
"Did Justin Chon portray a character other than Eric Yorkie in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Did Justin Chon embody the character Eric Yorkie in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"Did Julia Jones portray the character of Bella Swan in the movie ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Is Leah Clearwater a character in ""The Twilight Saga Breaking Dawn – Part 1 2011"" portrayed by Julia Jones?",yes,yes
"Is it true that Bronson Pelletier does not play the character of Jared Cameron in the movie ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",no,yes
"Does Bronson Pelletier portray the character of Jared Cameron in the movie ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",yes,yes
"[""Did Tinsel Korey portray the character of Bella Swan in the movie 'The Twilight Saga  Breaking Dawn – Part 1 2011'?""]",no,yes
"[""In 'The Twilight Saga  Breaking Dawn – Part 1 2011', did Tinsel Korey depict the character of Emily Young, Sam's imprinted fiancée?""]",yes,yes
"""In 'The Twilight Saga Breaking Dawn – Part 1 2011', does Mackenzie Foy play the role of Jacob Black?""",no,yes
"""In 'The Twilight Saga Breaking Dawn – Part 1 2011', does Mackenzie Foy play the role of Renesmee Cullen, Bella and Edward's half-mortal, half-immortal daughter?""",yes,yes
"Did Christian Camargo play the role of Jacob in ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",no,yes
"Does Christian Camargo portray the character Eleazar, who can identify the special powers of other vampires, in ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",yes,yes
"Did Mía Maestro portray the character of Alice in ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",no,yes
"In ""The Twilight Saga  Breaking Dawn – Part 1 2011"", did Mía Maestro depict the character Carmen, a member of the Denali coven and mate of Eleazar?",yes,yes
"Is Olga Fonda playing the role of Bella in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",no,yes
"Does Olga Fonda play the character Valentina, a secretary to the Volturi, in ""The Twilight Saga Breaking Dawn – Part 1 2011""?",yes,yes
"Did Stephenie Meyer play the role of a vampire in the movie ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",no,yes
"Did Stephenie Meyer make a cameo as an attendee of Edward and Bella's wedding in ""The Twilight Saga  Breaking Dawn – Part 1 2011""?",yes,yes
