node_1,node_2,edge,chunk_id,count
shahida,"sultanpur, azad kashmir","Lives in the picturesque hills of Sultanpur, Azad Kashmir",3bf1d6a6628b46da8846fef80f53b4a0,4
shahida,hill,Accidentally falls off a hill and gets stuck for a day due to disability,3bf1d6a6628b46da8846fef80f53b4a0,4
search party,shahida,Organised to search for Shahida when she didn't return home by the end of the day,3bf1d6a6628b46da8846fef80f53b4a0,4
nizamuddin auliya shrine,shahida,"Visited to bring peace and happiness, restore speech",3bf1d6a6628b46da8846fef80f53b4a0,4
razia,nizamuddin auliya shrine,Travels to visit the holy shrine with Shahida,3bf1d6a6628b46da8846fef80f53b4a0,4
razia,ex-armyman father,Mother takes it upon herself to travel to India as father is unsure of getting a visa,3bf1d6a6628b46da8846fef80f53b4a0,4
shahida,sheep,Shahida notices a sheep stuck in a pit right outside the train and goes outside to help it.,d884264b842845fca43acf8c3329c229,4
train,shahida,Shahida is left behind on the return journey when the train restarts before she can return to her mother.,d884264b842845fca43acf8c3329c229,4
razia,train,Razia's daughter boards a freight train after being left behind on the return journey.,d884264b842845fca43acf8c3329c229,4
freight train,shahida,Shahida boards a freight train but is eventually left behind and goes in the reverse-path direction.,d884264b842845fca43acf8c3329c229,4
kurukshetra,shahida,"The freight train stops in Kurukshetra, where Razia notices her daughter is missing and stops the train.",d884264b842845fca43acf8c3329c229,4
policemen,shahida,Policemen are appointed to look for Shahida around the track where she was lost.,d884264b842845fca43acf8c3329c229,4
parents,shahida,Razia and her husband pray that their daughter is safe since they cannot find her due to her being in a different place.,d884264b842845fca43acf8c3329c229,4
munni,pawan kumar chaturvedi,"Munni, a mute stranger, was found by Pawan Kumar Chaturvedi at a religious celebration. He invited her to have a meal with him and called her Munni. When Munni finished the food and continued following him, Pawan believed that Lord Hanuman would take Munni home if she stayed in front of his temple. After Munni still didn't stop following him, Pawan brought her to the police station but since she couldn't tell them any details about her parents, they could only wait for someone to file a missing complaint. As Munni needed a place to stay until her parents were found, Pawan took her in and asked her to call him Mama if she ever talked in the future.",0215d33e21cb474c991320282bf2be84,4
pawan kumar chaturvedi,munni,"After finding Munni at a religious celebration, Pawan Kumar Chaturvedi named her Munni and believed that Lord Hanuman would take her home if she stayed in front of his temple. As Munni continued following him, Pawan brought her to the police station but since she couldn't tell them any details about her parents, they could only wait for someone to file a missing complaint. As Munni needed a place to stay until her parents were found, Pawan took her in and asked her to call him Mama if she ever talked in the future.",0215d33e21cb474c991320282bf2be84,4
munni,delhi,"As Pawan Kumar Chaturvedi was taking Munni, a mute stranger, to his home in Delhi, he asked her to nod if she knew what city her parents were in. All the passengers on the bus helped him but none of them named cities outside of India.",0215d33e21cb474c991320282bf2be84,4
pawan kumar chaturvedi,munni,"As Pawan Kumar Chaturvedi was taking Munni, a mute stranger, to his home in Delhi, he named different Indian cities and asked her to nod if she knew what city her parents were in. All the passengers on the bus helped him but none of them named cities outside of India.",0215d33e21cb474c991320282bf2be84,4
munni,hanuman,"When Pawan Kumar Chaturvedi found Munni, a mute stranger, at a religious celebration, he believed that Lord Hanuman would take Munni home if she stayed in front of his temple.",0215d33e21cb474c991320282bf2be84,4
pawan kumar chaturvedi,munni,"When Pawan Kumar Chaturvedi found Munni, a mute stranger, at a religious celebration, he named her Munni and believed that Lord Hanuman would take Munni home if she stayed in front of his temple.",0215d33e21cb474c991320282bf2be84,4
munni,police station,"When Munni still didn't stop following Pawan Kumar Chaturvedi, he brought her to the police station but since she couldn't tell them any details about her parents, they could only wait for someone to file a missing complaint.",0215d33e21cb474c991320282bf2be84,4
pawan,lord hanuman,Pawan was a true devotee of Lord Hanuman and refused to cheat or lie during his final examination in high school.,faaaf9c8508d430eb2a448c79ac90057,4
pawan,high school,Pawan attended high school and could not pass the final examination on his initial attempts.,faaaf9c8508d430eb2a448c79ac90057,4
