Question,Answer
Did Farhan Akhtar's parents support the themes of individual love stories in *Dil Chahta Hai*?,No.
Did the film *Dil Chahta Hai* originally have the title *Hum Teen*?,Yes
Did the individual love stories in *Dil Chahta Hai* impact the friendships portrayed in the film?,Yes
Do individual love stories in *Dil Chahta Hai* impact Aamir's love interest?,Yes
Did Zinta's character in *Dil Chahta Hai* have an impact on individual love stories?,Yes.
Did Zinta's character experience individual love stories that affected her friendship in *Dil Chahta Hai*?,Yes
Is 'Farhan Akhtar's diary' related to the production of 'Dil Chahta Hai'?,Yes.
Is the story of 'Dil Chahta Hai' based on Kassim Jagmagia's work?,Yes
Does the film *Dil Chahta Hai* reflect friendships?,Yes.
Did Farhan want Hrithik Roshan to play the role of Siddharth 'Sid' Sinha in *Dil Chahta Hai*?,Yes.
Was the budget of 'Dil Chahta Hai' ₹80 million?,Yes
Did Farhan complete the production of 'Dil Chahta Hai'?,Yes
"Did filming for 'Dil Chahta Hai' take place in locations like Mumbai, Goa, and Sydney?",Yes.
Is Dil Chahta Hai a movie that features Zinta and Farhan as long-time friends?,Yes
