Question,Answer
"Is Akash Saraf actually blind in the movie ""Andhadhun"" released in 2018?",NO
"Does Akash Saraf fake his blindness as part of an experiment in the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, did Sophie take care of Akash after he was knocked over without developing a romantic relationship?",NO
"In the movie ""Andhadhun"" released in 2018, does Sophie take care of Akash after he is knocked over and they begin a romantic relationship?",YES
"In the movie ""Andhadhun"" released in 2018, did Sophie get Akash an engagement at her father's diner because she was unimpressed by his talent?",NO
"In the movie ""Andhadhun"" released in 2018, did Sophie get Akash an engagement at her father's diner because she was impressed by his talent?",YES
"In the movie ""Andhadhun"" released in 2018, did Akash Saraf continue to wear his opaque lenses after meeting Sophie?",NO
"In the movie ""Andhadhun"" released in 2018, does Akash Saraf pretend to be blind after meeting Sophie?",YES
"Did Pramod Sinha invite Akash Saraf to perform at his wedding anniversary in the movie ""Andhadhun"" released in 2018?",NO
"Is Pramod Sinha a retired actor who notices Akash Saraf in the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, does Simi allow Akash inside to play the piano to entertain a nosey neighbour?",NO
"In the movie ""Andhadhun"" released in 2018, does Simi let Akash inside to avoid being seen by a neighbour?",YES
"In the movie ""Andhadhun"" released in 2018, does Akash genuinely know about Pramod Sinha's dead body?",NO
"In ""Andhadhun"" (2018), does Akash pretend to be blind while being aware of the situation with Pramod Sinha's dead body?",YES
"Is Simi Sinha in a romantic relationship with Manohar in the movie ""Andhadhun"" released in 2018?",NO
"Does Manohar hide in the bathroom while Akash plays in the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, did Simi and Manohar successfully hide the body without any complications?",NO
"In the movie ""Andhadhun"" released in 2018, does Akash play music to distract from the crime being committed around him?",YES
"In the movie ""Andhadhun"" released in 2018, does Akash successfully report the murder to Manohar, the police inspector?",NO
"In the movie ""Andhadhun"" released in 2018, does Manohar play the role of a police inspector?",YES
"Did Akash give piano lessons to Pramod's daughter in the movie ""Andhadhun"" released in 2018?",NO
"Is Akash a character who gives piano lessons to Pramod's daughter in the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, does Simi overhear Mrs. D'Sa talking about her own involvement in Pramod's murder?",NO
"In the movie ""Andhadhun"" released in 2018, does Simi overhear Mrs. D'Sa discussing the sighting of an unknown man at the Sinhas' flat on the day of Pramod's murder?",YES
"Is Sophie not in a relationship with Akash in the movie ""Andhadhun"" released in 2018?",NO
"Is Sophie in a relationship with Akash in the movie ""Andhadhun"" released in 2018?",YES
"Did Sophie believe that Simi and Akash had an affair in the movie ""Andhadhun"" released in 2018?",NO
"Did Simi arrange things to make it look like she and Akash had slept together in the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, does Manohar come to Akash's house to help him after learning the truth about Simi's murder?",NO
"In the movie ""Andhadhun"" released in 2018, does Manohar come to Akash's house with the intention to kill him after discovering the truth about Simi's murder and Akash faking his blindness?",YES
"In the movie ""Andhadhun"" released in 2018, does Sophie stay with Akash after discovering his lie about being blind?",NO
"In the movie ""Andhadhun"" released in 2018, does Sophie leave Akash after finding out that he has been lying to her?",YES
"In the movie ""Andhadhun"" released in 2018, does Dr. Swami decide to spare Akash because he has no valuable information?",NO
"In the movie ""Andhadhun"" released in 2018, does Dr. Swami decide to spare Akash when he reveals he has information that will make them millions?",YES
"Is Dr. Swami the main character in the movie ""Andhadhun"" released in 2018?",NO
"Does Murli assist Dr. Swami in the organ harvesting clinic in the movie ""Andhadhun"" released in 2018?",YES
Is Dr. Swami a villain in the movie Andhadhun released in 2018?,NO
Does Sakhu assist Dr. Swami in the organ harvesting clinic in the movie Andhadhun released in 2018?,YES
"In the movie ""Andhadhun"" released in 2018, did Simi successfully escape from being kidnapped by Dr. Swami and his assistants?",NO
"In the movie ""Andhadhun"" released in 2018, did Akash manage to rescue Simi from Dr. Swami and his assistants?",YES
"Did Simi blackmail Manohar in the movie ""Andhadhun"" released in 2018?",NO
"Was Manohar blackmailed by Dr. Swami and his assistants in the movie ""Andhadhun"" released in 2018?",YES
"Does Simi help Akash escape from the organ harvesting clinic in the movie ""Andhadhun"" released in 2018?",NO
"Is the relationship between Akash and Simi crucial to the plot of the movie ""Andhadhun"" released in 2018?",YES
"In the movie ""Andhadhun"" released in 2018, did Simi and Swami successfully execute their plan to double-cross Akash?",NO
"In the movie ""Andhadhun"" released in 2018, were Simi and Swami involved in a plot to take money from Akash?",YES
"In the movie ""Andhadhun"" released in 2018, does Manohar successfully escape after shooting Murli?",NO
"In the movie ""Andhadhun"" released in 2018, does Manohar accidentally shoot himself while trapped in an elevator?",YES
"In the movie ""Andhadhun"" released in 2018, does Simi plan to use her corneas to restore Akash's sight?",NO
