Question & Options,Correct Answer
"In the 2012 movie 'Django Unchained', what significant event occurs between Django and Broomhilda von Shaft?
Options:
A. Django was separated from Broomhilda von Shaft
B. Broomhilda von Shaft was sold off
C. Django and Broomhilda reunited at the end
D. Django was sold off in the context provided","Django was separated from Broomhilda von Shaft, Broomhilda von Shaft was sold off, Django was sold off in the context provided"
"In the movie 'Django Unchained' (2012), which of the following statements correctly describe the relationship between Schultz and Django?
Options:
A. Schultz purchases Django for his expertise on the Brittle brothers.
B. Django is initially a free man before Schultz's intervention.
C. Schultz and Django develop a partnership based on mutual goals.
D. Django is unaware of the Brittle brothers' whereabouts.","Schultz purchases Django for his expertise on the Brittle brothers., Schultz and Django develop a partnership based on mutual goals."
"In the movie 'Django Unchained' (2012), which of the following statements correctly describe the relationship between Schultz and the Brittle brothers?
Options:
A. Schultz is hunting the Brittle brothers due to a warrant for their arrest.
B. The Brittle brothers are allies of Schultz.
C. Schultz has a personal vendetta against the Brittle brothers.
D. The Brittle brothers are criminals that Schultz is tasked to capture.",Schultz is hunting the Brittle brothers due to a warrant for their arrest.; The Brittle brothers are criminals that Schultz is tasked to capture.
"In the movie 'Django Unchained' (2012), which of the following statements accurately describe the relationship between Ace and Schultz?
Options:
A. Ace is willing to sell Django to Schultz.
B. Ace threatens Schultz when he refuses to sell Django.
C. Schultz is a bounty hunter looking to free Django.
D. Ace and Schultz have a friendly relationship.","Ace threatens Schultz when he refuses to sell Django., Schultz is a bounty hunter looking to free Django."
"In the movie 'Django Unchained' (2012), what actions does Schultz take that demonstrate his relationship with Dicky?
Options:
A. Schultz kills Ace.
B. Schultz saves Dicky.
C. Schultz shoots Dicky's horse.
D. Schultz helps Django escape.","Schultz kills Ace, Schultz shoots Dicky's horse."
"In the movie 'Django Unchained' (2012), what is the relationship between Django and the shackled black slaves?
Options:
A. Django is one of the shackled black slaves.
B. Django seeks to free the shackled black slaves.
C. Django is a slave owner.
D. Django is separated from the shackled black slaves.","Django is one of the shackled black slaves., Django seeks to free the shackled black slaves., Django is separated from the shackled black slaves."
"In the movie 'Django Unchained' (2012), which of the following statements are true regarding Broomhilda von Shaft's relationship with the shackled black slaves?
Options:
A. Broomhilda von Shaft is one of the shackled black slaves.
B. Broomhilda von Shaft speaks both German and English.
C. Broomhilda von Shaft is a free woman throughout the film.
D. The shackled black slaves do not have any connection to Broomhilda von Shaft.","Broomhilda von Shaft is one of the shackled black slaves., Broomhilda von Shaft speaks both German and English."
Error parsing question,Error parsing answer
"In the movie 'Django Unchained' (2012), which of the following statements accurately describe the relationship between Django and Schultz?
Options:
A. A. Schultz feels responsible for Django's well-being.
B. B. Django is trained by Schultz to become a bounty hunter.
C. C. Schultz is indifferent to Django's quest for Broomhilda.
D. D. Schultz agrees to help Django find and rescue Broomhilda.","A, B, D"
"In the movie 'Django Unchained' (2012), which of the following statements about the relationship between Broomhilda and Calvin J. Candie is true?
Options:
A. Broomhilda is owned by Calvin J. Candie.
B. Calvin J. Candie is the owner of the 'Candyland' plantation.
C. Broomhilda is a free woman at the beginning of the film.
D. Calvin J. Candie is a character who plays a significant role in Broomhilda's fate.","Broomhilda is owned by Calvin J. Candie., Calvin J. Candie is the owner of the 'Candyland' plantation., Calvin J. Candie is a character who plays a significant role in Broomhilda's fate."
"In the 2012 movie 'Django Unchained', what significance does the handbill have for Django?
Options:
A. It represents his first bounty.
B. It is a symbol of good luck.
C. It is a reminder of his past.
D. It is used to track other bounties.","It represents his first bounty., It is a symbol of good luck."
"In the movie 'Django Unchained' (2012), which characters are involved in a business transaction concerning the sale of Broomhilda?
Options:
A. Dr. King Schultz
B. Calvin Candie
C. Django Freeman
D. Stephen","Dr. King Schultz, Calvin Candie"
"In the movie 'Django Unchained' (2012), which of the following statements about the relationship between Broomhilda and Schultz is true?
Options:
A. A. Schultz intends to buy Broomhilda as part of his negotiation strategy.
B. B. Broomhilda is a slave whom Schultz wants to free.
C. C. Schultz has no interest in Broomhilda's fate during the negotiations.
D. D. The purchase of Broomhilda is a key part of Schultz's plan to confront Candie.","A, B, D"
"In the movie 'Django Unchained' (2012), which characters collaborate to execute a plan involving the sale of Broomhilda?
Options:
A. Django
B. Schultz
C. Calvin Candie
D. Stephen","Django, Schultz"
