Question,Answer
Did Luke cause confusion for Justin by claiming that Kelly is his girlfriend?,Yes
Did Justin call Alexa and say he only wanted to be with her in *From Justin to Kelly*?,No
Did Kelly and Justin make plans to meet at the beach the following night in *From Justin to Kelly*?,No
Did Alexa play a role in reuniting Justin and Kelly?,Yes
Did Kelly and Justin dance together at a pool party in *From Justin to Kelly*?,Yes
Did Alexa pretend to be Kelly and instruct Justin to meet her at a bar instead of the beach in *From Justin to Kelly*?,No
Was Alexa pretending to be Kelly and instructed Justin to meet her at a bar instead of the beach in *From Justin to Kelly*?,Yes
Did Alexa pretend to be Kelly and instruct Justin to meet her at a bar instead of the beach in *From Justin to Kelly*?,No
Did Alexa pretend to be Kelly and instruct Justin to meet her at a bar instead of the beach in *From Justin to Kelly*?,No
Was Luke injured during the hovercraft race in *From Justin to Kelly*?,Yes
Did Luke's appearance cause confusion for Justin in *alexa*?,Yes
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,Yes
Did Kaya's actions lead to Carlos losing his job?,Yes
Did Kaya's complaint to Carlos' boss result in Carlos being fired?,Yes
Did Kaya's complaint to Carlos' boss result in Carlos being fired?,Yes
Was Luke injured during the hovercraft race in the movie *luke*?,No
Did Luke get injured during the hovercraft race in the movie?,Yes
Did Luke get injured during the hovercraft race in the movie *From Justin to Kelly*?,Yes
Did Luke get injured during the hovercraft race in the movie *From Justin to Kelly*?,No
Did Luke get injured during the hovercraft race in the movie *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing someone in the movie *From Justin to Kelly*?,No
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,No
Did Kelly confront Alexa about Luke and Justin in the movie *From Justin to Kelly*?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in *From Justin to Kelly*?,Yes
Did Kaya play a role in Carlos getting fired from his job?,Yes
Did Carlos apologize to Kaya by arranging a romantic dinner for them in a pool?,Yes
Was Kaya angry with Carlos for interfering in his life?,No
Did Carlos apologize to Kaya by arranging a romantic dinner for them in a pool?,No
Did Carlos apologize to Kaya by arranging a romantic dinner for them in a pool?,Yes
Did Alexa confront Kelly about Luke and Justin in the movie *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing someone in *From Justin to Kelly*?,Yes
Did Kelly confront Alexa about Luke and Justin in *From Justin to Kelly*?,Yes
Did Kelly confront Alexa about Luke and Justin in the movie *From Justin to Kelly*?,Yes
Did Justin meet Alexa at a bar instead of the beach as instructed by Kelly?,No
Did Alexa kiss Justin in *From Justin to Kelly*?,Yes
Did Justin actually call Alexa and say he only wanted to be with her in *From Justin to Kelly*?,No
Did Alexa admit to being jealous of the attention Kelly receives from guys in *From Justin to Kelly*?,Yes
Did Luke claim that Kelly is his girlfriend in *From Justin to Kelly*?,Yes
Did Justin call Alexa and say he only wanted to be with her in *From Justin to Kelly*?,No
Did Justin storm off in the movie *From Justin to Kelly*?,No
Did Kelly realize something was amiss as Justin stormed off in *From Justin to Kelly*?,No
Did Justin and Kelly dance together at a pool party?,Yes
Did Alexa pretend to be Kelly and instruct Justin to meet her at a bar instead of the beach in *From Justin to Kelly*?,Yes
Did Kelly witness Alexa kissing Justin in *From Justin to Kelly*?,Yes
Did Kelly confront Alexa about Luke and Justin in *From Justin to Kelly*?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in *From Justin to Kelly*?,Yes
Did Kelly realize something was amiss as Justin stormed off in *From Justin to Kelly*?,No
Did Kelly witness Alexa kissing someone in *From Justin to Kelly*?,Yes
Did Kelly realize something was amiss as Justin stormed off in the movie *From Justin to Kelly*?,Yes
Did Kelly and Alexa argue after Kelly revealed what Alexa told her?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in the movie *From Justin to Kelly*?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in the movie *From Justin to Kelly*?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in *From Justin to Kelly*?,Yes
Did Alexa admit to being jealous of the attention Kelly receives from guys in *From Justin to Kelly*?,Yes
Did Alexa arrange for Justin and Kelly to reunite in *From Justin to Kelly*?,No
Did Kelly witness Alexa kissing Carlos in *From Justin to Kelly*?,Yes
Was Justin the one who arranged for Justin and Kelly to reunite in *From Justin to Kelly*?,No
Was Justin and Kelly reunited by Alexa in *From Justin to Kelly*?,No
Did Kelly and Justin make plans to meet at the beach the following night?,Yes
Did Kelly witness Alexa kissing someone in *From Justin to Kelly*?,Yes
Did Justin and Kelly dance together at a pool party in *From Justin to Kelly*?,Yes
Did Kelly and Alexa argue after Kelly revealed what Alexa told her?,Yes
