Question,Answer
"[""Is the summary of 'The Hottie and the Nottie 2009' unrelated to the movie itself?""]",no
"[""Is the summary of 'The Hottie and the Nottie 2009' a part of the movie?""]",yes
"[""Did Paris Hilton not star in the movie 'The Hottie and the Nottie 2009'?""]",no
"[""Did Paris Hilton star in the movie 'The Hottie and the Nottie 2009'?""]",yes
"[""Did Joel David Moore portray the character of Nate Cooper in the movie 'The Hottie and the Nottie 2009'?""]",yes
"[""Was Nate Cooper played by an actor other than Joel David Moore in the movie 'The Hottie and the Nottie 2009'?""]",no
"Did Christine Lakin play the role of a male character in ""The Hottie and the Nottie 2009""?",no
"Did Christine Lakin play the role of Cristabel Abbott in ""The Hottie and the Nottie 2009""?",yes
"Did the production of ""The Hottie and the Nottie 2009"" begin in June 2007?",no
"Did the production of ""The Hottie and the Nottie 2009"" start in January 2007?",yes
"Did Paris Hilton win the Academy Award for Best Actress for her role in ""The Hottie and the Nottie 2009""?",no
"Did Paris Hilton receive the Golden Raspberry Award for Worst Actress for her role in ""The Hottie and the Nottie 2009""?",yes
"Is Cristabel Abbott portrayed as a short, unattractive brunette girl in the movie ""The Hottie and the Nottie 2009""?",no
"Does Cristabel Abbott maintain a friendship with a short, unattractive brunette girl from elementary school in the movie ""The Hottie and the Nottie 2009""?",yes
"Does the movie ""The Hottie and the Nottie 2009"" depict Cristabel jogging in the mountains with many suitors trying to catch her eye, including an albino stalker?",no
"In ""The Hottie and the Nottie 2009"", does Cristabel jog on the beach every day with many suitors trying to catch her eye, including an albino stalker?",yes
"Does Nate's obsession with The Hottie in ""The Hottie and the Nottie 2009"" strengthen his romantic relationship with Cristabel?",no
"In ""The Hottie and the Nottie 2009"", does Nate's obsession with The Hottie lead to the end of his romantic relationship with Cristabel?",yes
