node_1,node_2,edge
cooper,directorial debut,Cooper became the male lead while in final talks to make his directorial debut at the end of March 2016.
ray liotta,in talks,"On November 9, 2016, it was reported that Ray Liotta was in talks to join the film in the role of the manager to Cooper's character, though he ultimately was not involved."
sam elliott,joined,"On March 17, 2017, Sam Elliott joined the film,"
rafi gavron,joined,"In April 2017, Rafi Gavron, Michael Harney, and Rebecca Field also joined the cast,"
dave chappelle,cast,"In May, Dave Chappelle was cast in the film,"
halsey,small role,"In April 2018, it was announced that Halsey would have a small role."
"april 17, 2017",filming,"Filming for A Star Is Born began on April 17, 2017."
lady gaga,nelson,"Subsequently, Nelson met Lady Gaga and began writing songs with her."
gaga and cooper,soundtrack,"The soundtrack for A Star Is Born, performed by Gaga and Cooper, was released on October 5, 2018."
call me by your name,album,"The studio announced that the album 'Call Me By Your Name' was released on October 5, 2018, by Interscope Records. The album features 19 songs in a wide range of musical styles + 15 dialogue tracks that will take you on a journey that mirrors the experience of seeing the film."
interscope records,studio,"The studio announced that the album 'Call Me By Your Name' was released on October 5, 2018, by Interscope Records. The studio is involved in releasing the album."
"october 5, 2018",release date,"The studio announced that the album 'Call Me By Your Name' was released on October 5, 2018. The release date is mentioned in the announcement."
19 songs,number of songs,The studio announced that the album 'Call Me By Your Name' features 19 songs in a wide range of musical styles. The number of songs is mentioned in the announcement.
dialogue tracks,number of dialogue tracks,The studio announced that the album 'Call Me By Your Name' features 15 dialogue tracks that will take you on a journey that mirrors the experience of seeing the film. The number of dialogue tracks is mentioned in the announcement.
