Question & Options,Correct Answer
"""In the 2017 movie 'The Snowman', where does the character Sarah stay with her son?""
Options:
A. [""In a city apartment""]
B. [""In a remote cabin""]
C. [""At a seaside villa""]
D. [""In a suburban house""]","[""In a remote cabin""]"
"""In the 2017 movie 'The Snowman', who visited Sarah and her son at their remote cabin?""
Options:
A. [""Jonas, Sarah's abusive biological father""]
B. [""Sarah's son""]
C. [""A mysterious stranger""]
D. [""Sarah's friend""]","[""Jonas, Sarah's abusive biological father""]"
"""In the 2017 movie 'The Snowman', what did the character Jonas do to Sarah at the remote cabin?""
Options:
A. [""Jonas rescued Sarah from a fire""]
B. [""Jonas struck and sexually assaulted Sarah""]
C. [""Jonas proposed to Sarah""]
D. [""Jonas and Sarah planned a heist together""]","[""Jonas struck and sexually assaulted Sarah""]"
"In the 2017 movie ""The Snowman"", what was the relationship between Sarah and Jonas's wife?
Options:
A. [""Sarah was Jonas's wife's sister""]
B. [""Sarah was Jonas's wife's friend""]
C. [""Sarah was Jonas's wife's co-worker""]
D. [""Sarah was threatening to reveal a secret to Jonas's wife""]","[""Sarah was threatening to reveal a secret to Jonas's wife""]"
"""In the 2017 movie 'The Snowman', who is the boy visiting the remote cabin with?""
Options:
A. [""Sarah""]
B. [""His mother""]
C. [""His father""]
D. [""His friend""]","[""Sarah""]"
"[""In the 2017 movie 'The Snowman', what event happened near the remote cabin?""]
Options:
A. [""Sarah's car exploded""]
B. [""Sarah's car crashed into a lake""]
C. [""Sarah's car was stolen""]
D. [""Sarah's car broke down""]","[""Sarah's car crashed into a lake""]"
"[""In the 2017 movie 'The Snowman', what is the relationship between Oleg and Harry?""]
Options:
A. [""Harry is Oleg's brother.""]
B. [""Harry is Oleg's enemy.""]
C. [""Harry is Oleg's friend.""]
D. [""Harry loves Oleg like a son.""]","[""Harry loves Oleg like a son.""]"
"In the 2017 movie ""The Snowman"", what does the character Harry receive that is signed with a childlike drawing of a snowman?
Options:
A. [""A phone call""]
B. [""A mysterious letter""]
C. [""An email""]
D. [""A text message""]","[""A mysterious letter""]"
"""In the 2017 movie 'The Snowman', who did Katrine and Harry investigate the disappearance of?""
Options:
A. [""Katrine Bratt""]
B. [""Harry Hole""]
C. [""Birte Becker""]
D. [""Arlene Dahl""]","[""Birte Becker""]"
"""In the 2017 movie 'The Snowman', what does Harry realize about Katrine?""
Options:
A. [""Katrine has stolen his car.""]
B. [""Katrine is his long-lost sister.""]
C. [""Katrine has taken police files without permission.""]
D. [""Katrine is an undercover agent.""]","[""Katrine has taken police files without permission.""]"
"[""In the 2017 movie 'The Snowman', what does Harry learn about Katrine's investigation?""]
Options:
A. [""Katrine is looking for a link between several missing persons cases and a case from nine years ago, investigated by Gert Rafto.""]
B. [""Katrine is looking for a link between several unsolved murder cases.""]
C. [""Katrine is investigating a series of robberies that happened nine years ago.""]
D. [""Katrine is looking for Harry's connection to a case from nine years ago.""]","[""Katrine is looking for a link between several missing persons cases and a case from nine years ago, investigated by Gert Rafto.""]"
"""In the 2017 movie 'The Snowman', who do Harry and Katrine find alive and well at her farm?""
Options:
A. [""Sylvia Otterson""]
B. [""Harry""]
C. [""Katrine""]
D. [""The Snowman""]","[""Sylvia Otterson""]"
"""In the 2017 movie 'The Snowman', who does the character Katrine believe is responsible for the deaths?""
Options:
A. [""Arve Støp""]
B. [""Harry Hole""]
C. [""Jonas Becker""]
D. [""Mathias Lund-Helgesen""]","[""Arve Støp""]"
"[""In the 2017 movie 'The Snowman', who does the character Harry run into, who is also Rakel's new boyfriend?""]
Options:
A. [""A police officer""]
B. [""A cosmetic surgeon""]
C. [""A movie director""]
D. [""A professional athlete""]","[""A cosmetic surgeon""]"
"[""In the 2017 movie 'The Snowman', what was the promise that Harry forgot he had made to Oleg?""]
Options:
A. [""He promised to take Oleg to a baseball game.""]
B. [""He promised to take Oleg on a camping trip.""]
C. [""He promised to buy Oleg a new bike.""]
D. [""He promised to help Oleg with his homework.""]","[""He promised to take Oleg on a camping trip.""]"
"[""In the 2017 movie 'The Snowman', what operation is Dr. Vetlesen overseeing?""]
Options:
A. [""A low-level drug trade""]
B. [""Støp's high-class prostitution ring""]
C. [""A black market organ trade""]
D. [""A high-stakes gambling ring""]","[""Støp's high-class prostitution ring""]"
"""In the 2017 movie 'The Snowman', what is the common factor among the recent victims?""
Options:
A. [""They all visited the clinic of Dr. Vetlesen.""]
B. [""They all worked at the same company.""]
C. [""They all lived in the same neighborhood.""]
D. [""They all attended the same school.""]","[""They all visited the clinic of Dr. Vetlesen.""]"
"""In the 2017 movie 'The Snowman', what was the relationship between Katrine and Støp at a public event?""
Options:
A. [""Katrine was arguing with Støp.""]
B. [""Katrine was ignoring Støp.""]
C. [""Katrine was flirting with Støp.""]
D. [""Katrine was fighting with Støp.""]","[""Katrine was flirting with Støp.""]"
"[""In the 2017 movie 'The Snowman', where did Katrine set up a hidden camera?""]
Options:
A. [""In Støp's car""]
B. [""In Støp's office""]
C. [""In Støp's house""]
D. [""In Støp's hotel room""]","[""In Støp's hotel room""]"
