Question & Options,Correct Answer
"In the movie 'Article 15' (2019), which of the following statements are true regarding the characters Sayani Gupta and Pooja?
Options:
A. A. Sayani Gupta plays the character Gaura.
B. B. Pooja is Gaura's sister.
C. C. Gaura is the sister of Pooja.
D. D. Sayani Gupta and Pooja are friends.","A, C"
"Which of the following statements are true regarding the characters in the movie 'Article 15' (2019)?
Options:
A. Aakash Dabhade is a character in the movie
B. Satyendra Rai is a character in the movie
C. Both characters are police officers
D. Aakash Dabhade and Satyendra Rai are friends","Aakash Dabhade is a character in the movie, Satyendra Rai is a character in the movie"
"Which of the following statements are true regarding the characters in the movie 'Article 15' released in 2019?
Options:
A. A. Veen Harsh is a character in the movie.
B. B. Anshu Naharia is a character in the movie.
C. C. Veen Harsh and Anshu Naharia are both protagonists in the film.
D. D. Anshu Naharia is a supporting character in the film.","A, B, C, D"
"In the movie 'Article 15' (2019), which of the following characters are portrayed by Mohammed Zeeshan Ayyub and Nishad?
Options:
A. A. Mohammed Zeeshan Ayyub
B. B. Nishad
C. C. Both characters are in the movie
D. D. None of the above","A, B, C"
"Which of the following statements are true regarding the characters in the movie 'Article 15' released in 2019?
Options:
A. Ronjini Chakraborty is a character in 'Article 15'.
B. Dr. Malti Ram is a character in 'Article 15'.
C. Both Ronjini Chakraborty and Dr. Malti Ram are protagonists in 'Article 15'.
D. Ronjini Chakraborty and Dr. Malti Ram are both characters in the movie.","Ronjini Chakraborty is a character in 'Article 15'., Dr. Malti Ram is a character in 'Article 15'., Ronjini Chakraborty and Dr. Malti Ram are both characters in the movie."
"In the 2019 movie 'Article 15', which of the following statements are true regarding the characters Sumbul Touqeer and Amali Singh?
Options:
A. Sumbul Touqeer is a character in the movie.
B. Amali Singh is a character in the movie.
C. Both characters are involved in the main plot.
D. Sumbul Touqeer and Amali Singh are friends in the movie.","Sumbul Touqeer is a character in the movie., Amali Singh is a character in the movie."
"In the movie 'Article 15' (2019), which of the following statements are true regarding the characters Sushil Pandey and Chandrabhan?
Options:
A. Both Sushil Pandey and Chandrabhan are characters in the movie.
B. Sushil Pandey is a police officer.
C. Chandrabhan is a victim of caste discrimination.
D. Both characters play a significant role in highlighting social issues.","Both Sushil Pandey and Chandrabhan are characters in the movie., Chandrabhan is a victim of caste discrimination., Both characters play a significant role in highlighting social issues."
"In the movie 'Article 15' (2019), which of the following characters are present in the film?
Options:
A. Shikha Valmiki
B. Shanu
C. Aman
D. Kumar","Shikha Valmiki, Shanu"
"Which of the following statements are true regarding the characters Isha Verma and Mamta in the movie 'Article 15' released in 2019?
Options:
A. Isha Verma and Mamta are both characters in 'Article 15'.
B. Isha Verma is the main protagonist of the film.
C. Mamta plays a significant role in highlighting social issues in the movie.
D. Both characters represent different societal perspectives.","Isha Verma and Mamta are both characters in 'Article 15'., Mamta plays a significant role in highlighting social issues in the movie., Both characters represent different societal perspectives."
"In the movie 'Article 15' (2019), which of the following statements are true regarding Suchi and Pooja?
Options:
A. Suchi and Pooja are both victims of a crime.
B. Gaura is the sister of Suchi.
C. Pooja is the sister of Gaura.
D. Both Suchi and Pooja are connected through a crime.","Suchi and Pooja are both victims of a crime., Both Suchi and Pooja are connected through a crime."
"Which of the following statements are true regarding the characters in the movie 'Article 15' released in 2019?
Options:
A. Alim Naqvi is a character in the movie.
B. Ramlal Naharia is a character in the movie.
C. Both characters are police officers.
D. Both characters are involved in the central investigation.","Alim Naqvi is a character in the movie., Ramlal Naharia is a character in the movie."
"In the movie 'Article 15' (2019), which of the following statements are true regarding the characters Nawal Shukla and Mahantji?
Options:
A. Nawal Shukla is a police officer investigating a case.
B. Mahantji is a local leader with significant influence.
C. Both characters are involved in the social issues depicted in the film.
D. Nawal Shukla and Mahantji are siblings.","Nawal Shukla is a police officer investigating a case., Mahantji is a local leader with significant influence., Both characters are involved in the social issues depicted in the film."
"Which of the following statements are true regarding the characters in the movie 'Article 15' (2019)?
Options:
A. Shreya Awasthi is a character in the movie
B. Archana Rai is a character in the movie
C. Both characters are police officers
D. Both characters are involved in the central plot","Shreya Awasthi is a character in the movie, Archana Rai is a character in the movie"
"Which of the following statements are true regarding the characters in the movie 'Article 15' released in 2019?
Options:
A. Shivam Singh is a police officer
B. Bachchu Rai is a victim of caste discrimination
C. Both Shivam Singh and Bachchu Rai are characters in the movie
D. Shivam Singh is a journalist","Shivam Singh is a police officer, Bachchu Rai is a victim of caste discrimination, Both Shivam Singh and Bachchu Rai are characters in the movie"
"In the movie 'Article 15' (2019), which of the following statements are true regarding the characters 'Iccha Shankar' and 'Shanti Prasad'?
Options:
A. Both Iccha Shankar and Shanti Prasad are characters in the movie.
B. Iccha Shankar is the protagonist of the film.
C. Shanti Prasad is a supporting character in the film.
D. Both characters are involved in the central conflict of the story.","Both Iccha Shankar and Shanti Prasad are characters in the movie., Shanti Prasad is a supporting character in the film., Both characters are involved in the central conflict of the story."
"Which of the following characters are present in the movie 'Article 15' released in 2019?
Options:
A. Uday Vir Singh Yadav
B. Sukkha Singh
C. Ranjan Kumar
D. Isha Mukherjee","Uday Vir Singh Yadav, Sukkha Singh"
"In the movie 'Article 15' (2019), which of the following characters are present in the film?
Options:
A. Vivek Kumar Yadav
B. Nokhai
C. Anjali
D. Inspector Singh","Vivek Kumar Yadav, Nokhai"
"In the movie 'Article 15' (2019), which of the following characters are present in the film?
Options:
A. r.d. singh
B. subodh lal
C. a.k. sharma
D. deepak kumar","r.d. singh, subodh lal"
