Question & Options,Correct Answer
"In the movie 'Jabariya Jodi' (2019), which of the following characters are portrayed by Sidharth Malhotra?
Options:
A. Abhay Bunty Singh
B. Sidharth's love interest
C. A police officer
D. A wedding planner",Abhay Bunty Singh
"In the movie 'Jabariya Jodi' (2019), which of the following statements are true regarding Parineeti Chopra's character?
Options:
A. A. Parineeti Chopra plays the character of Babli Yadav.
B. B. Babli Yadav is portrayed by a different actress.
C. C. Parineeti Chopra appears as Mona Ghosh Shetty in some scenes.
D. D. Babli Yadav is a main character in the film.","A, C"
"Which of the following statements are true regarding the cast of the movie 'Jabariya Jodi' released in 2019?
Options:
A. A) Javed Jaffrey plays the character Hukum Singh.
B. B) Hukum Singh is portrayed by a different actor.
C. C) Javed Jaffrey is part of the main cast.
D. D) Hukum Singh is a supporting character in the film.","A) Javed Jaffrey plays the character Hukum Singh., C) Javed Jaffrey is part of the main cast., D) Hukum Singh is a supporting character in the film."
"In the movie 'Jabariya Jodi' (2019), which of the following statements are true regarding the characters played by Sanjay Mishra?
Options:
A. A. Sanjay Mishra portrays Duniya Lal Yadav.
B. B. Duniya Lal Yadav is a prominent character in the movie.
C. C. Sanjay Mishra plays the lead role in 'Jabariya Jodi'.
D. D. Duniya Lal Yadav is not played by Sanjay Mishra.","A, B"
"In the movie 'Jabariya Jodi' (2019), which of the following characters are portrayed by Aparshakti Khurana?
Options:
A. Santosh Pathak
B. Raghu
C. Kareena
D. Babu",Santosh Pathak
"Which of the following statements are true regarding the cast of the movie 'Jabariya Jodi' released in 2019?
Options:
A. A) Elli Avram plays the character Zilla.
B. B) Zilla is a supporting character in the movie.
C. C) Elli Avram is the main lead in 'Jabariya Jodi'.
D. D) Zilla is portrayed by Elli Avram.","A) Elli Avram plays the character Zilla., D) Zilla is portrayed by Elli Avram."
"In the movie 'Jabariya Jodi' (2019), which of the following statements about the character Kush, played by Ruslaan Mumtaz, are true?
Options:
A. Ruslaan Mumtaz plays the role of Kush.
B. Kush is the main antagonist of the movie.
C. Kush is a romantic lead in 'Jabariya Jodi'.
D. Kush is involved in a comedic subplot.","Ruslaan Mumtaz plays the role of Kush., Kush is a romantic lead in 'Jabariya Jodi'."
"In the movie 'Jabariya Jodi' (2019), which of the following statements are true regarding the character Guddu?
Options:
A. A) Chandan Roy Sanyal plays the character Guddu.
B. B) Guddu is portrayed as a villain in the film.
C. C) Chandan Roy Sanyal is known for his role as Guddu.
D. D) Guddu is the protagonist of the movie.","A, C, D"
"In the movie 'Jabariya Jodi' (2019), which of the following statements are true regarding the characters portrayed by Neeraj Sood and Pathak ji?
Options:
A. Neeraj Sood plays the character of Pathak ji.
B. Pathak ji is a supporting character in the film.
C. Neeraj Sood is the main antagonist of the story.
D. Pathak ji has a comedic role in the movie.","Neeraj Sood plays the character of Pathak ji., Pathak ji is a supporting character in the film., Pathak ji has a comedic role in the movie."
"In the movie 'Jabariya Jodi' (2019), which of the following statements are true regarding the characters played by Arfi Lamba and Jeetu?
Options:
A. A) Arfi Lamba portrays the character Jeetu.
B. B) Jeetu is a supporting character in the film.
C. C) Arfi Lamba is seen as Jeetu in the movie.
D. D) Jeetu is the main antagonist of the story.","A, C"
