node_1,node_2,edge,chunk_id,node_3,count
ashley benson,lady lisa,"Ashley Benson portrays Lady Lisa, the glamorous protagonist of the fictional arcade game Dojo Quest.",5c8ca393d3ed418ba50e21e534f01cef,,4
dojo quest,fictional arcade game,Dojo Quest is a fictional arcade game.,5c8ca393d3ed418ba50e21e534f01cef,,4
matt lintz,matty van patten,"Matt Lintz portrays Matty van Patten, Violet's son.",5c8ca393d3ed418ba50e21e534f01cef,,4
violet,person,"There is a relation between Violet and a person named Matty van Patten, portrayed by Matt Lintz in the context.",5c8ca393d3ed418ba50e21e534f01cef,,4
lainie kazan,mickey lamonsoff,"Lainie Kazan portrays Mickey Lamonsoff, Ludlow's grandmother.",5c8ca393d3ed418ba50e21e534f01cef,,4
dan aykroyd,master of ceremonies,Dan Aykroyd plays the master of ceremonies of the video game championship in the prologue.,5c8ca393d3ed418ba50e21e534f01cef,,4
nick swardson,bystander seen during the pac-man attack,Nick Swardson plays a bystander seen during the Pac-Man attack.,5c8ca393d3ed418ba50e21e534f01cef,,4
serena williams,herself,Serena Williams has a cameo role as herself.,5c8ca393d3ed418ba50e21e534f01cef,,4
martha stewart,herself,Martha Stewart has a cameo role as herself.,5c8ca393d3ed418ba50e21e534f01cef,,4
matt frewer,voice of max headroom,"Matt Frewer reprises his role as the voice of Max Headroom, a role he made famous during the 1980s.",5c8ca393d3ed418ba50e21e534f01cef,,4
donkey kong,donkey kong jr.,"[{'from': 'Steve Wiebe', 'to': 'Donkey Kong'}, {'from': 'Steve Wiebe', 'to': 'Donkey Kong Jr.'}]",5c8ca393d3ed418ba50e21e534f01cef,world record holder,4
daryl hall,john oates,"Daryl Hall and John Oates, of the musical duo Hall & Oates, have a cameo during a broadcast interruption.",5c8ca393d3ed418ba50e21e534f01cef,,4
