node_1,node_2,edge
magic,story,emphasized the magic of the story through the dramatic narrative
stage magic,visual depiction,playing down the visual depiction of stage magic
three elements,film's illusion,"deliberately structured around the three elements of the film's illusion: the pledge, the turn, and the prestige"
cinematic equivalents,literary devices,finding the cinematic equivalents of those literary devices was very complex
set design,production,"while the screenplay was still being written, production designer Nathan Crowley began the set design"
josh hartnett,nolan,Josh Hartnett pitched Nolan for a role.
screenplay,nolan's garage,"production designer Nathan Crowley began the set design process in Nolan's garage, employing a 'visual script' consisting of scale models, images, drawings, and notes while the screenplay was still being written."
january 13,final shooting draft,Jonathan and Christopher Nolan finished the final shooting draft on January 13
january 16,production,Began production three days later on January 16.
los angeles,fin de siècle london,Crowley and his crew searched Los Angeles for almost seventy locations that resemble fin de siècle London.
jonathan nolan,colorado springs,Jonathan Nolan visited Colorado Springs to research Nikola Tesla and based the electric bulb scene on actual experiments conducted by Tesla.
handheld cameras,quick pace of production,Nolan kept up the quick pace of production by shooting with handheld cameras in contrast to most period pieces.
natural light on location,refrained from using artificial lighting in some scenes,Nolan refrained from using artificial lighting in some scenes and relied instead on natural light on location.
earth tones,soft earth tones,Wally Pfister captured the mood with soft earth tones in The Prestige.
white and black colors,background contrasts,"White and black colors provided background contrasts, bringing actors' faces to the foreground in The Prestige."
stage magicians,explore the world of stage magicians,"The Prestige was one of three films in 2006 to explore the world of stage magicians, along with The Illusionist and Scoop."
