Question & Options,Correct Answer
"In the movie 'Moonlight' (2016), which of the following statements accurately describe the relationship between Little and Juan?
Options:
A. Juan provides Little with guidance on how to cope with life's challenges.
B. Little spends the night at Juan's place to escape from bullies.
C. Juan criticizes Little's mother for her neglectful behavior.
D. Juan and Teresa are supportive figures in Little's life.","Juan provides Little with guidance on how to cope with life's challenges., Little spends the night at Juan's place to escape from bullies., Juan criticizes Little's mother for her neglectful behavior., Juan and Teresa are supportive figures in Little's life."
"In the movie 'Moonlight' (2016), which of the following statements are true regarding the relationship between Little and his mother Paula?
Options:
A. A. Paula is a loving and supportive mother.
B. B. Paula's addiction to crack leads to her neglect of Little.
C. C. Little is bullied by his peers due to his mannerisms.
D. D. Paula encourages Little to embrace his identity.","B, C"
"In the movie 'Moonlight' (2016), which of the following statements are true regarding the character relationships?
Options:
A. A. Little is a nickname for Chiron.
B. B. Chiron is known as Little in his childhood.
C. C. Little and Chiron are two separate characters.
D. D. Chiron's nickname reflects his early life experiences.","A, B, D"
"In the movie 'Moonlight' (2016), which of the following statements accurately describe the relationship between Juan and Teresa?
Options:
A. Juan is a father figure to Little.
B. Teresa is Juan's girlfriend.
C. Juan and Teresa provide a safe space for Little.
D. Juan is Little's biological father.","Juan is a father figure to Little., Teresa is Juan's girlfriend., Juan and Teresa provide a safe space for Little."
"In the movie 'Moonlight' (2016), which of the following statements are true regarding Chiron's relationship with Teresa?
Options:
A. Chiron finds comfort in Teresa's company after Juan's death.
B. Teresa is Chiron's biological mother.
C. Chiron spends significant time with Teresa during his childhood.
D. Teresa lives alone after the death of Juan.","Chiron finds comfort in Teresa's company after Juan's death., Chiron spends significant time with Teresa during his childhood., Teresa lives alone after the death of Juan."
"In the movie 'Moonlight' (2016), which of the following statements accurately describe the relationship between Chiron and Paula?
Options:
A. A. Paula is Chiron's mother.
B. B. Paula struggles with addiction.
C. C. Chiron supports Paula financially.
D. D. Paula forces Chiron to give her money.","A, B, D"
"In the movie 'Moonlight' (2016), which of the following statements are true about the relationship between Chiron and Kevin?
Options:
A. A. Chiron and Kevin are childhood friends.
B. B. Kevin received detention for being caught having sex with a girl.
C. C. Chiron is unaware of Kevin's detention incident.
D. D. Kevin discusses his detention with Chiron.","A, B, D"
"In the movie 'Moonlight' (2016), how does Terrel's relationship with Chiron impact the plot?
Options:
A. Terrel encourages Kevin to support Chiron.
B. Terrel manipulates Kevin into participating in a hazing ritual against Chiron.
C. Terrel acts as a mentor to Chiron.
D. Terrel isolates Chiron from his friends.",Terrel manipulates Kevin into participating in a hazing ritual against Chiron.
"In the 2016 movie 'Moonlight', which of the following events occur between Kevin and Chiron at the beach?
Options:
A. A kiss between Kevin and Chiron
B. Kevin confesses his love for Chiron
C. They engage in a sexual encounter
D. Chiron pushes Kevin away","A kiss between Kevin and Chiron, They engage in a sexual encounter"
"In the 2016 film 'Moonlight', what significant event occurs involving Terrel and other boys during a hazing ritual?
Options:
A. Terrel and other boys support Chiron during the ritual.
B. Terrel and other boys savagely attack Chiron during a hazing ritual.
C. Chiron confronts Terrel about the hazing.
D. Chiron finds friendship with Terrel and other boys.",Terrel and other boys savagely attack Chiron during a hazing ritual.
"In the movie 'Moonlight' (2016), what does the principal urge Chiron to do regarding his attackers?
Options:
A. Reveal their identities
B. Confront them directly
C. Ignore their actions
D. Seek help from a teacher",Reveal their identities
"In the movie 'Moonlight' (2016), which of the following statements are true regarding the character Chiron and his adult version, Black?
Options:
A. A. Black is a drug dealer in Atlanta.
B. B. Chiron has a troubled childhood.
C. C. Black is a representation of Chiron's struggles.
D. D. Chiron becomes a successful businessman.","A, B, C"
"In the movie 'Moonlight' (2016), what significant action does Paula take regarding her relationship with Chiron?
Options:
A. A. Paula encourages Chiron to pursue his dreams.
B. B. Paula asks Chiron to visit her at the drug treatment center where she is living.
C. C. Paula tells Chiron to stay away from her.
D. D. Paula expresses her love for Chiron.",B
"In the 2016 movie 'Moonlight', which of the following statements are true regarding the relationship between Kevin and Chiron?
Options:
A. A. Kevin invites Chiron to see him in Miami.
B. B. Chiron and Kevin have known each other since childhood.
C. C. Kevin plays a significant role in Chiron's life.
D. D. Chiron rejects Kevin's invitation.","A, B, C"
"In the movie 'Moonlight' (2016), how does Chiron's mother express her feelings towards him?
Options:
A. She tells him she loves him even if he does not love her back.
B. She completely ignores him and does not communicate.
C. She expresses regret for not showing him love when he needed it most.
D. She encourages him to pursue his dreams without her support.","She tells him she loves him even if he does not love her back., She expresses regret for not showing him love when he needed it most."
"In the movie 'Moonlight' (2016), which of the following statements are true regarding the relationship between Barbara Lewis and Kevin?
Options:
A. A. Kevin plays 'Hello Stranger' by Barbara Lewis on the jukebox.
B. B. The song reminds Kevin of Chiron.
C. C. Kevin is a musician in the movie.
D. D. Barbara Lewis is a character in the film.","A, B"
