node_1,node_2,edge,chunk_id,count
movie's,summary,"A summary is a brief description or account of something, typically one that is given in a newspaper or other mass media.",76f9ff4db0044f51b6f6b6839c47b9eb,4
catwoman,hedare beauty,"The film 'Catwoman' is loosely based on the DC Comics character Catwoman, and it is revealed that the main character Patience Phillips works for a cosmetics company called Hedare Beauty, which is set to release a new skin cream called Beau-line.",fddcefddf07f4667964fc1ee5f846c43,4
patience phillips,hedare beauty,The main character Patience Phillips works for the cosmetics company Hedare Beauty in the film 'Catwoman'.,fddcefddf07f4667964fc1ee5f846c43,4
beau-line,hedare beauty,The new skin cream called Beau-line is being shipped by the cosmetics company Hedare Beauty in the film 'Catwoman'.,fddcefddf07f4667964fc1ee5f846c43,4
patience phillips,beau-line,The main character Patience Phillips discovers a conspiracy involving the dangerous product Beau-line in the cosmetics company Hedare Beauty in the film 'Catwoman'.,fddcefddf07f4667964fc1ee5f846c43,4
patience phillips,egyptian mau cat,"After being discovered and murdered by the conspirators, Patience Phillips is revived by an Egyptian mau cat that grants her superhuman cat-like abilities in the film 'Catwoman'.",fddcefddf07f4667964fc1ee5f846c43,4
patience phillips,catwoman,The main character Patience Phillips becomes the crime-fighting superheroine Catwoman after being revived by an Egyptian mau cat in the film 'Catwoman'.,fddcefddf07f4667964fc1ee5f846c43,4
hedare beauty,beau-line,relationship between a company and its product,7ac386a370424b06b43c006a13b732bc,4
patience phillips,r&d laboratory facility,location where Patience visits to deliver an ad design,7ac386a370424b06b43c006a13b732bc,4
dr. ivan slavicky,laurel hedare,discussion between a scientist and the wife of a company owner regarding the dangerous side effects of a product,7ac386a370424b06b43c006a13b732bc,4
patience phillips,guards,individuals who discover Patience while she overhears a discussion at the R&D laboratory facility and are ordered to dispose of her,7ac386a370424b06b43c006a13b732bc,4
patience phillips,conduit pipe,"pipe that Patience tries to escape through after being discovered by guards at the R&D laboratory facility, but is sealed and flushed out of",7ac386a370424b06b43c006a13b732bc,4
patience phillips,midnight,Egyptian Mau cat that appears at Patience's apartment and later revives her after she is drowned while trying to escape the R&D laboratory facility,7ac386a370424b06b43c006a13b732bc,4
patience phillips,ophelia powers,eccentric researcher who reveals to Patience that Egyptian Mau cats serve as messengers of the goddess Bast and helps her understand her new cat-like attributes,7ac386a370424b06b43c006a13b732bc,4
catwoman,laurel hedare,"individual whom Catwoman, a mysterious vigilante reborn with abilities that are both a blessing and a curse, asks to keep an eye on the company owner",7ac386a370424b06b43c006a13b732bc,4
george hedare,catwoman,company owner who is confronted by Catwoman as a mysterious vigilante and reveals that he knows her true identity,7ac386a370424b06b43c006a13b732bc,4
catwoman,george,"Catwoman confronts George about side effects of product, but George reveals ignorance. Later, Catwoman frames Catwoman for murder of George.",2265533143ff4788b21056427254e812,4
laurel,catwoman,Laurel contacts Catwoman and frames her for murder of George.,2265533143ff4788b21056427254e812,4
patience,george,"Patience confronts George as Catwoman, but George reveals ignorance about side effects.",2265533143ff4788b21056427254e812,4
detective tom lone,catwoman,"Tom takes Catwoman into custody, but later has second thoughts about Patience's guilt and questions Laurel.",2265533143ff4788b21056427254e812,4
patience,laurel,"During fight, Patience rescues Tom and confronts Laurel in her office. Patience clears herself of charges regarding deaths of Dr. Slavicky and Hedares.",2265533143ff4788b21056427254e812,4
laurel,catwoman,Laurel frames Catwoman for murder of George.,2265533143ff4788b21056427254e812,4
patience,detective tom lone,"Tom takes Patience into custody, but later has second thoughts about Patience's guilt and questions Laurel.",2265533143ff4788b21056427254e812,4
laurel,beau-line product,Laurel plans to release Beau-line product the following day.,2265533143ff4788b21056427254e812,4
patience,laurel's office,"Patience slips out of her cell and confronts Laurel in her office, rescues Tom.",2265533143ff4788b21056427254e812,4
laurel,window reflection,Laurel sees rapidly disfiguring face in window's reflection during fight with Patience and falls out of a window.,2265533143ff4788b21056427254e812,4
catwoman,batman,"In the context, Catwoman decides to continue living outside the law and enjoy her newfound freedom as Catwoman after hearing about the deaths of Dr. Slavicky and the Hedares. This decision is a result of Batman's absence from the scene, which indicates a potential relationship between Batman and Catwoman.",226fdf8fd65a4d8689bda94f24d6aaf8,4
selina kyle,catwoman,"In the context, Michelle Pfeiffer is cast to reprise her role as Selina Kyle in the Catwoman spin-off film. This indicates that Selina Kyle and Catwoman are two different characters played by Michelle Pfeiffer in different films.",226fdf8fd65a4d8689bda94f24d6aaf8,4
selina kyle,batman returns,"In the context, a photograph of Michelle Pfeiffer as Selina Kyle in Batman Returns is among various photographs that Ophelia uses to explain the history of former Catwomen. This indicates that Selina Kyle appeared as Catwoman in Batman Returns.",226fdf8fd65a4d8689bda94f24d6aaf8,4
catwoman spin-off film,michelle pfeiffer,"In the context, Michelle Pfeiffer is cast to reprise her role from Batman Returns in the Catwoman spin-off film. This indicates that the Catwoman spin-off film and Michelle Pfeiffer are related.",226fdf8fd65a4d8689bda94f24d6aaf8,4
catwoman spin-off film,tim burton,"In the context, Tim Burton becomes attached as director for both Catwoman spin-off film and an adaptation of The Fall of the House of Usher. This indicates that the Catwoman spin-off film and Tim Burton are related.",226fdf8fd65a4d8689bda94f24d6aaf8,4
catwoman spin-off film,denise di novi,"In the context, Denise Di Novi and producer return for both Catwoman spin-off film and Batman Forever. This indicates that the Catwoman spin-off film and Denise Di Novi are related.",226fdf8fd65a4d8689bda94f24d6aaf8,4
catwoman spin-off film,daniel waters,"In the context, Daniel Waters turns in his Catwoman script to Warner Bros. On the same day as Batman Forever is released. This indicates that the Catwoman spin-off film and Daniel Waters are related.",226fdf8fd65a4d8689bda94f24d6aaf8,4
batman forever,catwoman spin-off film,"In the context, Catwoman decides to continue living outside the law and enjoy her newfound freedom as Catwoman after hearing about the deaths of Dr. Slavicky and the Hedares, which may have an impact on Batman Forever.",226fdf8fd65a4d8689bda94f24d6aaf8,4
catwoman spin-off film,warner bros.,"In the context, Michelle Pfeiffer's Catwoman spin-off film and Warner Bros. Are related as Michelle Pfeiffer is cast to reprise her role in the film produced by Warner Bros.",226fdf8fd65a4d8689bda94f24d6aaf8,4
