Question,Answer
"""In the 2005 film 'Deuce Bigalow: European Gigolo', was the character of Deuce Bigalow portrayed by Tom Hanks?""",no
"""Did Rob Schneider portray the character of Deuce Bigalow in the 2005 film 'Deuce Bigalow: European Gigolo'?""",yes
"""In the 2005 film 'Deuce Bigalow: European Gigolo', was the role of T.J. Hicks played by actor Tom Cruise?""",no
"""In the film 'Deuce Bigalow: European Gigolo' released in 2005, did Eddie Griffin play the role of T.J. Hicks?""",yes
"""Did Til Schweiger play the role of Heinz Hummer in the 2005 movie 'Deuce Bigalow: European Gigolo'?""",yes
"""In the film 'Deuce Bigalow: European Gigolo' released in 2005, was the character of Heinz Hummer not portrayed by Til Schweiger?""",no
"""Did Jeroen Krabbé play the role of a character other than Gaspar Voorsboch in the 2005 movie 'Deuce Bigalow: European Gigolo'?""",no
"""In the 2005 movie 'Deuce Bigalow: European Gigolo', did Jeroen Krabbé perform the role of Gaspar Voorsboch?""",yes
"""In the 2005 movie 'Deuce Bigalow  European Gigolo', did Hanna Verboom play the role of a character named Eva?""",yes
"""In the 2005 film 'Deuce Bigalow  European Gigolo', was the character Eva played by an actress other than Hanna Verboom?""",no
"""Did Douglas Sills not play the character of Chadsworth Buckingham III in the 2005 movie 'Deuce Bigalow European Gigolo'?""",no
"""Did Douglas Sills portray the role of Chadsworth Buckingham III in the movie 'Deuce Bigalow European Gigolo' released in 2005?""",yes
"""In the 2005 film 'Deuce Bigalow European Gigolo', was the character of Gian-Carlo enacted by an actor named John Smith?""",no
"""Did Charles Keating play the role of Gian-Carlo in the 2005 movie 'Deuce Bigalow European Gigolo'?""",yes
"""In the 2005 film 'Deuce Bigalow European Gigolo', did Carlos Ponce not appear as the character Rodrigo Bollas De Madera?""",no
"""In 'Deuce Bigalow European Gigolo', released in 2005, does Carlos Ponce play the role of Rodrigo Bollas De Madera?""",yes
"""In the 2005 movie 'Deuce Bigalow  European Gigolo', did Rachel Stevens play the role of a character named Lisa?""",no
"""In 'Deuce Bigalow  European Gigolo' released in 2005, is Rachel Stevens the actress who played the character Louisa?""",yes
"""Is it true that Alex Dimitriades did not play the character Enzo Giarraputo in the 2005 movie 'Deuce Bigalow: European Gigolo'?""",no
"""In the 2005 movie 'Deuce Bigalow: European Gigolo', did Alex Dimitriades portray the character Enzo Giarraputo?""",yes
"""In the 2005 movie 'Deuce Bigalow  European Gigolo', did Kostas Sommer play the role of a character named 'Assapopoulos Borealis'?""",yes
"""Did Kostas Sommer play the lead role in the 2005 movie 'Deuce Bigalow  European Gigolo'?""",no
"""Did Miranda Raison portray a character other than Svetlana Revenko in the 2005 movie 'Deuce Bigalow European Gigolo'?""",no
"""In the 2005 movie 'Deuce Bigalow European Gigolo', is the character Svetlana Revenko played by Miranda Raison?""",yes
"""Did Oded Fehr not play the character Antoine Laconte in the 2005 movie 'Deuce Bigalow: European Gigolo'?""",no
