Question,Answer
"Is the movie ""Marjaavaan"" from 2019 based on an original soundtrack?",NO
"Does ""Marjaavaan"" released in 2019 include a remake of ""Pyar Do Pyar Lo"" in its soundtrack?",YES
"Is the song ""Haiya Ho"" from the movie ""Marjaavaan"" released in 2019 a remake of ""Chahe Meri Jaan Tu Le Le""?",NO
"Does the soundtrack of ""Marjaavaan"" released in 2019 include a song that connects ""Haiya Ho"" and ""Chahe Meri Jaan Tu Le Le""?",YES
"Does the movie ""Marjaavaan"" released in 2019 star Peeyu Datt Ke instead of Nushrat Bharucha?",NO
"Is Nushrat Bharucha starring in the movie ""Marjaavaan"" released in 2019 as Peeyu Datt Ke?",YES
"Is the song ""masakali"" from the movie ""Marjaavaan"" released in 2019?",NO
"Is ""masakali 2.0"" a recreated version of ""masakali"" in the movie ""Marjaavaan"" released in 2019?",YES
"Is the song ""Kinna Sona"" from the movie ""Marjaavaan"" (2019) originally sung by an Indian artist?",NO
"Is ""Kinna Sona"" a Pakistani song featured in the movie ""Marjaavaan"" (2019) sung by Nusrat Fateh Ali Khan?",YES
"Does the soundtrack of the movie ""Marjaavaan"" released in 2019 feature a cover of ""Kinna Sona"" by Atif Aslam?",NO
"Is Atif Aslam a Pakistani singer who covered ""Kinna Sona"" for the soundtrack of ""Marjaavaan"" in 2019?",YES
"Did the All Indian Cine Workers Association impose a ban on all Pakistani artists that affected the movie ""Marjaavaan"" in 2019?",NO
"Was the song ""Kinna Sona"" replaced in the movie ""Marjaavaan"" due to the ban imposed by the All Indian Cine Workers Association in 2019?",YES
Did Jubin Nautiyal perform the original version of the song Kinna Sona in the movie Marjaavaan released in 2019?,NO
Was Jubin Nautiyal involved in the soundtrack of the movie Marjaavaan released in 2019?,YES
"Did T-Series release the initial cover of ""Kinna Sona"" sung by Atif Aslam on YouTube in 2019 for the movie ""Marjaavaan""?",NO
"Was the soundtrack ""Kinna Sona"" associated with the movie ""Marjaavaan"" released in 2019?",YES
"Did T-Series not face any backlash for the initial cover of ""Kinna Sona"" in the movie ""Marjaavaan"" released in 2019?",NO
"Was the initial cover of ""Kinna Sona"" sung by Atif Aslam included in the soundtrack of ""Marjaavaan"" released in 2019 after the controversy with Maharashtra Navnirman Sena?",YES
"Did Kunaal Vermaa write and compose only the original version of the song ""Tum Hi Aana"" in the movie ""Marjaavaan"" released in 2019?",NO
"Did Kunaal Vermaa write and compose both versions of the song ""Tum Hi Aana"" in the movie ""Marjaavaan"" released in 2019?",YES
"Is the original version of ""Tum Hi Aana"" from the movie ""Marjaavaan"" released in 2019 performed by Dhvani Bhanushali?",NO
"Does the movie ""Marjaavaan"" released in 2019 feature a duet version of ""Tum Hi Aana"" sung by Dhvani Bhanushali?",YES
"Did the songs ""Ek Toh Kum Zindagani"" and ""Thodi Jagah"" in the movie ""Marjaavaan"" (2019) have different composers?",NO
"Were both songs in the movie ""Marjaavaan"" (2019) sung by popular playback singers?",YES
"Did the lyricist Manoj Muntashir write the lyrics for both ""Tum Hi Aana"" and ""Raghupati Raghav Raja Ram"" in the movie ""Marjaavaan"" released in 2019?",NO
"Were both songs composed by Tanishk Bagchi and sung by Palak Muchhal in the movie ""Marjaavaan"" released in 2019?",YES
"Is the female version of ""Thodi Jagah"" from the movie ""Marjaavaan"" released in 2019 sung by someone other than Tulsi Kumar?",NO
"Did Tanishk Bagchi compose both versions of ""Thodi Jagah"" for the movie ""Marjaavaan"" released in 2019?",YES
"Is the song ""masakali 2.0"" from the movie ""Marjaavaan"" released in 2019 composed by someone other than Tanishk Bagchi?",NO
"Are both ""masakali 2.0"" and ""peeyu datt ke"" from the movie ""Marjaavaan"" released in 2019 sung by Tulsi Kumar?",YES
"Is the song ""Kinna Sona"" featured in the movie ""Marjaavaan"" (2019) performed only by Jubin Nautiyal?",NO
"Does the movie ""Marjaavaan"" (2019) include both versions of the song ""Kinna Sona""?",YES
"Is it true that the song ""raghupati raghav raja ram"" in the movie ""Marjaavaan"" (2019) was composed by Tanishk Bagchi and sung by Palak Muchhal while ""Hasbi Rabbi Naat"" was not originally a traditional song?",NO
"Did both songs ""raghupati raghav raja ram"" and ""Hasbi Rabbi Naat"" in the movie ""Marjaavaan"" (2019) share the same composer and vocalist?",YES
"Is the song ""masakali 2.0"" featured in the movie ""Marjaavaan"" released in 2019?",NO
"Do both songs ""masakali 2.0"" and ""ek toh kum zindagani"" share the same composer in the movie ""Marjaavaan"" released in 2019?",YES
"Is the song ""Masakali 2.0"" the only song in the movie ""Marjaavaan"" released in 2019 that features Tanishk Bagchi as the composer?",NO
"Did both ""Peeyu Datt Ke"" and ""Masakali 2.0"" feature contributions from Tanishk Bagchi in the movie ""Marjaavaan"" released in 2019?",YES
