Question,Answer
"Is the family photograph in the movie ""Kapoor & Sons"" from the year 2016 not a significant element of the plot?",NO
"Does the family photograph represent Amarjeet's last wish in the movie ""Kapoor & Sons"" released in 2016?",YES
"Is Rahul Kapoor not a member of the Kapoor & Sons family mentioned in the plot of ""Kapoor & Sons"" released in 2016?",NO
"Is Rahul Kapoor a member of the Kapoor & Sons family mentioned in the plot of ""Kapoor & Sons"" released in 2016?",YES
Is Arjun Kapoor a character in the movie Kapoor & Sons released in 2016?,NO
Is Arjun Kapoor a member of the Kapoor & Sons family mentioned in the plot of the movie Kapoor & Sons released in 2016?,YES
Is Harsh Kapoor a character in the movie Kapoor & Sons released in 2016?,NO
Is Harsh Kapoor a member of the Kapoor & Sons family mentioned in the plot of the movie Kapoor & Sons released in 2016?,YES
Is Sunita Kapoor a member of the Kapoor & Sons family mentioned in the plot of the movie Kapoor & Sons released in 2016?,NO
Is Kapoor & Sons a movie that was released in 2016?,YES
"Is Rahul Kapoor a successful novelist and entrepreneur based in London in the movie ""Kapoor & Sons"" released in 2016?",NO
"Does Rahul Kapoor have a profession in the movie ""Kapoor & Sons"" released in 2016?",YES
"Did Arjun Kapoor succeed in getting his books published in the movie ""Kapoor & Sons"" released in 2016?",NO
"Does the movie ""Kapoor & Sons"" released in 2016 depict Arjun Kapoor facing struggles in getting his books published?",YES
"Does Arjun Kapoor work full-time as a bartender in Newark to make ends meet in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is it true that Arjun Kapoor works part-time as a bartender in Newark to make ends meet and write in his spare time in the movie ""Kapoor & Sons"" released in 2016?",YES
"In the movie ""Kapoor & Sons"" released in 2016, did Harsh Kapoor support Sunita's desire to open a catering business?",NO
"In the movie ""Kapoor & Sons"" released in 2016, is Harsh Kapoor depicted as unsupportive of Sunita's professional aspirations?",YES
"In the movie Kapoor & Sons released in 2016, does Sunita Kapoor have no desire to open a catering business?",NO
"In the movie Kapoor & Sons released in 2016, is Sunita Kapoor's professional goal to open a catering business?",YES
"Did Harsh Kapoor's past extramarital affair improve his relationship with Sunita Kapoor in the movie ""Kapoor & Sons"" released in 2016?",NO
"Does Harsh Kapoor's past extramarital affair negatively impact his relationship with Sunita Kapoor in the movie ""Kapoor & Sons"" released in 2016?",YES
"Does Sunita Kapoor feel cheated in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is the emotion of feeling cheated experienced by Sunita Kapoor in the movie ""Kapoor & Sons"" released in 2016?",YES
"Did Harsh Kapoor successfully save his wife's fixed deposit in the movie ""Kapoor & Sons"" released in 2016?",NO
"Did Harsh Kapoor take action regarding his wife's savings in the movie ""Kapoor & Sons"" released in 2016?",YES
Is Tia Malik the homeowner in the movie Kapoor & Sons released in 2016?,NO
Is Tia Malik a professional character in the movie Kapoor & Sons released in 2016?,YES
Does Rahul Kapoor stay indoors throughout the movie Kapoor & Sons released in 2016?,NO
Does Rahul Kapoor go out for activities in the movie Kapoor & Sons released in 2016?,YES
"Is Tia Malik a serious and reserved character in the movie ""Kapoor & Sons"" released in 2016?",NO
"Does Tia Malik represent a young and free-spirited woman in the movie ""Kapoor & Sons"" released in 2016?",YES
Did Tia Malik and Rahul Singh have a romantic relationship in the movie Kapoor & Sons released in 2016?,NO
Did Tia Malik kiss Rahul Singh in the movie Kapoor & Sons released in 2016?,YES
"In the movie ""Kapoor & Sons"" released in 2016, did Tia Malik have feelings for Arjun Singh without any regrets?",NO
"In the movie ""Kapoor & Sons"" released in 2016, did Tia Malik regret kissing Rahul after confessing her feelings to her friend?",YES
"In the movie ""Kapoor & Sons"" released in 2016, did Amarjeet Singh and Harsh Singh have a peaceful celebration for the birthday party without any arguments?",NO
"In the movie ""Kapoor & Sons"" released in 2016, did the invitation of Harsh Singh’s ex-lover lead to conflicts during the birthday party for Amarjeet Singh?",YES
"Did Harsh and Sunita have a negative relationship in the movie ""Kapoor & Sons"" released in 2016?",NO
"Do Harsh and Sunita reflect on their happy memories in the movie ""Kapoor & Sons"" released in 2016?",YES
"In the movie ""Kapoor & Sons"" released in 2016, does the family remain unaware of Tia Malik and Anu knowing each other?",NO
"In the movie ""Kapoor & Sons"" released in 2016, do Tia Malik and Anu have a relationship that the family discovers?",YES
"In the movie ""Kapoor & Sons"" released in 2016, does Rahul Singh express that he is single and looking for a relationship in London?",NO
"In the movie ""Kapoor & Sons"" released in 2016, does Rahul Singh clarify that he is already in a committed relationship in London?",YES
"Did Tia Malik and her family go to Canada for her uncle's surgery in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is it true that the plot of ""Kapoor & Sons"" revolves around family relationships and challenges, including Tia Malik and her uncle in the year 2016?",YES
"In the movie ""Kapoor & Sons"" released in 2016, did Amarjeet Singh successfully take a family photo without any secrets being revealed?",NO
"In the movie ""Kapoor & Sons"" released in 2016, did the family try to fulfill Amarjeet Singh's wish to take a family photo despite the secrets coming to light?",YES
"Did Harsh discover that Rahul Singh was truthful about ending his affair in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is it true that Harsh finds out Rahul Singh lied about ending his affair in the movie ""Kapoor & Sons"" released in 2016?",YES
"Did the family photo in ""Kapoor & Sons"" (2016) remain undisturbed throughout the movie?",NO
"Was the family photo in ""Kapoor & Sons"" (2016) interrupted by Harsh's accident caused by distraction while driving?",YES
"In the movie ""Kapoor & Sons"" released in 2016, did Rahul discover that his father was truthful about ending the affair with Anu?",NO
"In the movie ""Kapoor & Sons"" released in 2016, did Rahul find out that his father was lying about ending the affair with Anu?",YES
"In the movie ""Kapoor & Sons"" released in 2016, does Rahul have a positive relationship with London during the family photo session?",NO
"In the movie ""Kapoor & Sons"" released in 2016, is there a revelation about Rahul's relationship with another man during the family photo session in London?",YES
Did Sunita and Harsh have a smooth relationship in the movie Kapoor & Sons released in 2016?,NO
Did Harsh's accident play a significant role in the plot of Kapoor & Sons released in 2016?,YES
"Did amarjeet make a return request in a video message to his brothers and mother in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is the return request made by amarjeet in a video message to his brothers and mother a significant plot point in the movie ""Kapoor & Sons"" released in 2016?",YES
"Did Sunita come to terms with Rahul's sexuality before he came out as gay in the movie ""Kapoor & Sons"" released in 2016?",NO
"Did Sunita come to terms with Rahul's sexuality after he came out as gay in the movie ""Kapoor & Sons"" released in 2016?",YES
"Is Arjun serious about becoming an author in the movie ""Kapoor & Sons"" released in 2016?",NO
"Does the first manuscript get given to Rahul by Sunita in the movie ""Kapoor & Sons"" released in 2016?",YES
"In the movie ""Kapoor & Sons"" released in 2016, did Sunita believe that Arjun was serious about becoming an author when she gave him the first manuscript?",NO
"In the movie ""Kapoor & Sons"" released in 2016, did Sunita give the first manuscript to Arjun?",YES
"Did the sexual encounter between Rahul and Tia happen outside of the family photo session in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is the sexual encounter between Rahul and Tia revealed during the family photo session in the movie ""Kapoor & Sons"" released in 2016?",YES
"Did the sexual encounter between Tia and Rahul happen outside of the family photo session in the movie ""Kapoor & Sons"" released in 2016?",NO
"Is the sexual encounter between Tia and Rahul revealed during the family photo session in the movie ""Kapoor & Sons"" released in 2016?",YES
