Question & Options,Correct Answer
"Which of the following statements are true regarding the music of the movie 'Coolie No. 1' released in 2020?
Options:
A. A) The music for 'Coolie No. 1' was composed by Tanishk Bagchi.
B. B) Tanishk Bagchi is known for composing music for several Bollywood movies.
C. C) The movie 'Coolie No. 1' features tracks that were composed by multiple artists.
D. D) Tanishk Bagchi has also composed music for films outside of Bollywood.","A, B, D"
"In the 2020 movie 'Coolie No. 1', which of the following statements about the music are correct?
Options:
A. The music was originally composed by Anand-Milind.
B. The soundtrack features songs recreated from the original version.
C. The music was exclusively composed by a new artist.
D. Anand-Milind composed the music for the original 'Coolie No. 1'.","The music was originally composed by Anand-Milind., The soundtrack features songs recreated from the original version., Anand-Milind composed the music for the original 'Coolie No. 1.'"
"In the movie 'Coolie No. 1' (2020), which of the following statements are true regarding the music and lyrics?
Options:
A. A. Sameer Anjaan wrote the lyrics for some songs in 'Coolie No. 1'.
B. B. The original version of 'Coolie No. 1' had different lyricists.
C. C. Sameer Anjaan's lyrics were recreated in the current version of 'Coolie No. 1'.
D. D. All songs in 'Coolie No. 1' were composed by the same artist.","A, C"
"Which of the following statements are true regarding the song 'Husn Hai Suhana' from the movie 'Coolie No. 1' (2020)?
Options:
A. A. 'Husn Hai Suhana' was composed by Tanishk Bagchi.
B. B. 'Husn Hai Suhana' is a song featured in the movie 'Coolie No. 1'.
C. C. Tanishk Bagchi is known for his work in classical music.
D. D. 'Husn Hai Suhana' is a romantic song.","A, B"
"In the 2020 movie 'Coolie No. 1', which of the following statements are true regarding the song 'Husn Hai Suhana'?
Options:
A. A. The song 'Husn Hai Suhana' was originally composed by Anand-Milind.
B. B. Tanishk Bagchi recreated the song for the movie.
C. C. The song was composed by A.R. Rahman.
D. D. 'Husn Hai Suhana' is a romantic ballad featured in the film.","A, B"
"In the movie 'Coolie No. 1' (2020), which of the following statements are true regarding the song 'Husn Hai Suhana'?
Options:
A. The lyrics of 'Husn Hai Suhana' were written by Sameer Anjaan.
B. The song 'Husn Hai Suhana' features original vocals.
C. Sameer Anjaan composed the music for 'Husn Hai Suhana'.
D. The song 'Husn Hai Suhana' was recreated for the movie 'Coolie No. 1'.","The lyrics of 'Husn Hai Suhana' were written by Sameer Anjaan., The song 'Husn Hai Suhana' features original vocals., The song 'Husn Hai Suhana' was recreated for the movie 'Coolie No. 1'."
"In the movie 'Coolie No. 1' (2020), which of the following statements are true regarding the song 'Main Toh Raste Se Jaa Raha Tha'?
Options:
A. A. The song was originally composed by Anand-Milind.
B. B. The song features a completely different set of vocals in the remake.
C. C. The original vocals and singer were retained in the recreated version.
D. D. The song is a pivotal part of the movie's music.","A, C, D"
"Which of the following statements are true regarding the music of the movie 'Coolie No. 1' released in 2020?
Options:
A. The music was composed by Lijo George – DJ Chetas.
B. The movie features music from various artists.
C. Lijo George – DJ Chetas is known for their work in multiple films.
D. Coolie No. 1 has a soundtrack that includes traditional Indian music.","The music was composed by Lijo George – DJ Chetas., Lijo George – DJ Chetas is known for their work in multiple films."
"Which of the following statements are true regarding the music of the movie 'Coolie No. 1' released in 2020?
Options:
A. A. The music was composed by Javed – Mohsin.
B. B. The movie features a soundtrack by A.R. Rahman.
C. C. Javed – Mohsin is known for their work in 'Coolie No. 1'.
D. D. The film was a musical adaptation of a classic Bollywood film.","A, C"
"Which of the following statements are true regarding the music of the movie 'Coolie No. 1' released in 2020?
Options:
A. A) The music was composed by Salim–Sulaiman.
B. B) The movie features a soundtrack by A.R. Rahman.
C. C) Salim–Sulaiman composed the music specifically for 'Coolie No. 1'.
D. D) The film was a musical adaptation of a classic story.","A) The music was composed by Salim–Sulaiman., C) Salim–Sulaiman composed the music specifically for 'Coolie No. 1'."
"Which of the following statements are true regarding the music of the movie 'Coolie No. 1' released in 2020?
Options:
A. A. All songs from 'Coolie No. 1' are produced by Zee Music Company.
B. B. The music for 'Coolie No. 1' was released by T-Series.
C. C. Zee Music Company is the label for all songs in 'Coolie No. 1'.
D. D. 'Coolie No. 1' features a soundtrack released by Zee Music Company.","A, C, D"
