node_1,node_2,edge,chunk_id,count
robert pattinson,bruce wayne,"Robert Pattinson portrays Batman's alter ego, Bruce Wayne, in this movie. As the movie explores Batman before he becomes a fully formed crime fighter, director Matt Reeves describes Bruce Wayne as reclusive and unable to delineate between his Batman persona and public identity as a billionaire.",80997ce7674348d7a4aa491165cddbda,4
batman,drug addiction,Director Matt Reeves compared Batman's obsession with being Batman to a drug addiction in this movie. This highlights the extent of his commitment and dedication to his role as a superhero.,80997ce7674348d7a4aa491165cddbda,4
batman,flawed,"In this movie, Batman is portrayed as more flawed than traditional superheroes. This highlights the complexity and depth of his character.",80997ce7674348d7a4aa491165cddbda,4
batman,rage,"According to this movie, Batman seeks to work out his rage by inflicting his kind of justice. This sheds light on the psychological motivations behind his actions.",80997ce7674348d7a4aa491165cddbda,4
batman,vengeance,"The movie raises questions about Batman's use of vengeance, as opposed to inspiring hope. This underscores the moral dilemmas faced by superheroes in their fight against crime.",80997ce7674348d7a4aa491165cddbda,4
edward nashton,batman,"Edward Nashton, also known as the Riddler, is inspired by Batman to become a serial killer who targets elite Gotham citizens and live streams his crimes. This reflects the idea from the comics that he creates his own enemies.",47739d1a41834fbab7cf5808e54c6e66,4
edward nashton,gotham's rich and powerful,"As an orphan raised in abject poverty, Edward Nashton resents Gotham's rich and powerful for ignoring the less fortunate.",47739d1a41834fbab7cf5808e54c6e66,4
edward nashton,law enforcement,Edward Nashton taunts Batman and law enforcement with riddles.,47739d1a41834fbab7cf5808e54c6e66,4
carmine falcone,john turturro,John Turturro portrays Carmine Falcone in the movie.,70ba79cd7fba4b69bacd553a7b6f2161,4
gil colson,peter sarsgaard,Peter Sarsgaard portrays Gil Colson in the movie.,70ba79cd7fba4b69bacd553a7b6f2161,4
gil colson,untruthful,Gil Colson is described as untruthful by Peter Sarsgaard.,70ba79cd7fba4b69bacd553a7b6f2161,4
gil colson,distasteful,Gil Colson is described as distasteful by Peter Sarsgaard.,70ba79cd7fba4b69bacd553a7b6f2161,4
oz,falcone,Colin Farrell's character Oz is Falcone's chief lieutenant who operates the Iceberg Lounge in the context. This indicates a direct reporting relationship between these two characters.,f74f1a223a274d74b3d42ab0e2d00d68,4
oz,penguin,"Colin Farrell's character Oz is referred to as 'the Penguin' in the context, but his surname Cobb has been shortened during the production of the spin-off series The Penguin. This implies a close association between Oz and the character known as Penguin from the comics.",f74f1a223a274d74b3d42ab0e2d00d68,4
oz,mid-level mobster guy,"Reeves, who plays Batman in this context, has described Oz as a 'mid-level mobster guy' with showmanship potential. This suggests that Oz is still building his criminal empire and has not yet reached the level of notoriety associated with his comic book counterpart.",f74f1a223a274d74b3d42ab0e2d00d68,4
oz,fredo corleone,Reeves has compared Oz's position within a family of powerful criminals to that of Fredo Corleone in The Godfather. This highlights the sense of insignificance and underestimation that Oz experiences in this context.,f74f1a223a274d74b3d42ab0e2d00d68,4
bella reál,mayoral candidate for gotham city,Jayme Lawson's character Bella Reál represents hope as a mayoral candidate for Gotham City in this context. This suggests that there are alternative political figures who could potentially challenge the criminal underworld led by Oz and Falcone.,f74f1a223a274d74b3d42ab0e2d00d68,4
martinez,gcpd officer,Gil Perez-Abraham's character Martinez is identified as a GCPD officer in this context. This indicates that the police force is actively involved in combating crime in Gotham City.,f74f1a223a274d74b3d42ab0e2d00d68,4
william kenzie,corrupt gcpd officer,Peter McDonald's character William Kenzie is described as a corrupt GCPD officer in this context. This highlights the prevalence of corruption within the police force and suggests that there may be conflicts between honest officers like Martinez and those who are compromised.,f74f1a223a274d74b3d42ab0e2d00d68,4
pete savage,gcpd commissioner,"Con O'Neill's character Pete Savage is identified as the GCPD commissioner in this context. This indicates that there is a hierarchy within the police force, with higher-ranking officials like Savage having greater authority.",f74f1a223a274d74b3d42ab0e2d00d68,4
mackenzie bock,gcpd chief,"O'Neill's character Pete Savage reports to Mackenzie Bock, who is identified as the GCPD chief in this context. This reinforces the notion of a hierarchical structure within the police force.",f74f1a223a274d74b3d42ab0e2d00d68,4
joker,unseen arkham prisoner,"Barry Keoghan's character, who is known as the Joker in other Batman narratives, is only referred to as an 'unseen Arkham Prisoner' in this context. This suggests that the Joker may have a connection to events taking place at Arkham Asylum or that he is currently incarcerated there.",f74f1a223a274d74b3d42ab0e2d00d68,4
joker,unseen arkham prisoner,"In the episode 'Mad City: Helya', the Joker makes a cameo appearance as the Unseen Arkham Prisoner.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
jay lycurgo,gang member,"In the episode 'Mad City: Helya', Jay Lycurgo portrays a young gang member.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
akie kotabe,train passenger,"In the episode 'Mad City: Helya', Akie Kotabe is featured as a train passenger.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
sandra dickinson,dory,"In the episode 'Mad City: Helya', Sandra Dickinson is introduced as Dory, Bruce's caretaker and housekeeper.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
luke roberts,thomas wayne,"In the episode 'Mad City: Helya', Luke Roberts portrays Bruce's father, Thomas Wayne.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
stella stocker,martha wayne,"In the episode 'Mad City: Helya', Stella Stocker is introduced as Bruce's mother, Martha Wayne.",ee5bcd86f3034d5f93ee89fabfaaf29d,4
