Question & Options,Correct Answer
"What is the relationship between the movie 'Ajnabee' and its summary as indicated in the details provided?
Options:
A. The summary provides insights into the movie's characters.
B. The summary reveals the movie's box office performance.
C. The summary gives an overview of the movie's plot and themes.
D. The summary is unrelated to the movie's details.",The summary gives an overview of the movie's plot and themes.
"What genre does the 2001 film 'Ajnabee' belong to?
Options:
A. Romantic Comedy
B. Action Thriller
C. Science Fiction
D. Horror",Action Thriller
"Who directed the 2001 movie 'Ajnabee'?
Options:
A. Rajkumar Hirani
B. Abbas–Mustan
C. Karan Johar
D. Sanjay Leela Bhansali",Abbas–Mustan
"Who was the producer of the movie 'Ajnabee', released in 2001?
Options:
A. Vijay Galani
B. Rajkumar Hirani
C. Karan Johar
D. Sanjay Leela Bhansali",Vijay Galani
"In the 2001 movie 'Ajnabee', which actress made her debut in the film?
Options:
A. Kareena Kapoor
B. Priyanka Chopra
C. Deepika Padukone
D. Katrina Kaif",Kareena Kapoor
"In the 2001 movie 'Ajnabee', which actress made her debut as an actor?
Options:
A. Kareena Kapoor
B. Bipasha Basu
C. Priyanka Chopra
D. Deepika Padukone",Bipasha Basu
"In the 2001 movie 'Ajnabee', what role does Johnny Lever play?
Options:
A. Lead role
B. Cameo appearance
C. Supporting role
D. Villain",Supporting role
"In the 2001 movie 'Ajnabee', what role does Dalip Tahil play?
Options:
A. Lead role
B. Supporting role
C. Cameo appearance
D. Villain",Supporting role
"In the 2001 movie 'Ajnabee', what role does Narendra Bedi play?
Options:
A. Lead role
B. Supporting role
C. Cameo appearance
D. Antagonist",Supporting role
"In the 2001 movie 'Ajnabee', what role does Sharat Saxena play?
Options:
A. Lead role
B. Supporting role
C. Cameo appearance
D. Villain",Supporting role
"In the 2001 film 'Ajnabee', what is the relationship between consenting adults and the film's adaptation?
Options:
A. Ajnabee is a sequel to Consenting Adults.
B. Ajnabee is an unofficial adaptation of the 1992 American thriller Consenting Adults.
C. Ajnabee is a documentary about consenting adults.
D. Ajnabee is based on a novel about consenting adults.",Ajnabee is an unofficial adaptation of the 1992 American thriller Consenting Adults.
"In the 2001 movie 'Ajnabee', what significant life change does the character Raj experience?
Options:
A. He becomes a famous actor.
B. He moves to Switzerland with his wife.
C. He starts a new business.
D. He joins the army.",He moves to Switzerland with his wife.
"In the 2001 movie 'Ajnabee', what significant event occurs involving the character Priya Malhotra?
Options:
A. She becomes a detective.
B. She moves to Switzerland with her husband.
C. She starts a new job in India.
D. She goes on a vacation alone.",She moves to Switzerland with her husband.
"In the 2001 movie 'Ajnabee', who is Vikram Bajaj in relation to Raj and Priya Malhotra?
Options:
A. A close friend from India
B. An Indian neighbor in Switzerland
C. A distant relative
D. A business partner",An Indian neighbor in Switzerland
"In the 2001 movie 'Ajnabee', what is the relationship of Sonia Bajaj to Raj and Priya Malhotra?
Options:
A. She is their cousin.
B. She is their Indian neighbor.
C. She is their friend from college.
D. She is a tourist they meet.",She is their Indian neighbor.
"In the 2001 movie 'Ajnabee', where do Raj and Priya Malhotra move to?
Options:
A. France
B. Italy
C. Switzerland
D. Germany",Switzerland
"In the 2001 movie 'Ajnabee', what location do the characters Raj, Priya Malhotra, Vikram Bajaj, and Sonia Bajaj visit for their Christmas vacation?
Options:
A. Hawaii
B. Mauritius
C. Bali
D. Maldives",Mauritius
"In the 2001 movie 'Ajnabee', what event do Raj, Priya Malhotra, Vikram Bajaj, and Sonia Bajaj go on together?
Options:
A. A wedding
B. A Christmas vacation
C. A business trip
D. A family reunion",A Christmas vacation
