Question & Options,Correct Answer
"[""Who portrayed the character of Artemis Fowl II, a 12-year-old human criminal mastermind with exceptionally high intelligence, in the 2020 movie 'Artemis Fowl'?""]
Options:
A. [""Daniel Radcliffe""]
B. [""Ferdia Shaw""]
C. [""Tom Holland""]
D. [""Asa Butterfield""]","[""Ferdia Shaw""]"
"[""In the 2020 movie 'Artemis Fowl', who does Lara McDonnell portray?""]
Options:
A. [""An 84-year-old elven reconnaissance officer of the Lower Elements Police (LEPrecon), Holly Short""]
B. [""Artemis Fowl, a young criminal mastermind""]
C. [""Julius Root, the commander of LEPrecon""]
D. [""Butler, Artemis Fowl's loyal servant""]","[""An 84-year-old elven reconnaissance officer of the Lower Elements Police (LEPrecon), Holly Short""]"
"""Who portrayed the character of Mulch Diggums, an imprisoned dwarfus giganticus gentleman thief, in the 2020 movie 'Artemis Fowl'?""
Options:
A. [""Robert Downey Jr.""]
B. [""Chris Hemsworth""]
C. [""Josh Gad""]
D. [""Tom Holland""]","[""Josh Gad""]"
"[""In the 2020 movie 'Artemis Fowl', who portrays the character of Juliet Butler, Domovoi's 12-year-old niece and protégé, and Artemis' best friend?""]
Options:
A. [""Dame Judi Dench""]
B. [""Ferdia Shaw""]
C. [""Lara McDonnell""]
D. [""Tamara Smart""]","[""Tamara Smart""]"
"[""In the 2020 movie 'Artemis Fowl', which character does Nonso Anozie portray?""]
Options:
A. [""Artemis Fowl""]
B. [""Domovoi 'Dom' Butler""]
C. [""Juliet Butler""]
D. [""Mulch Diggums""]","[""Domovoi 'Dom' Butler""]"
"[""Who portrayed the character of Briar Cudgeon, a power-hungry lieutenant in the LEP, in the 2020 movie 'Artemis Fowl'?""]
Options:
A. [""Daniel Radcliffe""]
B. [""Joshua McGuire""]
C. [""Johnny Depp""]
D. [""Robert Downey Jr.""]","[""Joshua McGuire""]"
"[""In the 2020 movie 'Artemis Fowl', which character does Colin Farrell portray?""]
Options:
A. [""Artemis Fowl II""]
B. [""Artemis Fowl I""]
C. [""Butler""]
D. [""Opal Koboi""]","[""Artemis Fowl I""]"
"[""In the 2020 movie 'Artemis Fowl', which character is portrayed by Judi Dench?""]
Options:
A. [""Artemis Fowl""]
B. [""Holly""]
C. [""Butler""]
D. [""Commander Julius Root""]","[""Commander Julius Root""]"
"[""Who portrayed the character of Foaly, a centaur and the LEPrecon division's technical advisor, in the 2020 movie 'Artemis Fowl'?""]
Options:
A. [""Robert Pattinson""]
B. [""Nikesh Patel""]
C. [""Daniel Radcliffe""]
D. [""Chris Evans""]","[""Nikesh Patel""]"
"[""In the 2020 movie 'Artemis Fowl', which character does Adrian Scarborough portray?""]
Options:
A. [""Artemis Fowl""]
B. [""Goblin Chief""]
C. [""Butler""]
D. [""Mulch Diggums""]","[""Goblin Chief""]"
"[""Who portrayed the character of Trouble Kelp, a captain of the LEP, in the 2020 movie 'Artemis Fowl'?""]
Options:
A. [""Josh Gad""]
B. [""Chi-Lin Nim""]
C. [""Ferdia Shaw""]
D. [""Nonso Anozie""]","[""Chi-Lin Nim""]"
"[""Who portrayed the character of Grub Kelp, a corporal of the LEP, in the 2020 movie 'Artemis Fowl'?""]
Options:
A. [""Tom Holland""]
B. [""Robert Downey Jr.""]
C. [""Lewy Xing""]
D. [""Chris Hemsworth""]","[""Lewy Xing""]"
"""Who portrayed the character of the Goblin Sergeant in the 2020 movie Artemis Fowl?""
Options:
A. [""Johnny Depp""]
B. [""Vincenzo Nicoli""]
C. [""Tom Hanks""]
D. [""Brad Pitt""]","[""Vincenzo Nicoli""]"
"""In the 2020 movie 'Artemis Fowl', who portrayed the character of the Goblin Lieutenant?""
Options:
A. [""Conor MacNeill""]
B. [""Johnny Depp""]
C. [""Tom Cruise""]
D. [""Brad Pitt""]","[""Conor MacNeill""]"
"""In the 2020 movie 'Artemis Fowl', which character does Vincenzo Nicoli play?""
Options:
A. [""Goblin King""]
B. [""Artemis Fowl""]
C. [""Goblin Sergeant""]
D. [""Butler""]","[""Goblin Sergeant""]"
"[""In the 2020 movie 'Artemis Fowl', which character is portrayed by Conor MacNeill?""]
Options:
A. [""Root""]
B. [""Artemis Fowl""]
C. [""Goblin Lieutenant""]
D. [""Butler""]","[""Goblin Lieutenant""]"
"""In the 2020 movie 'Artemis Fowl', which character did Adam Basil portray in the scenes that were filmed but not used in the final cut of the movie?""
Options:
A. [""Centaur""]
B. [""Dwarf""]
C. [""Elf""]
D. [""Troll""]","[""Troll""]"
"[""In the 2020 movie 'Artemis Fowl', what role did Taylor James play in the unused scenes?""]
Options:
A. [""A fairy""]
B. [""A dwarf""]
C. [""A troll""]
D. [""A centaur""]","[""A troll""]"
"[""In the 2020 movie 'Artemis Fowl', who portrayed the character of Angeline Fowl in some deleted scenes that were not included in the final cut?""]
Options:
A. [""Judi Dench""]
B. [""Ferdia Shaw""]
C. [""Lara McDonnell""]
D. [""Miranda Raison""]","[""Miranda Raison""]"
"""In the 2020 movie Artemis Fowl, who plays the character of a fairy in a deleted scene, which takes place in Ho Chi Minh City?""
Options:
A. [""Angelina Jolie""]
B. [""Hong Chau""]
C. [""Scarlett Johansson""]
D. [""Emma Stone""]","[""Hong Chau""]"
