Question,Answer
Did Ajay Devgn play a different character in the movie Himmatwala released in 2012?,NO
Is Ravi Verma (II) a character portrayed by Ajay Devgn in the movie Himmatwala released in 2012?,YES
Does Tamannaah Bhatia play the role of Rekha Singh in the movie Himmatwala released in 2012?,NO
Is Rekha Singh a character portrayed by Tamannaah Bhatia in the movie Himmatwala released in 2012?,YES
Does Paresh Rawal play a different character in the movie Himmatwala released in 2012?,NO
Is Narayan Das a character portrayed by Paresh Rawal in the movie Himmatwala released in 2012?,YES
Does Mahesh Manjrekar play a different character in the movie Himmatwala released in 2012?,NO
Is Sher Singh a character portrayed by Mahesh Manjrekar in the movie Himmatwala released in 2012?,YES
Did Adhyayan Suman play a character other than Shakti Das in the movie Himmatwala released in 2012?,NO
Is Shakti Das a character played by Adhyayan Suman in the movie Himmatwala released in 2012?,YES
Does Zarina Wahab play a character other than Savitri Verma in the movie Himmatwala released in 2012?,NO
Is Savitri Verma a character portrayed by Zarina Wahab in the movie Himmatwala released in 2012?,YES
Does Leena Jumani play a character named Padma Verma in the movie Himmatwala released in 2012?,NO
Is Padma Verma also known as Padma Shakti Das in the movie Himmatwala released in 2012?,YES
Did Anil Dhawan play a leading role in Himmatwala released in 2012?,NO
Is Dharamurthy Verma a character portrayed by Anil Dhawan in Himmatwala released in 2012?,YES
Did Riteish Deshmukh play the lead role in the movie Himmatwala released in 2012?,NO
Does Riteish Deshmukh enact the character of Ravi Verma in Himmatwala released in 2012?,YES
Does Chunky Panday play the character Michael Jaikishan in the movie Himmatwala released in 2012?,NO
Is Michael Jaikishan a character played by Chunky Panday in the movie Himmatwala released in 2012?,YES
Did Surveen Chawla play a fictional character in the movie Himmatwala released in 2012?,NO
"Is Surveen Chawla featured as herself in the song ""Dhoka Dhoka"" from the movie Himmatwala released in 2012?",YES
"Does Amruta Khanvilkar appear as someone else in the song ""Dhoka Dhoka"" from Himmatwala released in 2012?",NO
"Is Amruta Khanvilkar featured as herself in the song ""Dhoka Dhoka"" from Himmatwala released in 2012?",YES
Did Sayantani Ghosh portray a fictional character in the movie Himmatwala released in 2012?,NO
Does Sayantani Ghosh appear as herself in the song Dhoka Dhoka from Himmatwala released in 2012?,YES
"Does Rinku Ghosh appear as someone else in the song ""Dhoka Dhoka"" from Himmatwala released in 2012?",NO
"Is Rinku Ghosh appearing as herself in the song ""Dhoka Dhoka"" from Himmatwala released in 2012?",YES
Does Mona Thiba appear as herself in the movie Himmatwala released in 2012?,NO
"Is Mona Thiba featured in the song 'Dhoka Dhoka' from Himmatwala, which was released in 2012?",YES
Did Sonakshi Sinha appear as herself in the movie Himmatwala released in 2012?,NO
"Is Sonakshi Sinha featured in the song ""Thank God It's Friday"" in the movie Himmatwala released in 2012?",YES
