Question & Options,Correct Answer
"Which of the following statements are true regarding the production of the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. The movie is based on a chapter from Hussain Zaidi's book 'Mafia Queens of Mumbai'.
B. Priyanka Chopra was initially attached to star as the leading character.
C. The adaptation news was first announced in June 2018.
D. The film features a character named Gangubai Kathiawadi.",The movie is based on a chapter from Hussain Zaidi's book 'Mafia Queens of Mumbai'; Priyanka Chopra was initially attached to star as the leading character; The film features a character named Gangubai Kathiawadi.
"Which of the following statements are true regarding the production of the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. Priyanka Chopra was originally attached to star as the leading character.
B. The film was directed by Sanjay Leela Bhansali.
C. Alia Bhatt ultimately played the role of Gangubai.
D. The movie is based on a true story.","Priyanka Chopra was originally attached to star as the leading character., Alia Bhatt ultimately played the role of Gangubai., The movie is based on a true story."
"Which of the following statements are true regarding the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. A. Sanjay Leela Bhansali directed 'Gangubai Kathiawadi'.
B. B. Priyanka Chopra starred in 'Gangubai Kathiawadi'.
C. C. 'Gangubai Kathiawadi' is based on a true story.
D. D. The film was released in 2022.","A, C, D"
"In the movie 'Gangubai Kathiawadi' (2022), which of the following statements are true regarding the casting of Alia Bhatt?
Options:
A. Alia Bhatt replaced Priyanka Chopra for the role in Gangubai Kathiawadi.
B. Alia Bhatt was originally cast for the role in Gangubai Kathiawadi.
C. Gangubai Kathiawadi was directed by Sanjay Leela Bhansali.
D. Inshallah was a project that was shelved before Gangubai Kathiawadi.","Alia Bhatt replaced Priyanka Chopra for the role in Gangubai Kathiawadi., Gangubai Kathiawadi was directed by Sanjay Leela Bhansali., Inshallah was a project that was shelved before Gangubai Kathiawadi."
"In the movie 'Gangubai Kathiawadi' (2022), which of the following statements are true regarding the character Afsaan and the actor portraying him?
Options:
A. Afsaan is portrayed by television personality Shantanu Maheshwari.
B. Afsaan is the main antagonist in the film.
C. Shantanu Maheshwari is making his Hindi cinema debut in this movie.
D. Gangubai is a character that Afsaan falls in love with.","Afsaan is portrayed by television personality Shantanu Maheshwari., Shantanu Maheshwari is making his Hindi cinema debut in this movie., Gangubai is a character that Afsaan falls in love with."
"Which of the following statements are true about the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. Varun Kapoor plays the role of Ramnik Lala in the movie.
B. Gangubai Kathiawadi is directed by Sanjay Leela Bhansali.
C. The movie is based on the life of a famous Mumbai underworld figure.
D. Varun Kapoor is a well-known film director.","Varun Kapoor plays the role of Ramnik Lala in the movie., Gangubai Kathiawadi is directed by Sanjay Leela Bhansali., The movie is based on the life of a famous Mumbai underworld figure."
"Which of the following statements are true regarding the production of the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. The principal photography took place in Film City, Mumbai.
B. Gangubai Kathiawadi was filmed entirely in Los Angeles.
C. Film City, Mumbai was a key location for the movie's production.
D. The movie was shot in various international locations.","The principal photography took place in Film City, Mumbai., Film City, Mumbai was a key location for the movie's production."
"Which of the following statements are true regarding the production of 'Gangubai Kathiawadi' released in 2022?
Options:
A. The production was put on hold due to the COVID-19 pandemic.
B. The Indian government ordered the lockdown that affected the film's production.
C. The film was produced without any interruptions.
D. The movie was released before the pandemic started.","The production was put on hold due to the COVID-19 pandemic., The Indian government ordered the lockdown that affected the film's production."
"Which of the following statements are true regarding the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. Ajay Devgn plays a significant role in the movie.
B. Ajay Devgn appears in a cameo in 'Gangubai Kathiawadi'.
C. Gangubai Kathiawadi is directed by Sanjay Leela Bhansali.
D. Ajay Devgn is the lead actor in 'Gangubai Kathiawadi'.","Ajay Devgn appears in a cameo in 'Gangubai Kathiawadi'., Gangubai Kathiawadi is directed by Sanjay Leela Bhansali."
"Which of the following statements are true regarding the production of the movie 'Gangubai Kathiawadi' released in 2022?
Options:
A. A. The filming of 'Gangubai Kathiawadi' was completed on 26 June 2021.
B. B. 'Gangubai Kathiawadi' was directed by Sanjay Leela Bhansali.
C. C. The movie was released in 2021.
D. D. The film is based on a character from the book 'Mafia Queens of Mumbai'.","A, B, D"
