node_1,node_2,edge,chunk_id,count
kevin james,griffin keyes,is played by,005d198a69f74346bf3ccee7c990dba1,4
rosario dawson,kate,plays the role of,005d198a69f74346bf3ccee7c990dba1,4
leslie bibb,stephanie,is played by,005d198a69f74346bf3ccee7c990dba1,4
joe rogan,gale,is played by,005d198a69f74346bf3ccee7c990dba1,4
nat faxon,dave keyes,is played by,005d198a69f74346bf3ccee7c990dba1,4
steffiana de la cruz,robin keyes,plays the role of,005d198a69f74346bf3ccee7c990dba1,4
thomas gottschalk,jürgen mavroc,is played by,005d198a69f74346bf3ccee7c990dba1,4
donnie wahlberg,shane,is played by,005d198a69f74346bf3ccee7c990dba1,4
brandon keener,nimer animals,plays the role of,005d198a69f74346bf3ccee7c990dba1,4
tom woodruff jr.,bernie (in-suit performer),is played by,005d198a69f74346bf3ccee7c990dba1,4
crystal the monkey,donald,plays the role of,005d198a69f74346bf3ccee7c990dba1,4
bart the bear 2,jerome,plays the role of,005d198a69f74346bf3ccee7c990dba1,4
honey bump bear,bruce,is played by,005d198a69f74346bf3ccee7c990dba1,4
nick nolte,bernie,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
sylvester stallone,joe,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
adam sandler,donald,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
judd apatow,barry,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
cher,janet,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
jon favreau,jerome,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
faizon love,bruce,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
maya rudolph,mollie,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
bas rutten,sebastian,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
don rickles,jim,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
richie minervini,elmo,is voiced by,005d198a69f74346bf3ccee7c990dba1,4
