node_1,node_2,edge,chunk_id,count
coda,ruby rossi,"Ruby Rossi is the child of deaf adults and only hearing member of her family, making her a CODA (Children Of Deaf Adults).",1b1a7512dd86407ab189492bf883ad3c,4
ruby rossi,singing,Ruby Rossi pursues her aspirations to become a singer.,1b1a7512dd86407ab189492bf883ad3c,4
deaf characters,american sign language,Deaf characters in the movie communicate using American Sign Language.,1b1a7512dd86407ab189492bf883ad3c,4
"gloucester, massachusetts",location,"The movie is filmed on location in Gloucester, Massachusetts.",1b1a7512dd86407ab189492bf883ad3c,4
eugenio derbez,supporting role,Eugenio Derbez plays a supporting role in the movie.,1b1a7512dd86407ab189492bf883ad3c,4
troy kotsur,supporting role,"Troy Kotsur, a deaf actor, plays a supporting role in the movie.",1b1a7512dd86407ab189492bf883ad3c,4
ferdia walsh-peelo,supporting role,Ferdia Walsh-Peelo plays a supporting role in the movie.,1b1a7512dd86407ab189492bf883ad3c,4
daniel durant,feature film debut,"Daniel Durant, a deaf actor, makes his feature film debut in the movie.",1b1a7512dd86407ab189492bf883ad3c,4
marlee matlin,supporting role,"Marlee Matlin, an Oscar-winning deaf actress, plays a supporting role in the movie.",1b1a7512dd86407ab189492bf883ad3c,4
sundance film festival,world premiere,CODA had its world premiere at the Sundance Film Festival.,1b1a7512dd86407ab189492bf883ad3c,4
apple tv+ streaming service,distribution rights,"Apple acquired distribution rights for CODA through their streaming service, Apple TV+.",1b1a7512dd86407ab189492bf883ad3c,4
coda,best picture,CODA won the prestigious Best Picture award at the 94th Academy Awards.,98c30fa9c3b1474ba4211d58b1e8382f,4
coda,all three nominations,"CODA received all three of its Academy Award nominations, which were for Best Picture, Best Supporting Actor, and Best Adapted Screenplay.",98c30fa9c3b1474ba4211d58b1e8382f,4
coda,the lord of the rings: the return of the king,"CODA became the seventh film in history to win every award for which it was nominated, joining a prestigious group that includes Wings (1927), Grand Hotel (1932), It Happened One Night (1934), Gigi (1958), and The Last Emperor (1987). This group also includes The Lord of the Rings: The Return of the King (2003).",98c30fa9c3b1474ba4211d58b1e8382f,4
kotsur,best supporting actor,"At the 94th Academy Awards, Kotsur won the highly coveted Best Supporting Actor award.",98c30fa9c3b1474ba4211d58b1e8382f,4
kotsur,male deaf actor,"With his win at the 94th Academy Awards, Kotsur became the first male deaf actor to take home this prestigious honor.",98c30fa9c3b1474ba4211d58b1e8382f,4
coda,streaming service,CODA made history by becoming the first film ever distributed by a streaming service to win the Academy Award for Best Picture.,98c30fa9c3b1474ba4211d58b1e8382f,4
coda,sundance film festival,"In another groundbreaking first, CODA became the first film ever premiered at the Sundance Film Festival to win the Academy Award for Best Picture.",98c30fa9c3b1474ba4211d58b1e8382f,4
coda,producers guild of america,"In addition to its many Academy Awards, CODA also won the prestigious Producers Guild of America Award for Best Theatrical Motion Picture.",98c30fa9c3b1474ba4211d58b1e8382f,4
coda,screen actors guild,"The talented cast of CODA also received high praise, winning the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture.",98c30fa9c3b1474ba4211d58b1e8382f,4
coda,bafta award,"The film's outstanding screenplay also earned it the BAFTA Award for Best Adapted Screenplay, as well as the Writers Guild of America Award for Best Adapted Screenplay.",98c30fa9c3b1474ba4211d58b1e8382f,4
ruby,berklee college of music,"Mr. V encourages Ruby to audition for Berklee College of Music, his alma mater.",c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,private lessons,Mr. V offers Ruby private lessons to prepare for Berklee College of Music.,c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,family business,Ruby's increasing commitments to the family business cause her to be late to Mr. V's lessons.,c4cbe73259b047c7b7789c0e0f4bd123,4
mr. v,ruby,Mr. V grows irritated with Ruby's constant tardiness and chastises her for wasting his time and not caring enough about music.,c4cbe73259b047c7b7789c0e0f4bd123,4
federal fishing observer,frank and leo,"When Frank and Leo sail with a federal fishing observer on board, who does not know in advance that they are deaf.",c4cbe73259b047c7b7789c0e0f4bd123,4
coast guard,frank and leo,The boat is intercepted by the Coast Guard after failing to respond to ship horns and radio calls.,c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,miles,"When Ruby is off swimming with Miles, Frank and Leo sail without her.",c4cbe73259b047c7b7789c0e0f4bd123,4
frank and leo,coast guard fine,Frank and Leo are fined and have their fishing licenses suspended for negligence.,c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,family business,Ruby tells Frank and Leo that she can't always interpret for them and she was not at fault when they appeal and get their license back.,c4cbe73259b047c7b7789c0e0f4bd123,4
leo,ruby,"Leo reacts angrily, insisting that they can manage without Ruby as she truly has talent.",c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,college,Ruby announces to the family business that she is forgoing college and will join the business full-time.,c4cbe73259b047c7b7789c0e0f4bd123,4
parents,ruby,"Ruby's parents are supportive, but Leo reacts angrily when she makes this decision.",c4cbe73259b047c7b7789c0e0f4bd123,4
ruby,family,"attends her choir recital with, notices positive reception from surrounding audience, drives to Boston for Berklee audition with, and signs 'I love you so much' to before leaving for college",c8eb83e422e744468893f37d20f33b4c,4
ruby,boston,invites Miles to visit her in Boston after being accepted to Berklee and Gertie drives her to Boston for college,c8eb83e422e744468893f37d20f33b4c,4
ruby,miles,"sings for him while he feels her vocal cords, fails at his audition, and wishes her luck before her Berklee audition",c8eb83e422e744468893f37d20f33b4c,4
ruby,berklee,auditions for and is accepted to Berklee,c8eb83e422e744468893f37d20f33b4c,4
ruby,mr. v,gains confidence when she sees him during her audition after he makes a mistake on his accompaniment,c8eb83e422e744468893f37d20f33b4c,4
ruby,"both sides, now",signs along while singing at her Berklee audition,c8eb83e422e744468893f37d20f33b4c,4
ruby's family,choir recital,attend and notice positive reception from surrounding audience,c8eb83e422e744468893f37d20f33b4c,4
ruby's family,boston,drive to with Ruby for her Berklee audition,c8eb83e422e744468893f37d20f33b4c,4
ruby's family,miles,see before leaving for college,c8eb83e422e744468893f37d20f33b4c,4
ruby's family,gertie,drives her to Boston for college,c8eb83e422e744468893f37d20f33b4c,4
ruby's family,hearing workers,learn sign language and communicate/interpret for the family,c8eb83e422e744468893f37d20f33b4c,4
coda,english-language remake,"Written and directed by Sian Heder, CODA is an adaptation of the French-language film La Famille Bélier. Producer Philippe Rousselet, who was one of the original film's producers, had the right to do a remake.",a7e6beeac0f3415eb900d3420ef2a958,4
coda,"gloucester, massachusetts","Set in Gloucester, CODA was chosen by director Sian Heder for its picturesque and working-class qualities.",a7e6beeac0f3415eb900d3420ef2a958,4
la famille bélier,coda,"CODA is a remake of the French-language film La Famille Bélier, which was released in 2014 and was successful at the French box office.",a7e6beeac0f3415eb900d3420ef2a958,4
"gloucester, massachusetts",new england,Heder chose Gloucester for CODA because of its combination of picturesque and working-class qualities that are typical of New England.,a7e6beeac0f3415eb900d3420ef2a958,4
asl masters,sian heder,"In the process of writing the script for CODA, director Sian Heder was helped by two deaf collaborators known as 'ASL masters', Alexandria Wailes and Anne Tomasetti.",a7e6beeac0f3415eb900d3420ef2a958,4
coda,40% in asl,"40% of the script for CODA is written in American Sign Language, as director Sian Heder learned ASL while writing the script.",a7e6beeac0f3415eb900d3420ef2a958,4
coda,pathé films and vendôme group,"CODA was developed and produced by the film production partnership formed by Pathé Films and Vendôme Group, which aims to develop and produce English-language films.",a7e6beeac0f3415eb900d3420ef2a958,4
gloucester fishermen's wives association,local fishing practices,"Several consultants and a fisherman educated Marlee Heder, the actress playing the lead role in the film, in local fishing practices as part of her preparation for the film. The Gloucester Fishermen's Wives Association also provided consultation during the development process.",8f20a6bb767c445cb0c601d11ea15e03,4
marlee matlin,deaf actors,"Marlee Matlin, an award-winning and internationally known actress, threatened to drop out of the film unless deaf actors were cast for the remaining deaf characters. The financiers initially resisted this but ultimately relented.",8f20a6bb767c445cb0c601d11ea15e03,4
kenneth lonergan,marlee heder,"Director Kenneth Lonergan provided feedback to Marlee Heder as part of her preparation for the film, which was set in Manchester-by-the-Sea, Massachusetts.",8f20a6bb767c445cb0c601d11ea15e03,4
fish processing plant,marlee heder,"To prepare for the film, Marlee Heder observed a fish processing plant.",8f20a6bb767c445cb0c601d11ea15e03,4
local harbormaster,marlee heder,Marlee Heder received feedback from the local harbormaster about how authorities would raid a boat as part of her preparation for the film.,8f20a6bb767c445cb0c601d11ea15e03,4
universal stories with deaf characters,deaf characters,"Matlin described her interest in getting CODA made, 'I felt that audiences would really see deaf people in a film ... There are so many levels for people to identify with and, for people with no connection, who have never met a deaf person, to see sign language, to see deaf people in normal, day-to-day settings ... People think that deaf people are monolithic in how they approach life. And this film bursts that myth ... But to burst that myth, it had to be told as authentically as possible. And it’s strange because studios clearly have the ability to greenlight a film and cast whomever they want, and there continues to be a lack of awareness that you can tell universal stories with deaf characters.'",82887da66fbf4ddca94a888aaa915f87,4
deaf people,"normal, day-to-day settings","Matlin described her interest in getting CODA made, 'There are so many levels for people to identify with and, for people with no connection, who have never met a deaf person, to see sign language, to see deaf people in normal, day-to-day settings ... People think that deaf people are monolithic in how they approach life. And this film bursts that myth ...'",82887da66fbf4ddca94a888aaa915f87,4
deaf people,authentic,"Matlin described her interest in getting CODA made, '... It had to be told as authentically as possible. And it’s strange because studios clearly have the ability to greenlight a film and cast whomever they want, and there continues to be a lack of awareness that you can tell universal stories with deaf characters.'",82887da66fbf4ddca94a888aaa915f87,4
deaf people,myth,"Matlin described her interest in getting CODA made, 'People think that deaf people are monolithic in how they approach life. And this film bursts that myth ...'",82887da66fbf4ddca94a888aaa915f87,4
deaf characters,opportunities,"Kotsur said, 'You have to think a little bit outside the box and present more opportunities, instead of just having two options ... You know, you write this script because somebody’s deaf, or I’m writing it because it’s a character that happens to be deaf. There’s a distinction there.'",82887da66fbf4ddca94a888aaa915f87,4
asl interpreters,deaf community in nearby boston,Heder connected with the deaf community in nearby Boston to secure the ASL interpreters for on-set communication.,f62e571dfcf24e1bb0e4dd3e838ea643,4
emilia jones,hearing member of the deaf family,The director auditioned hundreds of teenage girls before casting Emilia Jones as the hearing member of the deaf family.,f62e571dfcf24e1bb0e4dd3e838ea643,4
eugenio derbez,girl's choirmaster,"Heder also chose to cast Eugenio Derbez as the girl's choirmaster, seeing him as a fit for her 'amalgamation of Heder's college rhythm teacher and her high school drama and English teachers'.",f62e571dfcf24e1bb0e4dd3e838ea643,4
"gloucester, massachusetts",middle of 2019,"The film was shot on location in Gloucester, Massachusetts, in the middle of 2019.",f62e571dfcf24e1bb0e4dd3e838ea643,4
film,"gloucester, massachusetts","The film was shot on location in Gloucester, Massachusetts",93b1e562b57c4a418b2e352f57c9dfd2,4
family home,creaky clapboard cottage,"In the film, the family lives in what WBUR's The ARTery described as a 'creteaky clapboard cottage [with] a yard jammed with boats, traps, and nets'",93b1e562b57c4a418b2e352f57c9dfd2,4
family home,residents,"During location scouting, Heder came across what she found to be the ideal house for the family home and received permission from its residents to use it as a filming location.",93b1e562b57c4a418b2e352f57c9dfd2,4
choirmaster's home,victorian-style house on the sea,The choirmaster's home was a Victorian-style house on the sea,93b1e562b57c4a418b2e352f57c9dfd2,4
choirmaster's home,family friends,"Heder had visited family friends multiple times in her childhood, and they allowed her to film there.",93b1e562b57c4a418b2e352f57c9dfd2,4
fisherman,local fishing practices,A fisherman who educated Heder in local fishing practices allowed his fishing trawler to be used as a film set.,93b1e562b57c4a418b2e352f57c9dfd2,4
quarry,steel derrick quarry,"Scenes set in a flooded quarry were filmed at the Steel Derrick quarry in Rockport, Massachusetts.",93b1e562b57c4a418b2e352f57c9dfd2,4
