Question & Options,Correct Answer
"What are the motivations of Pammi Kaur and Billu Singh Sandhu in their relationship?
Options:
A. Pammi Kaur yearns for marriage with Billu.
B. Billu Singh Sandhu vows to remain unmarried.
C. Randhawa's son is involved in the family feud.
D. Both Pammi and Billu are affected by their family's conflicts.",All of the above
"What roles do the characters play in the search for Randhawa's son in the story?
Options:
A. tito and tony help Billu in the search
B. Billu Singh Sandhu is searching for Randhawa's son
C. Randhawa's son is the target of Billu's vow
D. All of the above",All of the above
"What events are connected to Jassi Singh Randhawa's decision to go to India in the context of the Sandhus and Randhawas rivalry?
Options:
A. Jassi decides to go to India despite the rivalry.
B. Jassi's father and Billu's uncle killed each other.
C. Jassi vows to remain unmarried until he kills Randhawa's son.
D. Pathan warned Jassi about the rivalry.",All of the above
"What significant actions did Jassi Singh Randhawa take in relation to Pathan and his mother?
Options:
A. Jassi decided to go to India despite the rivalry.
B. Jassi's mother fled the village with Jassi.
C. Pathan and Jassi are best friends.
D. Jassi settled in London due to the rivalry.",All of the above
"What are the key elements in the rivalry between the Sandhus and the Randhawas as depicted in the story?
Options:
A. Sukhmeet Kaur Sandhu is returning to Phagwara after her studies.
B. Jassi Singh Randhawa flirts with Sukhmeet Kaur Sandhu.
C. The fight between the families resulted in deaths.
D. Jassi Singh Randhawa vows to remain unmarried.",All of the above
"What significant events involve Sukhmeet Kaur Sandhu and Jassi Singh Randhawa in the story?
Options:
A. Sukhmeet is Jassi's younger sister returning home.
B. Jassi flees the village with Sukhmeet.
C. Sukhmeet and Jassi share a rivalry.
D. Jassi's mother is involved in the family conflict.",a) Sukhmeet is Jassi's younger sister returning home. and b) Jassi flees the village with Sukhmeet.
"What are the key events or relationships involving Tony, Jassi Singh Randhawa, and the rivalry between the Sandhus and the Randhawas?
Options:
A. Tony offers a ride to Jassi to the Gurudwara.
B. The rivalry leads to a deadly fight between the Sandhus and the Randhawas.
C. Jassi vows to remain unmarried until he kills Randhawa's son.
D. Tony is a neutral party in the Sandhus and Randhawas rivalry.",a) Tony offers a ride to Jassi to the Gurudwara; b) The rivalry leads to a deadly fight between the Sandhus and the Randhawas; c) Jassi vows to remain unmarried until he kills Randhawa's son.
"What actions did Tony and Jassi Singh Randhawa take in relation to Jassi's mother?
Options:
A. Tony offered a ride to Jassi to the Gurudwara.
B. Jassi's mother fled the village with Jassi.
C. Tony and Jassi settled in London due to rivalry.
D. All of the above",All of the above
"What roles do Jassi and Tony play in their relationship in the context of the Gurudwara?
Options:
A. Jassi is the protagonist seeking refuge.
B. Tony is the antagonist trying to harm Jassi.
C. The Gurudwara is significant to Jassi's background.
D. All of the above",All of the above
"What connections exist between Billu, Tony, and Jassi Singh Randhawa in the context of their search and interactions?
Options:
A. Billu revealed to Tony that Jassi is the person they were searching for.
B. Tony offered a ride to Jassi to the Gurudwara.
C. Jassi has a connection to the land behind the Gurudwara.
D. All of the above",All of the above
"What relationships exist between Jassi, Billu, and Tony in the context of their interactions?
Options:
A. Jassi is an acquaintance of Billu.
B. Billu is an accomplice of Tony.
C. Tony has been searching for Jassi for 25 years.
D. All of the above",All of the above
"What are the relationships between Jassi, Billu, and Sukh as depicted in their interactions?
Options:
A. Jassi is an acquaintance of Billu.
B. Billu hosts Jassi at his house.
C. Sukh is aware of Jassi's lies through his friend Bobby.
D. All of the above",All of the above
"What is the nature of the relationship between Jassi and Billu in the context of their encounters?
Options:
A. Jassi is an acquaintance of Billu
B. Billu invites Jassi to his house
C. Jassi is a victim of Billu's actions
D. Billu and Jassi have a friendship","Jassi is an acquaintance of Billu, Billu invites Jassi to his house, Jassi is a victim of Billu's actions"
"What can be inferred about the relationships between Jassi, Billu, and Tony?
Options:
A. Jassi and Billu have a rivalry
B. Billu has revealed important information to Tony
C. Tony is an accomplice of Billu
D. Jassi is the person Billu and Tony have been searching for",All of the above
"Which of the following statements are true regarding the relationships among Jassi, Billu, and Sukh?
Options:
A. a) Jassi and Billu have a rivalry.
B. b) Sukh is friends with Jassi.
C. c) Sukh confides in Tej about Jassi's lies.
D. d) Sukh is an ally to Billu.",a) Jassi and Billu have a rivalry. and c) Sukh confides in Tej about Jassi's lies.
"What can be inferred about the relationship dynamics between Jassi and Billu in their encounters?
Options:
A. Jassi and Billu have a rivalry.
B. Jassi is often a victim in confrontations with Billu.
C. Billu is portrayed as the persecutor in their interactions.
D. All of the above",All of the above
"What relationships exist between Pammi, Billu, and Tony in the context of the story?
Options:
A. Pammi is Billu's mother.
B. Billu and Tony are accomplices.
C. Pammi and Tony have a parent-child relationship.
D. Billu is searching for Jassi.",Pammi is Billu's mother. Billu and Tony are accomplices.
"Which of the following statements are true regarding the relationships among Pammi, Billu, and Sukh?
Options:
A. Pammi is Billu's mother.
B. Sukh is a friend of Tej 'Bobby' Jaswal.
C. Billu confides in Sukh about his problems.
D. Sukh has a secret relationship with Tej 'Bobby' Jaswal.",Pammi is Billu's mother. Sukh is a friend of Tej 'Bobby' Jaswal.
"What are the relationships between the characters Pammi, Billu, and Jassi in the movie?
Options:
A. Pammi is Billu's mother
B. Billu is Jassi's persecutor
C. Jassi is Pammi's friend
D. Jassi is involved in a confrontation with Billu","Pammi is Billu's mother, Billu is Jassi's persecutor, Jassi is involved in a confrontation with Billu"
"What are the relationships involving Sukh, Jassi, and Tony in the context of the story?
Options:
A. Sukh is a friend who invited Jassi to his house.
B. Tony is an antagonist who tries to kill Jassi.
C. Jassi is a guest at Sukh's house.
D. Sukh and Tony are both friends of Jassi.",Sukh is a friend who invited Jassi to his house. and Tony is an antagonist who tries to kill Jassi.
"What can be inferred about the relationships among Sukh, Jassi, and Billu?
Options:
A. Sukh is a friend of Jassi.
B. Billu invited Jassi to his house.
C. Sukh prompted Billu to invite Jassi.
D. All of the above",All of the above
"What relationships exist between Sukh, Jassi, and the Sandhu household in the context of their interactions?
Options:
A. Sukh invited Jassi to the Sandhu household
B. Jassi pretended to be injured while at the Sandhu household
C. Sukh and Jassi are friends
D. Jassi was a hostile guest in the Sandhu household",All of the above
"What can be inferred about the relationships between Sukh, Jassi, and Billu?
Options:
A. Sukh invited Jassi to his house
B. Jassi and Billu are enemies
C. Sukh is a mutual friend of Jassi and Billu
D. Billu is friends with Sukh",All of the above
"What can be inferred about the relationship between Sukh and Jassi in the context of the story?
Options:
A. Sukh invited Jassi to his house.
B. Sukh and Jassi are friends.
C. There is an unknown connection between Jassi and Sukh.
D. Sukh does not recognize Jassi.",Sukh invited Jassi to his house.
"What events are connected to the characters Sukh and Jassi during the engagement ceremony?
Options:
A. Sukh invited Jassi to his house.
B. Jassi attempted to escape from the engagement ceremony.
C. Sukh and Jassi are friends.
D. Jassi was unaware of the engagement ceremony.",a) Sukh invited Jassi to his house. and b) Jassi attempted to escape from the engagement ceremony.
"Which of the following statements is true regarding the relationships within the Sandhu household and the characters Jassi and Tony?
Options:
A. The Sandhu household forbids any killings during the period.
B. Jassi is offered a ride to a Gurudwara by Tony.
C. Tony is considered an antagonist to Jassi.
D. All of the above",All of the above
"Which of the following statements are true regarding the Sandhu household and the relationship between Jassi and Billu?
Options:
A. a) The Sandhu household is known for its hospitality.
B. b) Jassi and Billu met at a temple.
C. c) The Sandhu household allows killings during guest visits.
D. d) Billu invited Jassi to his house.","a) The Sandhu household is known for its hospitality., b) Jassi and Billu met at a temple., d) Billu invited Jassi to his house."
"What can be inferred about the relationship between Jassi and the Sandhu household?
Options:
A. Jassi was a guest in the Sandhu household.
B. The Sandhu household forbids any killings during the guest's stay.
C. Jassi pretended to be injured to remain in the Sandhu household.
D. The Sandhu household has a reputation for hospitality.",All of the above
"What is true about the relationships within the Sandhu household and its members?
Options:
A. The Sandhu household upholds a strong tradition of hospitality.
B. Jassi and Billu share a friendly relationship.
C. The Sandhu household forbids any violence during guest visits.
D. Jassi and Billu have a rivalry.","The Sandhu household upholds a strong tradition of hospitality, The Sandhu household forbids any violence during guest visits, Jassi and Billu have a rivalry."
"What can be inferred about the relationships within the Sandhu household and its members?
Options:
A. The Sandhu household values hospitality highly.
B. Jassi and Sukh have an unknown but significant connection.
C. The Sandhu household forbids any killings during guest visits.
D. All of the above",All of the above
"What significant events or themes are associated with the Sandhu household and Jassi during the engagement ceremony?
Options:
A. The Sandhu household is known for its hospitality and forbids any killings.
B. Jassi tries to escape from the engagement ceremony.
C. The engagement ceremony is a festive occasion in the Sandhu household.
D. The Sandhu household has a strict code of conduct during ceremonies.",All of the above
"In the context of the movie, what roles do the inspector and Tony play in relation to Jassi?
Options:
A. The inspector betrays Jassi by leading him to danger.
B. Tony is an antagonist who attempts to harm Jassi.
C. Jassi is a guardian figure for both the inspector and Tony.
D. Tony offers Jassi a ride, which is a deceptive act.","The inspector betrays Jassi by leading him to danger. Tony is an antagonist who attempts to harm Jassi. Tony offers Jassi a ride, which is a deceptive act."
"What can be inferred about the relationships between the inspector, Jassi, and Billu in the story?
Options:
A. The inspector deceives Jassi by leading him to a dilapidated mansion.
B. Jassi and Billu are acquaintances who meet at a temple.
C. Billu offers Jassi hospitality by inviting him to his house.
D. All of the above",All of the above
"What can be inferred about Jassi's experience in the Sandhu household based on the inspector's actions?
Options:
A. The inspector betrayed Jassi's trust.
B. Jassi pretended to be injured to avoid leaving.
C. The Sandhu household was welcoming to Jassi.
D. Jassi was led to a dangerous location by the inspector.",The inspector betrayed Jassi's trust.
"What dynamics exist between the characters in the story involving the inspector, Jassi, and Billu?
Options:
A. The inspector betrays Jassi by leading him to a dangerous place.
B. Jassi and Billu share a rivalry.
C. The inspector is a guardian figure to Jassi.
D. Billu and Jassi have an enemy relationship.","The inspector betrays Jassi by leading him to a dangerous place, Jassi and Billu share a rivalry, Billu and Jassi have an enemy relationship."
"What can be inferred about the relationships between the inspector, Jassi, and Sukh?
Options:
A. The inspector betrays Jassi by leading him to a dilapidated mansion.
B. Jassi and Sukh share a connection of some sort.
C. The inspector is a guardian figure to Jassi.
D. All of the above",All of the above
"What events are connected to Jassi's situation during the engagement ceremony?
Options:
A. The inspector's betrayal by leading Jassi to a mansion
B. Jassi's attempt to escape from the engagement ceremony
C. The inspector's role as a guardian
D. The engagement ceremony itself",All of the above
"Which characters are involved in the conflict in the story?
Options:
A. Billu
B. Jassi
C. Tony
D. All of the above",All of the above
"What are the key interactions between Jassi and Billu in their story?
Options:
A. Jassi confronts Billu and his men.
B. Billu invites Jassi to his house.
C. Jassi and Billu meet at a temple.
D. Billu is a victim in the confrontation.","a) Jassi confronts Billu and his men., b) Billu invites Jassi to his house., c) Jassi and Billu meet at a temple."
"What roles do Jassi and Billu play in the context of the Sandhu household?
Options:
A. Jassi is a victim in the confrontation with Billu.
B. Billu is a persecutor in the conflict with Jassi.
C. Jassi is a guest in the Sandhu household.
D. Billu is a member of the Sandhu household.",Jassi is a victim in the confrontation with Billu. and Jassi is a guest in the Sandhu household.
"What can be inferred about the relationship between Jassi and Billu in the context of their rivalry?
Options:
A. Jassi is a victim in the confrontation with Billu.
B. Billu is a persecutor in their rivalry.
C. Jassi and Billu have a long-standing enemy relationship.
D. Jassi has successfully escaped from Billu.",Jassi is a victim in the confrontation with Billu. Billu is a persecutor in their rivalry. Jassi and Billu have a long-standing enemy relationship.
"What can be inferred about the relationships between Jassi, Billu, and Sukh in the context of the confrontation?
Options:
A. Jassi is a victim in the confrontation with Billu.
B. Billu is a persecutor in the confrontation with Jassi.
C. Jassi has a connection with Sukh.
D. Sukh is an ally of Billu.","Jassi is a victim in the confrontation with Billu, Billu is a persecutor in the confrontation with Jassi, Jassi has a connection with Sukh."
"What events involve Jassi's interactions with Billu and the engagement ceremony?
Options:
A. Jassi tries to escape from the engagement ceremony
B. Billu confronts Jassi during the ceremony
C. Jassi eventually lands back into a confrontation with Billu
D. All of the above",All of the above
"What is the relationship between Jassi, Tony, and the Sandhu household?
Options:
A. Jassi lives in the Sandhu household.
B. Tony offers Jassi a ride to the Gurudwara.
C. Tony is an antagonist to Jassi.
D. All of the above",All of the above
"What can be inferred about the relationships between Jassi, Billu, and the Sandhu household?
Options:
A. Jassi resides in the Sandhu household.
B. Billu has invited Jassi to his house.
C. Jassi and Billu are acquaintances.
D. All of the above",All of the above
"What can be inferred about Jassi's situation in the Sandhu household?
Options:
A. Jassi is a guest in the Sandhu household.
B. Jassi is unaware of his surroundings.
C. Jassi pretends to be injured to avoid conflict.
D. Jassi has a hostile relationship with the household.","Jassi is a guest in the Sandhu household, Jassi pretends to be injured to avoid conflict, Jassi has a hostile relationship with the household."
"What can be inferred about the relationships between Jassi, Billu, and the Sandhu household?
Options:
A. Jassi lives in the Sandhu household
B. Billu is a friend of Jassi
C. Jassi and Billu have a rivalry
D. The Sandhu household is where Jassi resides","Jassi lives in the Sandhu household, Jassi and Billu have a rivalry, The Sandhu household is where Jassi resides"
"What can be inferred about Jassi's relationship with the Sandhu household and Sukh?
Options:
A. Jassi resides in the Sandhu household
B. Sukh is also connected to the Sandhu household
C. Jassi has a connection with Sukh
D. All of the above",All of the above
"What events are associated with Jassi in relation to the Sandhu household?
Options:
A. Jassi is located in the Sandhu household
B. Jassi tries to escape from the engagement ceremony
C. Jassi is planning a celebration at the Sandhu household
D. Jassi is involved in the engagement ceremony","Jassi is located in the Sandhu household, Jassi tries to escape from the engagement ceremony"
"What is true about the relationship between Jassi and Tony in the context of the land papers?
Options:
A. Jassi possesses the land papers.
B. Tony is an antagonist to Jassi.
C. Jassi and Tony have a friendly relationship.
D. Tony offers Jassi a ride to a Gurudwara.","Jassi possesses the land papers, Tony is an antagonist to Jassi, Tony offers Jassi a ride to a Gurudwara."
"What is true about the relationship between Jassi, Billu, and the land papers?
Options:
A. Jassi possesses land papers.
B. Billu is an acquaintance of Jassi.
C. Billu invited Jassi to his house.
D. All of the above",All of the above
"What can be inferred about Jassi's situation in relation to the Sandhu household and the land papers?
Options:
A. Jassi possesses land papers.
B. Jassi is staying as a guest in the Sandhu household.
C. Jassi feigns injury to avoid conflict.
D. All of the above",All of the above
"What can be inferred about the relationships involving Jassi, Billu, and the land papers?
Options:
A. Jassi possesses the land papers.
B. Billu has a rivalry with Jassi.
C. Jassi and Billu are friends.
D. Jassi has a possession relationship with the land papers.",Jassi possesses the land papers.
"What can be inferred about the relationship between Jassi, Sukh, and the land papers?
Options:
A. Jassi possesses the land papers
B. Jassi and Sukh have a connection
C. Sukh is involved in the land papers
D. All of the above","Jassi possesses the land papers, Jassi and Sukh have a connection"
"What is true about Jassi's situation regarding the land papers and the engagement ceremony?
Options:
A. Jassi possesses land papers.
B. Jassi is trying to escape from the engagement ceremony.
C. The land papers are related to the engagement ceremony.
D. Jassi is involved in a possession relationship.",a) Jassi possesses land papers. and b) Jassi is trying to escape from the engagement ceremony.
"What can be inferred about Jassi's experience in the Sandhu household?
Options:
A. Jassi feigned injury to avoid conflict.
B. The Sandhu household is known for its strict hospitality rules.
C. Jassi was treated as a guest in the Sandhu household.
D. Jassi had a warm welcome in the Sandhu household.",a) Jassi feigned injury to avoid conflict. and b) The Sandhu household is known for its strict hospitality rules.
"What can be inferred about Jassi's situation in the Sandhu household?
Options:
A. Jassi is pretending to be injured.
B. Jassi is a guest in the Sandhu household.
C. The Sandhu household has a hostile environment.
D. Jassi is a permanent resident of the Sandhu household.","Jassi is pretending to be injured, Jassi is a guest in the Sandhu household, The Sandhu household has a hostile environment."
"Which characters are involved in the relationships described in the story?
Options:
A. Billu
B. Sukh
C. Jassi
D. All of the above",All of the above
"Which of the following statements are true regarding Sukh's relationship with Billu and the engagement ceremony?
Options:
A. a) Sukh confides in his friend Tej about Jassi's lies.
B. b) Billu is involved in the engagement ceremony.
C. c) Sukh has a participant relationship in the engagement ceremony.
D. d) Sukh and Billu are allies during the events of the engagement ceremony.","a) Sukh confides in his friend Tej about Jassi's lies., b) Billu is involved in the engagement ceremony., c) Sukh has a participant relationship in the engagement ceremony."
"Which of the following statements about the relationships between Bobby, Sukh, and Jassi is true?
Options:
A. Sukh and Bobby are friends.
B. Jassi was invited to Sukh's house by Bobby.
C. Sukh recognizes Jassi.
D. Bobby and Jassi have a friendship relationship.","Sukh and Bobby are friends., Sukh recognizes Jassi."
"Which of the following statements is true regarding Sukh and Bobby's relationship and the engagement ceremony?
Options:
A. a) Sukh and Bobby are friends.
B. b) Bobby is participating in the engagement ceremony.
C. c) Sukh participates in the engagement ceremony.
D. d) Both Sukh and Bobby have a friendship relationship.",a) Sukh and Bobby are friends. and c) Sukh participates in the engagement ceremony.
"What is the nature of the relationship between Jassi and Sukh in the context of their interactions?
Options:
A. Jassi is a friend of Sukh
B. Sukh invited Jassi to his house
C. Jassi and Sukh have an unknown connection
D. Jassi is a guest at Sukh's house",All of the above
"What is the connection between Jassi, Sukh, and the engagement ceremony?
Options:
A. Jassi and Sukh have some connection
B. Sukh participates in the engagement ceremony
C. Jassi is a guest at the engagement ceremony
D. All of the above",All of the above
