Question,Answer
"In the movie ""Rascals"" released in 2011, does Chetan Chauhan successfully rob Anthony Gonsalves without any complications?",NO
"In the movie ""Rascals"" released in 2011, does Chetan Chauhan assist Bhagat in covering up the situation with Anthony Gonsalves?",YES
"In the movie ""Rascals"" released in 2011, does Bhagat Bhosle successfully rob Dolly?",NO
"In the movie ""Rascals"" released in 2011, does Bhagat Bhosle brag about meeting Dolly for 4 nights and 3 days?",YES
"In the movie ""Rascals"" released in 2011, did Bhagat Bhosle successfully rob Chetan Chauhan on their flight to Bangkok?",NO
"In the movie ""Rascals"" released in 2011, did Chetan Chauhan successfully rob Bhagat Bhosle on their flight to Bangkok?",YES
"In the movie ""Rascals"" released in 2011, does Chetan truly help the needy as he claims?",NO
"In the movie ""Rascals"" released in 2011, does Chetan lie to win over Khushi?",YES
"Does Bhagat Bhosle successfully win over Khushi in the movie ""Rascals"" released in 2011?",NO
"Is Bhagat Bhosle posing as a blind man in the movie ""Rascals"" released in 2011?",YES
"In the movie ""Rascals"" released in 2011, did Bhagat Bhosle and Khushi end up successfully together?",NO
"In the movie ""Rascals"" released in 2011, do Chetan and Bhagat play foul tricks to get Khushi?",YES
"Does Bhagat Bhosle return the stolen items to Anthony Gonsalves in the movie ""Rascals"" released in 2011?",NO
"Is the plot of ""Rascals"" (2011) centered around Bhagat Bhosle robbing Anthony Gonsalves?",YES
Did Bhagat Bhosle actually have his eyesight restored in the movie Rascals released in 2011?,NO
Is Khushi involved in Bhagat Bhosle's motorbike accident in the movie Rascals released in 2011?,YES
"In the movie ""Rascals"" released in 2011, do Chetan and Father Pascal become friends during their fight?",NO
"In the movie ""Rascals"" released in 2011, do Chetan and Father Pascal accidentally hit Father Pascal while fighting?",YES
"In the movie ""Rascals"" released in 2011, does Khushi end up marrying both Bhagat and Chetan?",NO
"In the movie ""Rascals"" released in 2011, does Khushi express her love for Anthony?",YES
"In the movie ""Rascals"" released in 2011, do bhagat and Father Pascal team up to solve a problem together?",NO
"In the movie ""Rascals"" released in 2011, do bhagat and Father Pascal engage in a fight that accidentally involves Father Pascal getting hit?",YES
"In the movie ""Rascals"" released in 2011, does Chetan find Khushi after they wake up?",NO
"In the movie ""Rascals"" released in 2011, do Chetan and Khushi have a significant relationship throughout the film?",YES
"Did Bhagat and Khushi go to a church sober in the movie ""Rascals"" released in 2011?",NO
"Did Bhagat claim that the shock from the accident repaired his eyesight in the movie ""Rascals"" released in 2011?",YES
"In the movie ""Rascals"" released in 2011, do Anthony and the cons (Bhagat and Chetan) negotiate for a different amount of money than what they stole from him?",NO
"In the movie ""Rascals"" released in 2011, do Anthony and the cons (Bhagat and Chetan) have a deadline of 24 hours to return the stolen money?",YES
"In the movie ""Rascals"" released in 2011, do Bhagat and Chetan successfully avoid a confrontation with the real robbers at the bank in Bangkok?",NO
"In the movie ""Rascals"" released in 2011, do Bhagat and Chetan end up fighting the real robbers at the bank in Bangkok?",YES
"Did the cons in the movie ""Rascals"" from 2011 successfully steal money without dressing as Santa?",NO
"Did Anthony give Khushi to the cons in the movie ""Rascals"" from 2011?",YES
"In the movie ""Rascals"" released in 2011, did Bhagat successfully con Anthony?",NO
"In the movie ""Rascals"" released in 2011, did Anthony con Bhagat by stealing money from his own home?",YES
"In the movie ""Rascals"" released in 2011, did Chetan successfully con Anthony without any complications?",NO
"In the movie ""Rascals"" released in 2011, did Anthony con Chetan by stealing from his own home to give him the ransom money?",YES
