node_1,node_2,edge,chunk_id,count
movie,summary,A MOVIE is represented through its SUMMARY.,1ca4d2e4d7034b86aeea7afdab8cb530,4
donny berger,mary mcgarricle,"In 1984 Massachusetts, Donny Berger flirts with his middle-school teacher, Mary McGarricle, who seems repulsed by his actions and gives him a month's detention. However, in detention, Mary seduces Donny and they begin a sexual relationship, which is discovered during an auditorium speech. Subsequently, Mary is sentenced to 30 years in prison for statutory rape while the scandal makes Donny famous.",f93feeda25614796b2816cfdaa3581b6,4
donny berger,famousness,The scandal involving Mary McGarricle makes Donny Berger famous.,f93feeda25614796b2816cfdaa3581b6,4
mary mcgarricle,statutory rape,"In 1984 Massachusetts, teacher Mary McGarricle is sentenced to 30 years in prison for statutory rape.",f93feeda25614796b2816cfdaa3581b6,4
donny berger,tax debts,"In the film, Donny Berger has tax debts and tries to earn money by having his televised reunion with his adult son Todd Peterson/Han Solo Berger.",f93feeda25614796b2816cfdaa3581b6,4
todd peterson/han solo berger,donny berger,"In the film, Todd Peterson/Han Solo Berger is born as a result of the illicit relationship between his father Donny Berger and teacher Mary McGarricle.",f93feeda25614796b2816cfdaa3581b6,4
todd peterson/han solo berger,donny berger (televised reunion),"In the film, Donny Berger tries to rekindle his relationship with his adult son Todd Peterson/Han Solo Berger in hopes that their televised reunion will earn him enough money to avoid going to prison for his tax debts.",f93feeda25614796b2816cfdaa3581b6,4
todd peterson/han solo berger,han solo berger,"In the film, Todd Peterson is also known by his stage name Han Solo Berger.",f93feeda25614796b2816cfdaa3581b6,4
that's my boy,columbia pictures,"That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures.",f93feeda25614796b2816cfdaa3581b6,4
happy madison productions,that's my boy,"Produced by Sandler's Happy Madison Productions in association with Relativity Media, That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures.",f93feeda25614796b2816cfdaa3581b6,4
relativity media,that's my boy,"Produced by Sandler's Happy Madison Productions in association with Relativity Media, That's My Boy was released in the United States on June 15, 2012, by Columbia Pictures.",f93feeda25614796b2816cfdaa3581b6,4
columbia pictures,that's my boy (commercial failure),"That's My Boy was a commercial failure, grossing only $57 million against a $57–70 million budget.",f93feeda25614796b2816cfdaa3581b6,4
mary,statutory rape,sentenced to 30 years in prison for,73ea5fa843c843b48cff087587688b57,4
donny,famous,the scandal makes,73ea5fa843c843b48cff087587688b57,4
mary,pregnant,after Mary is also revealed to be,73ea5fa843c843b48cff087587688b57,4
donny's abusive father,custody of their unborn son,until Donny turns 18 to assume full custody,73ea5fa843c843b48cff087587688b57,4
