Question,Answer
"Did Salman Khan and Piya Goyal Kapoor stay married in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Did Salman Khan play the role of Suhaan Kapoor in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Preity Zinta play a single role in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Did Preity Zinta play the role of Piya Goyal Kapoor in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Akshay Kumar play the role of a villain in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Did Akshay Kumar have a crush on Piya Goyal Kapoor in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Anupam Kher play a single role in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Is Bonney Kapoor a character in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Nawwab Shah play the role of Vishal Goyal in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Is Vishal Goyal Piya's brother in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Soni Razdan play a role in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Is Mrs. Sushma Goyal a character in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Jawed Sheikh play the role of Samrat Goyal in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Was Samrat Goyal a character portrayed by Jawed Sheikh in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Rajesh Balwani play a different character in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Is Daboo Goyal, Piya's cousin brother, a character in the movie ""Jaan-E-Mann"" released in 2006?",YES
"Did Aman Verma play the role of Zubin Hornibhoy in the movie ""Jaan-E-Mann"" released in 2006?",NO
"Is Zubin Hornibhoy a character in the movie ""Jaan-E-Mann"" released in 2006?",YES
