Question & Options,Correct Answer
"Which character is involved in a relationship with another con artist and car thief in the plot about two individuals who accidentally kill someone's brother?
Options:
A. Sakshi
B. Vicky
C. Raj
D. Simran",Vicky
"Which character decides to leave their previous life and start a new one together in the movie?
Options:
A. Vicky
B. Sakshi
C. The main character
D. The car thief",Vicky
"Who is involved in the decision to leave their old life and start a new one, which gets postponed due to certain circumstances?
Options:
A. Sakshi
B. Vicky
C. Rohit
D. Nisha",Vicky
"Who ultimately reunites after a series of circumstances in their love story?
Options:
A. Sakshi
B. Neha
C. Vicky
D. Anjali",Vicky
"Who is involved in a relationship with Bhanwarlal after they separate for a while?
Options:
A. Sakshi
B. Vicky
C. Bhanwarlal's brother
D. Bhanwarlal's family",Vicky
"Which character is involved in a relationship with another con artist and car thief after a period of separation?
Options:
A. Vicky
B. Sakshi
C. Raj
D. Neha",Sakshi
"Which character decides to leave their previous life and start a new one together with another con artist?
Options:
A. Vicky
B. Sakshi
C. Raj
D. Simran",Sakshi
"Which character is involved in a relationship with another con artist and faces challenges in leaving their old life behind?
Options:
A. Sakshi
B. Vicky
C. Raj
D. Simran",Sakshi
"Which character reunites with Vicky after the truth is revealed in the movie?
Options:
A. Neha
B. Sakshi
C. Riya
D. Pooja",Sakshi
"In the context of mistaken identity in Manali, who is the character that is mistaken for Rohit?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. None of the above",Vicky
"Which character decides to leave their previous life and start a new one together with Sakshi?
Options:
A. Rohit
B. Vicky
C. Raj
D. Amit",Rohit
"Who is involved in a mistaken identity scenario that leads to confusion in Manali?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. None of the above",Rohit
"Who falls in love with Sakshi and later reunites with her after the truth is revealed?
Options:
A. Rohit
B. Vicky
C. Neha
D. Anjali",Vicky
"Who is the character that realizes he is responsible for Rohit's death in the movie?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. Anjali",Vicky
"Which character is involved in the realization of responsibility for Rohit's death?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. Rohit's friend",Vicky
"Who is responsible for Rohit's death in the film?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. Raj",Vicky
"Who does Vicky fall in love with after realizing his responsibility for Rohit's death?
Options:
A. Rohit
B. Vicky
C. Sakshi
D. Neha",Sakshi
"Who marries Vicky but later realizes that he is dead in the movie 'Yeh Raaste Hain Pyaar Ke'?
Options:
A. Neha
B. Sakshi
C. Riya
D. Priya",Neha
"Who is the character that Neha ultimately accepts the reality of being dead after marrying?
Options:
A. Neha
B. Vicky
C. Sakshi
D. Rohit",Vicky
"Who realizes that her husband is dead and accepts this reality in the movie?
Options:
A. Neha
B. Vicky
C. Sakshi
D. Rohit",Neha
"Who does Vicky fall in love with after marrying Neha?
Options:
A. Neha
B. Sakshi
C. Anjali
D. Pooja",Sakshi
"Who is involved in a mistaken identity situation that leads to confusion with Rohit in Manali?
Options:
A. Neha
B. Rohit
C. Vicky
D. Sahil",Vicky
"Who is responsible for the realization that led to the understanding of Rohit's death?
Options:
A. Neha
B. Rohit
C. Vicky
D. Amit",Vicky
"Who has loved Neha since childhood and is implied to start a new life with her?
Options:
A. Sagar
B. Neha
C. Rohit
D. Vikram",Sagar
"Who did Neha marry but later realized was dead?
Options:
A. Sagar
B. Neha
C. Vicky
D. Rahul",Vicky
