Question & Options,Correct Answer
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements accurately describe the relationship between Sivaji Rao and Balraj Chauhan?
Options:
A. A) Sivaji Rao challenges Balraj Chauhan's leadership.
B. B) Balraj Chauhan supports Sivaji Rao's actions during the riots.
C. C) Sivaji Rao temporarily becomes Chief Minister after exposing Chauhan's indifference.
D. D) Balraj Chauhan is portrayed as a hero throughout the movie.","A) Sivaji Rao challenges Balraj Chauhan's leadership., C) Sivaji Rao temporarily becomes Chief Minister after exposing Chauhan's indifference."
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements are true regarding the relationship between Sivaji Rao and Topi?
Options:
A. A) Sivaji Rao and Topi share a strong friendship.
B. B) Topi is responsible for saving a college student's life.
C. C) Both characters work together for QTV.
D. D) Sivaji Rao's promotion is linked to his actions during riots.","A, C, D"
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements about the collaboration between Sivaji Rao and Bansal are true?
Options:
A. A. Bansal helps Sivaji Rao take over as Chief Minister.
B. B. Bansal is a rival of Sivaji Rao throughout the movie.
C. C. Bansal assists Sivaji in managing the administrative duties of Maharashtra.
D. D. Sivaji Rao and Bansal work together to address the state's issues.","A, C, D"
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements are true regarding Balraj Chauhan and the Maharashtra Legislative Assembly?
Options:
A. A. Balraj Chauhan is the Chief Minister of Maharashtra.
B. B. An ordinance is passed to allow Sivaji to permanently take over Chauhan's position.
C. C. The Maharashtra Legislative Assembly plays a significant role in the plot.
D. D. Chauhan temporarily loses his job to Sivaji as part of an ordinance.","A, C, D"
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements about Sivaji Rao's career are true?
Options:
A. A. Sivaji works as a television cameraman for QTV.
B. B. Sivaji is a famous actor before becoming a cameraman.
C. C. Sivaji is promoted to a senior presenter at QTV.
D. D. Sivaji initially works as a news anchor.","A, C"
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements accurately describe the relationship between Sivaji and Chauhan?
Options:
A. Sivaji is a corrupt politician.
B. Chauhan represents corruption that Sivaji fights against.
C. Sivaji and Chauhan are allies in the political landscape.
D. The conflict between Sivaji and Chauhan stems from Chauhan's corrupt practices.",Chauhan represents corruption that Sivaji fights against. The conflict between Sivaji and Chauhan stems from Chauhan's corrupt practices.
"In the movie 'Nayak: The Real Hero' (2001), which characters provide assistance in handling government issues and preparing for the Civil Services Examination?
Options:
A. Sivaji
B. Bansal
C. Rani
D. The Chief Minister","Sivaji, Bansal"
"In the movie 'Nayak: The Real Hero' (2001), which of the following statements are true regarding the relationship between Sivaji and Manjari?
Options:
A. A. Sivaji and Manjari have a romantic relationship.
B. B. Their relationship is supported by societal norms.
C. C. Sivaji faces challenges in his relationship with Manjari due to societal expectations.
D. D. Manjari is a politician in the movie.","A, C"
"In the movie 'Nayak: The Real Hero' (2001), what are the reasons for the opposition to the relationship between Manjari's father and Sivaji?
Options:
A. Sivaji's lack of government employment at the time
B. Manjari's father's disapproval of Sivaji's lifestyle
C. Cultural differences between Sivaji and Manjari's family
D. Sivaji's previous romantic involvement with another character","Sivaji's lack of government employment at the time, Manjari's father's disapproval of Sivaji's lifestyle"
"In the movie 'Nayak: The Real Hero' (2001), which of the following factors contributed to Sivaji's popularity and support from the people, ultimately leading to his election as Chief Minister?
Options:
A. His charismatic leadership style
B. The support of powerful political allies
C. His commitment to social justice and reform
D. A strong media campaign","His charismatic leadership style, His commitment to social justice and reform"
