Question,Answer
"[""In the 2010 movie 'The Last Airbender', is Aang incapable of manipulating all four elements of air, water, earth, and fire?""]",no
"[""In 'The Last Airbender' released in 2010, is Aang the Avatar, capable of manipulating all four elements of air, water, earth, and fire?""]",yes
"[""In the 2010 movie 'The Last Airbender', did Aang's guardian, Monk Gyatso, survive the attack by the Fire Nation?""]",no
"[""In 'The Last Airbender' released in 2010, was Aang's guardian Monk Gyatso wiped out by the Fire Nation along with the other Air Nomads?""]",yes
"""In the 2010 movie 'The Last Airbender', does Aang encounter a Unicorn Spirit in the spirit world?""",no
"""In 'The Last Airbender' released in 2010, does Aang encounter a Dragon Spirit in the spirit world?""",yes
"""In the 2010 film 'The Last Airbender', did Aang decide to abandon the Southern Water Tribe village without any help?""",no
"""In 'The Last Airbender' released in 2010, did Aang surrender himself to save the Southern Water Tribe village and was accompanied by Sokka and Katara in his journey?""",yes
"""In the 2010 movie 'The Last Airbender', did Katara and Sokka have no relation to each other?""",no
"""In 'The Last Airbender' released in 2010, were Katara and Sokka siblings who accompanied Aang on his journey?""",yes
"[""Did the Fire Nation spare the other Air Nomads in the 2010 movie 'The Last Airbender'?""]",no
"[""In the 2010 movie 'The Last Airbender', did the Fire Nation wipe out the other Air Nomads along with Monk Gyatso?""]",yes
"[""In the 2010 movie 'The Last Airbender', does Aang defeat Katara in battle and then get captured by her?""]",no
"[""In 'The Last Airbender' released in 2010, does Katara get defeated in battle and then Aang gets captured?""]",yes
"[""In the 2010 movie 'The Last Airbender', does Aang avoid fighting Zuko?""]",no
"[""In 'The Last Airbender' released in 2010, does Aang battle Zuko until Katara freezes Zuko in ice?""]",yes
"[""In the 2010 movie 'The Last Airbender', does Zuko freeze Katara in ice?""]",no
"[""In 'The Last Airbender' released in 2010, does Katara freeze Zuko in ice?""]",yes
"[""In the 2010 movie 'The Last Airbender', did Iroh and Zhao go to a shopping mall instead of a sacred cave?""]",no
"[""In 'The Last Airbender' released in 2010, did Zhao capture the Moon Spirit after making his way to a sacred cave with Iroh?""]",yes
"[""In the 2010 movie 'The Last Airbender', did Zhao fail to capture the Moon Spirit?""]",no
"[""In 'The Last Airbender' released in 2010, did Zhao capture the Moon Spirit to strip all the waterbenders of their abilities?""]",yes
"""In the 2010 film 'The Last Airbender', does the moon spirit take the life of Princess Yue?""",no
"""In 'The Last Airbender' released in 2010, does Princess Yue give her life to revive the Moon Spirit?""",yes
"[""In the 2010 movie 'The Last Airbender', does Iroh support Zhao's decision to kill the Moon Spirit?""]",no
"[""In 'The Last Airbender' released in 2010, does Iroh frighten Zhao and his entourage with his mastery of firebending after Zhao kills the Moon Spirit?""]",yes
"[""In the 2010 movie 'The Last Airbender', did Fire Lord Ozai assign his daughter Princess Azula with the task of helping the Avatar master earth and fire?""]",no
"[""In 'The Last Airbender' released in 2010, was Princess Azula tasked by her father, Fire Lord Ozai, to prevent the Avatar from mastering earth and fire?""]",yes
"[""In the 2010 movie 'The Last Airbender', did Aang fail to enter the Avatar State and raise the ocean to drive the Fire Nation back?""]",no
"[""In the 2010 movie 'The Last Airbender', does Aang enter the Avatar State and use his power to raise the ocean into a gigantic wall to repel the Fire Nation?""]",yes
