Question & Options,Correct Answer
"What are the relationships among J.J. Oberoi, Monty, and Ravi in the context of their story?
Options:
A. J.J. Oberoi is the adoptive father of Monty.
B. Monty is the reincarnation of Ravi.
C. Ravi is a character associated with Monty.
D. All of the above",All of the above
"What are the relationships among J.J. Oberoi, Monty, and Ravi in the context of their story?
Options:
A. J.J. Oberoi is the adoptive father of Monty.
B. Monty is the reincarnation of Ravi.
C. Ravi is a character associated with Monty's past.
D. All of the above",All of the above
"What relationships exist between J.J. Oberoi, Monty, and Princess Kamini in the movie *Karzzzz*?
Options:
A. J.J. Oberoi is the adoptive father of Monty.
B. Monty reenacts the accident to convince Princess Kamini.
C. Princess Kamini is a key figure in Monty's past.
D. All of the above",All of the above
"Which of the following statements are true regarding the relationships among J.J. Oberoi, Monty, and Princess Kamini?
Options:
A. a) J.J. Oberoi is the adoptive father of Monty.
B. b) Monty helps bring Princess Kamini to justice.
C. c) Princess Kamini is a character in the story.
D. d) Monty and J.J. Oberoi are enemies.",a) J.J. Oberoi is the adoptive father of Monty. and b) Monty helps bring Princess Kamini to justice.
"What is true about the relationships among J.J. Oberoi, Monty, and Princess Kamini in the movie 'Karzzzz'?
Options:
A. a) J.J. Oberoi is the adoptive father of Monty.
B. b) Monty is involved in a dramatic confrontation with Princess Kamini.
C. c) Princess Kamini is connected to Monty's past.
D. d) All of the above",d) All of the above
"Which statements are true regarding the relationships among Tina, Monty, and Ravi?
Options:
A. Monty has romantic feelings for Tina.
B. Monty is the reincarnation of Ravi.
C. Tina is aware of Monty's feelings.
D. Ravi has a significant influence on Monty's actions.",Monty has romantic feelings for Tina. and Monty is the reincarnation of Ravi.
"Which statements are true regarding the relationships among Tina, Monty, and Ravi?
Options:
A. Monty has romantic feelings for Tina.
B. Monty is the reincarnation of Ravi.
C. Tina is unaware of Monty's feelings.
D. Ravi has a significant influence on Monty's actions.",Monty has romantic feelings for Tina. and Monty is the reincarnation of Ravi.
"Which of the following statements are true regarding the relationships between Monty, Tina, and Princess Kamini?
Options:
A. a) Monty has romantic feelings for Tina.
B. b) Monty reenacts an accident to manipulate Princess Kamini.
C. c) Princess Kamini is unaware of Monty's feelings for Tina.
D. d) Monty is trying to make Princess Kamini believe he remembers the past.",a) Monty has romantic feelings for Tina. and d) Monty is trying to make Princess Kamini believe he remembers the past.
"Which characters are involved in the storyline of Monty's romantic feelings and bringing Princess Kamini to justice?
Options:
A. Tina
B. Monty
C. Princess Kamini
D. Kabira","Tina, Monty, Princess Kamini"
"Which characters are involved in the romantic and dramatic events of the story?
Options:
A. Tina
B. Monty
C. Princess Kamini
D. All of the above",All of the above
