node_1,node_2,edge,chunk_id,count
bomb voyage,movie's plot,Bomb Voyage robs a building that is being discussed in the Movie's Plot,0309f8f35f44490bb231abf78851a2a5,4
buddy pine,bomb voyage,"Bomb Voyage clips a bomb onto Buddy Pine's cape, which results in collateral damage",0309f8f35f44490bb231abf78851a2a5,4
bob,mirage,Mirage secretly offers Bob a mission to subdue a giant robot on Nomanisan island.,39bc8f9f8c5a41bf9c8f977c0afc4c3b,4
mirage,syndrome,"Mirage is working for Syndrome, now calling himself 'Syndrome' after being embittered by Bob's rejection.",39bc8f9f8c5a41bf9c8f977c0afc4c3b,4
buddy,syndrome,Buddy is now calling himself 'Syndrome'.,39bc8f9f8c5a41bf9c8f977c0afc4c3b,4
omnidroid,nomanisan island,The giant 'Omnidroid' robot is loose on Nomanisan island.,39bc8f9f8c5a41bf9c8f977c0afc4c3b,4
syndrome,weapons,Syndrome has become wealthy by inventing weapons that mimic superpowers.,39bc8f9f8c5a41bf9c8f977c0afc4c3b,4
jack-jack,syndrome,"Syndrome abducts Jack-Jack to raise as a sidekick, but Jack-Jack's superpowers manifest and he escapes Syndrome's hold.",c7b41b66fc71492d9c25a9ad03b5f74e,4
helen,bob,Helen rescues the falling baby (Jack-Jack) while Bob throws his car at Syndrome's plane to pull him into one of its engines.,c7b41b66fc71492d9c25a9ad03b5f74e,4
syndrome,omnidroid,"Syndrome follows the Omnidroid to Metroville, but the Omnidroid disarms Syndrome and subsequently knocks him out.",c7b41b66fc71492d9c25a9ad03b5f74e,4
parrs,lucius,"The Parrs and Lucius fight the Omnidroid; Helen and the kids retrieve the remote control, allowing Bob to destroy the robot's power source.",c7b41b66fc71492d9c25a9ad03b5f74e,4
parrs,underminer,"The Parrs witness the arrival of supervillain the Underminer and don their masks and suits, ready to face the new threat.",c7b41b66fc71492d9c25a9ad03b5f74e,4
