node_1,node_2,edge,chunk_id,count
bluesoundtrack,a.r. rahman,The BlueSoundtrack album is composed by Indian composer and singer A. R. Rahman for the 2009 Tamil-language film Blue.,b3d1aff0bb824d9e93d38a649cd03905,4
bluesoundtrack,2009,The BlueSoundtrack album was released in the year 2009 for the Tamil-language film Blue directed by Anthony D'Souza.,b3d1aff0bb824d9e93d38a649cd03905,4
bluesoundtrack,50:22,The total duration of all the songs in the BlueSoundtrack album is 50 minutes and 22 seconds.,b3d1aff0bb824d9e93d38a649cd03905,4
t-series,bluesoundtrack,"The BlueSoundtrack album is produced and distributed by T-Series, an Indian film production and distribution company.",b3d1aff0bb824d9e93d38a649cd03905,4
panchathan record inn,bluesoundtrack,"Some of the songs in the BlueSoundtrack album were recorded at Panchathan Record Inn, a recording studio in Chennai, India.",b3d1aff0bb824d9e93d38a649cd03905,4
a.m. studios,bluesoundtrack,"Some of the songs in the BlueSoundtrack album were recorded at A. M. Studios, a recording studio owned by A. R. Rahman.",b3d1aff0bb824d9e93d38a649cd03905,4
bluesoundtrack,feature film soundtrack,The BlueSoundtrack album is the soundtrack for the Tamil-language film Blue directed by Anthony D'Souza.,b3d1aff0bb824d9e93d38a649cd03905,4
couples retreat(2009),music,The movie Couples Retreat(2009) has music composed by A. R. Rahman.,9fc5e8cd9c63457c8155083802925a10,4
a. r. rahman,music,The Indian composer A. R. Rahman is known for composing music.,9fc5e8cd9c63457c8155083802925a10,4
couples retreat(2009),hungama digital media entertainment pvt. ltd.,The promotion and digital distribution of the music from Couples Retreat(2009) was handled by Hungama Digital Media Entertainment Pvt. Ltd.,9fc5e8cd9c63457c8155083802925a10,4
kylie minogue,chiggy wiggy,Pop singer Kylie Minogue lent her voice to the song 'Chiggy Wiggy' from Couples Retreat(2009).,9fc5e8cd9c63457c8155083802925a10,4
sonu nigam,chiggy wiggy,"Indian singer Sonu Nigam also sang in the song 'Chiggy Wiggy' from Couples Retreat(2009), alongside Kylie Minogue.",9fc5e8cd9c63457c8155083802925a10,4
sukhwinder singh,aaj dil gustakh hai,The song 'Aaj Dil Gustakh Hai' from Couples Retreat(2009) begins with Sukhwinder Singh's humming.,9fc5e8cd9c63457c8155083802925a10,4
shreya ghoshal,aaj dil gustakh hai,Singer Shreya Ghoshal handled a westernised rendition of 'Aaj Dil Gustakh Hai' from Couples Retreat(2009).,9fc5e8cd9c63457c8155083802925a10,4
benny dayal,aaj dil gustakh hai,Backing vocalists for 'Aaj Dil Gustakh Hai' from Couples Retreat(2009) included Benny Dayal.,9fc5e8cd9c63457c8155083802925a10,4
hentry kuruvila,aaj dil gustakh hai,Backing vocalists for 'Aaj Dil Gustakh Hai' from Couples Retreat(2009) also included Hentry Kuruvila.,9fc5e8cd9c63457c8155083802925a10,4
shi millhouse,aaj dil gustakh hai,Backing vocalists for 'Aaj Dil Gustakh Hai' from Couples Retreat(2009) also included Shi Millhouse.,9fc5e8cd9c63457c8155083802925a10,4
raven millhouse,aaj dil gustakh hai,Backing vocalists for 'Aaj Dil Gustakh Hai' from Couples Retreat(2009) also included Raven Millhouse.,9fc5e8cd9c63457c8155083802925a10,4
vijay prakash,fiqrana,"Singer Vijay Prakash sang 'Fiqrana' from Couples Retreat(2009), alongside Shreya Ghoshal.",9fc5e8cd9c63457c8155083802925a10,4
shreya ghoshal,fiqrana,"Singer Shreya Ghoshal also sang 'Fiqrana' from Couples Retreat(2009), alongside Vijay Prakash.",9fc5e8cd9c63457c8155083802925a10,4
rehnuma,rashid ali,Singer Rashid Ali sang 'Rehnuma' from Couples Retreat(2009).,9fc5e8cd9c63457c8155083802925a10,4
yeri,bhoola tujhe,The Yeri voice for the song 'Bhoola Tujhe' from Couples Retreat(2009) was by Kavita Belliga.,9fc5e8cd9c63457c8155083802925a10,4
udit narayan,yaar mila tha,"Indian singer Udit Narayan sang 'Yaar Mila Tha' from Couples Retreat(2009), alongside Madhushree.",9fc5e8cd9c63457c8155083802925a10,4
madhushree,yaar mila tha,"Singer Madhushree also sang 'Yaar Mila Tha' from Couples Retreat(2009), alongside Udit Narayan.",9fc5e8cd9c63457c8155083802925a10,4
blaaze,theme song for blue,Singer Blaaze lent his voice to the theme song for Blue from Couples Retreat(2009).,9fc5e8cd9c63457c8155083802925a10,4
blue theme,blue theme (remix by dj a-myth),The remixed version of the Blue Theme from the soundtrack is included in the album.,11709fdff5704d6fa560626c4a147adf,4
chiggy wiggy,chiggy wiggy (remix by dj a-myth),The remixed version of 'Chiggy Wiggy' from the soundtrack is included in the album.,11709fdff5704d6fa560626c4a147adf,4
fiqrana,fiqrana (remix by dj a-myth),The remixed version of 'Fiqrana' from the soundtrack is included in the album.,11709fdff5704d6fa560626c4a147adf,4
aaj dil gustakh hai,aaj dil gustakh hai (remix by dj a-myth),The remixed version of 'Aaj Dil Gustakh Hai' from the soundtrack is included in the album.,11709fdff5704d6fa560626c4a147adf,4
