Question & Options,Correct Answer
"What is the relationship between 'Fifty Shades Darker' and 'Fifty Shades Freed', both released in the context of 'Fifty Shades Freed' 2017 production?""]
Options:
A. [""They are both prequels.""]
B. [""They are both sequels.""]
C. [""One is a sequel, the other is a prequel.""]
D. [""They are unrelated movies.",They are both sequels.
"Who directed the 2017 movie 'Fifty Shades Freed' and its sequel 'Fifty Shades Darker', both of which were shot back-to-back in 2016?""]
Options:
A. [""Sam Taylor-Johnson""]
B. [""James Foley""]
C. [""Michael De Luca""]
D. [""Dana Brunetti",James Foley
"Who wrote the script for the 2017 movie 'Fifty Shades Freed'?""
Options:
A. [""E. L. James""]
B. [""Niall Leonard""]
C. [""Sam Taylor-Johnson""]
D. [""Michael De Luca",Niall Leonard
"Who returned to produce the 2017 movie 'Fifty Shades Freed' along with Dana Brunetti?""]
Options:
A. [""James Foley""]
B. [""E. L. James""]
C. [""Michael De Luca""]
D. [""Sam Taylor-Johnson",Michael De Luca
"Who was involved in the production of the 2017 movie 'Fifty Shades Freed' and also authored the book series it was based on?""]
Options:
A. [""Stephenie Meyer""]
B. [""J.K. Rowling""]
C. [""E. L. James""]
D. [""Nicholas Sparks",E. L. James
"Who reprised her role as Ana in the 2017 movie 'Fifty Shades Freed'?""]
Options:
A. [""Emma Watson""]
B. [""Jennifer Lawrence""]
C. [""Dakota Johnson""]
D. [""Scarlett Johansson",Dakota Johnson
"Who reprised his role as Christian Grey in the 2017 movie 'Fifty Shades Freed'?""
Options:
A. [""Robert Pattinson""]
B. [""Jamie Dornan""]
C. [""Ryan Gosling""]
D. [""Leonardo DiCaprio",Jamie Dornan
"In the context of the 2017 movie 'Fifty Shades Freed', who was cast to play the character of Gia Matteo, a beautiful architect hired by Christian to build his home in the preceding movie, 'Fifty Shades Darker'?""
Options:
A. [""Dakota Johnson""]
B. [""Arielle Kebbel""]
C. [""Jamie Dornan""]
D. [""Jennifer Ehle",Arielle Kebbel
"In the 2017 movie 'Fifty Shades Freed', who was cast as Jack Hyde, Ana's boss at SIP and a stalker, in the previous movie 'Fifty Shades Darker'?""
Options:
A. [""Jamie Dornan""]
B. [""Dakota Johnson""]
C. [""Eric Johnson""]
D. [""Luke Grimes",Eric Johnson
"In the context of the 2017 movie 'Fifty Shades Freed', who was signed on to play the role of Sawyer, Christian's personal bodyguard for Ana, in the prequel 'Fifty Shades Darker'?""
Options:
A. [""Jamie Dornan""]
B. [""Dakota Johnson""]
C. [""Brant Daugherty""]
D. [""Eloise Mumford",Brant Daugherty
"In the context of the production of the 2017 movie 'Fifty Shades Freed', when did the principal photography for the film commence?""]
Options:
A. [""Late 2015""]
B. [""Early 2016""]
C. [""Mid 2016""]
D. [""Late 2016",Early 2016
"In which year did Universal Studios announce that 'Fifty Shades Freed' would be shot back-to-back with 'Fifty Shades Darker'?""
Options:
A. [""2014""]
B. [""2015""]
C. [""2016""]
D. [""2017",2015
"In which year did Universal Studios announce that 'Fifty Shades Freed' (2017) and 'Fifty Shades Darker' would be shot back-to-back?""
Options:
A. [""2013""]
B. [""2015""]
C. [""2017""]
D. [""2019",2015
