node_1,node_2,edge,chunk_id,count
victoria,jellicles,"Abandoned by her owner in the streets of London, Victoria is rescued and introduced to a group of alley cats known as the Jellicles who prepare her for the annual Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
victoria,mistoffelees,Mr. Mistoffelees takes Victoria under his wing and shows her the world of the Jellicles during their preparations for the Jellicle Ball.,7b059e8ead6c4c12876d0304882b08a9,4
jennanyadots,mice and roaches,"Jennyanydots, a domestic tabby, helps mice and roaches boost productivity during the day and sleeps at night.",7b059e8ead6c4c12876d0304882b08a9,4
rum tum tugger,decisiveness,The Rum Tum Tugger is an indecisive cat who riles up the other cats during preparations for the Jellicle Ball.,7b059e8ead6c4c12876d0304882b08a9,4
bustopher jones,garbage scraps,"Bustopher Jones, a bourgeois cat, shares food scraps from garbage with other cats during preparations for the Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
skimbleshanks,train supervision,"Skimbleshanks, a tidy ginger cat, tap dances and supervises the operation of a train during preparations for the Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
gus,theatrical roles,"Gus, an aged theatrical cat, has played some of the biggest roles in history during preparations for the Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
mungojerrie,trouble and messing,"The mischievous twins, Mungojerrie and Rumpleteazer, enjoy causing trouble and messing with things during preparations for the Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
victoria,family dog,"The family dog is alerted to the presence of Victoria, Mungojerrie, and Rumpleteazer during preparations for the Jellicle Ball.",7b059e8ead6c4c12876d0304882b08a9,4
mr. mistoffelees,victoria and dog,Mr. Mistoffelees comes to rescue Victoria from the dog's presence during preparations for the Jellicle Ball.,7b059e8ead6c4c12876d0304882b08a9,4
victoria,old deuteronomy,Old Deuteronomy witnesses their quiet camaraderie and assures Victoria that she can become a Jellicle herself in time.,81720b35df4b41a08fa37f839641909b,4
grizabella,victoria,Victoria relates to Grizabella's feelings of abandonment.,81720b35df4b41a08fa37f839641909b,4
cassandra,grizabella,Cassandra harasses Grizabella,81720b35df4b41a08fa37f839641909b,4
macavity,grizabella,"Among other things, her past allegiance with Macavity",81720b35df4b41a08fa37f839641909b,4
bombalurina,jellicles present,Distracts the Jellicles present with a song and dance number praising Macavity and simultaneously incapacitating them with catnip.,81720b35df4b41a08fa37f839641909b,4
old deuteronomy,mr. mistoffelees,"Old Deuteronomy asks Mr. Mistoffelees to use his powers to conjure Old Deuteronomy back, and he eventually succeeds in doing so.",a7586ef4a3a840d287a79e5fc26b90a7,4
old deuteronomy,cats,The cats rejoice and praise Old Deuteronomy when he reappears.,a7586ef4a3a840d287a79e5fc26b90a7,4
mr. mistoffelees,victoria,Mr. Mistoffelees and Victoria dance together after Mr. Mistoffelees makes Old Deuteronomy reappear.,a7586ef4a3a840d287a79e5fc26b90a7,4
macavity,cats,The cats begin to free themselves via Jennyanydots' costume change when Macavity and Bombalurina teleport away from his victims.,a7586ef4a3a840d287a79e5fc26b90a7,4
growltiger,defenseless,"Macavity leaves his lackey, Growltiger, to walk the plank defenseless against the emancipated cats.",a7586ef4a3a840d287a79e5fc26b90a7,4
victoria,grizabella,Victoria vouches for Grizabella and urges her to sing her true feelings when she returns to the Egyptian Theatre.,a7586ef4a3a840d287a79e5fc26b90a7,4
old deuteronomy,grizabella,Old Deuteronomy names Grizabella the Jellicle Choice and sends her off to the Heaviside Layer in a chandelier.,a7586ef4a3a840d287a79e5fc26b90a7,4
macavity,rope,"Macavity leaps onto a rope from the chandelier, but falls onto Nelson's Column in one last attempt to reach the Heaviside Layer.",a7586ef4a3a840d287a79e5fc26b90a7,4
jellicles,lion statue,"The Jellicles, reunited with their kidnapped brethren, and perched on a lion statue, watch Grizabella ascend as the morning sun appears above the horizon.",a7586ef4a3a840d287a79e5fc26b90a7,4
grizabella,jellicles,"The Jellicles listen to Grizabella's passionate ballad about her mistakes, her former glory, and her beauty, sentiments that touch their hearts.",a7586ef4a3a840d287a79e5fc26b90a7,4
old deuteronomy,victoria,Old Deuteronomy welcomes Victoria to the tribe at the end of the story.,a7586ef4a3a840d287a79e5fc26b90a7,4
