Question & Options,Correct Answer
"In the movie 'Krrish' (2006), which of the following statements about Hrithik Roshan's character are correct?
Options:
A. A. He is a scientist.
B. B. He is Krishna's father.
C. C. He is an antagonist in the movie.
D. D. He has a superhuman ability.","A, B"
"In the movie 'Krrish' (2006), which of the following statements are true regarding the character Krishna Mehra/Krrish and Hrithik Roshan's role?
Options:
A. Hrithik Roshan plays the character of Krishna Mehra.
B. Krishna Mehra is the son of Hrithik Roshan.
C. Krishna Mehra and Krrish are the same character.
D. Hrithik Roshan is known for his role in the 'Krrish' franchise.","Hrithik Roshan plays the character of Krishna Mehra., Krishna Mehra and Krrish are the same character., Hrithik Roshan is known for his role in the 'Krrish' franchise."
"In the movie 'Krrish' (2006), which of the following statements are true regarding the cast?
Options:
A. A) Priyanka Chopra plays the love interest of Krishna Mehra.
B. B) Hrithik Roshan portrays the character Krishna Mehra.
C. C) Priyanka Chopra is the main antagonist in the film.
D. D) Hrithik Roshan is the lead actor in 'Krrish'.","A) Priyanka Chopra plays the love interest of Krishna Mehra., B) Hrithik Roshan portrays the character Krishna Mehra., D) Hrithik Roshan is the lead actor in 'Krrish'."
"In the movie 'Krrish' (2006), which of the following statements about the character Sonia Mehra are true?
Options:
A. Rekha plays the character of Sonia Mehra
B. Sonia Mehra is Krishna's grandmother
C. Sonia Mehra is Rohit's mother
D. Sonia Mehra is a superhero","Rekha plays the character of Sonia Mehra, Sonia Mehra is Krishna's grandmother, Sonia Mehra is Rohit's mother"
"In the movie 'Krrish' (2006), which of the following statements are true regarding the character Dr. Siddhant Arya?
Options:
A. A. Naseeruddin Shah portrays Dr. Siddhant Arya.
B. B. Dr. Siddhant Arya is a superhero in the film.
C. C. Dr. Siddhant Arya is a scientist.
D. D. Naseeruddin Shah is known for playing comedic roles.","A, C"
"In the movie 'Krrish' (2006), which of the following statements about the characters played by Sharat Saxena and Vikram Sinha are correct?
Options:
A. A) Sharat Saxena portrays Vikram Sinha.
B. B) Vikram Sinha is Dr. Arya's senior security officer.
C. C) Sharat Saxena is a villain in the movie.
D. D) Vikram Sinha works under Dr. Arya.","A, D"
"In the movie 'Krrish' (2006), which of the following statements about the character Priya and Manini Mishra is correct?
Options:
A. Manini Mishra plays the role of Priya's friend Honey.
B. Priya is a superhero in the film.
C. Manini Mishra is a villain in the movie.
D. Priya is portrayed as a strong supporting character.","Manini Mishra plays the role of Priya's friend Honey., Priya is portrayed as a strong supporting character."
"In the movie 'Krrish' (2006), which of the following statements about the characters played by Puneet Issar and Komal Singh are correct?
Options:
A. A) Puneet Issar plays the character of Komal Singh.
B. B) Komal Singh is the camp leader of Priya.
C. C) Puneet Issar is the camp leader in the movie.
D. D) Komal Singh is portrayed by Puneet Issar.","B, C"
"In the movie 'Krrish' (2006), which of the following statements about the characters Akash Khurana and Father Robericks are true?
Options:
A. Akash Khurana plays the role of Father Robericks.
B. Father Robericks is a principal at a Catholic school.
C. Akash Khurana is a superhero character.
D. Father Robericks is a villain in the movie.","Akash Khurana plays the role of Father Robericks., Father Robericks is a principal at a Catholic school."
"In the movie 'Krrish' (2006), which of the following statements are true regarding the character relationships?
Options:
A. A. Hemant Pandey plays the role of Bahadur.
B. B. Bahadur is Krishna's enemy.
C. C. Hemant Pandey is a supporting character in the film.
D. D. Bahadur is Krishna's friend.","A, C, D"
"In the movie 'Krrish' (2006), which of the following statements are true regarding the character Zain Khan?
Options:
A. A. Zain Khan plays the role of Chintu.
B. B. Chintu is a villain in the movie.
C. C. Zain Khan is one of Krishna's friends.
D. D. Chintu has superpowers.","A, C"
"In the movie 'Krrish' (2006), which of the following statements about Fardeen Hussaini's character are correct?
Options:
A. Fardeen Hussaini plays Krishna's friend.
B. Fardeen Hussaini is the main antagonist.
C. Fardeen Hussaini is one of Krishna's friends.
D. Fardeen Hussaini has a romantic relationship with Krishna.","Fardeen Hussaini plays Krishna's friend., Fardeen Hussaini is one of Krishna's friends."
"In the movie 'Krrish' (2006), which of the following statements about Mickey Dhamijani and Krishna's friends are true?
Options:
A. Mickey Dhamijani is one of Krishna's friends.
B. Mickey Dhamijani plays the main antagonist in the movie.
C. Mickey Dhamijani is a character who supports Krishna.
D. Mickey Dhamijani appears alongside other friends of Krishna.","Mickey Dhamijani is one of Krishna's friends., Mickey Dhamijani is a character who supports Krishna., Mickey Dhamijani appears alongside other friends of Krishna."
"In the movie 'Krrish' (2006), which of the following statements are true regarding the character Nayantara?
Options:
A. Archana Puran Singh plays the role of Nayantara.
B. Nayantara is the boss of Priya and Honey.
C. Nayantara is a superhero in the movie.
D. Nayantara has a romantic relationship with Krrish.","Archana Puran Singh plays the role of Nayantara., Nayantara is the boss of Priya and Honey."
"In the movie 'Krrish' (2006), which of the following statements about Kiran Juneja's character are true?
Options:
A. A. Kiran Juneja plays the role of Priya's mother.
B. B. Kiran Juneja is the main antagonist in the film.
C. C. Kiran Juneja's character is supportive of Priya.
D. D. Kiran Juneja has a significant role in the film's climax.","A, C"
"In the movie 'Krrish' (2006), which of the following statements about Preity Zinta's character are correct?
Options:
A. A. Preity Zinta plays the role of Nisha Mehra.
B. B. Nisha Mehra is Krishna's aunt.
C. C. Nisha Mehra is Rohit's wife.
D. D. Preity Zinta's character is Krishna's mother.","A, C, D"
"In the movie 'Krrish' (2006), which characters are portrayed by Rakesh Roshan?
Options:
A. Dr. Sanjay Mehra
B. Krishna's grandfather
C. Rohit's father
D. Rohit Mehra","Dr. Sanjay Mehra, Krishna's grandfather, Rohit's father"
