Question,Answer,generated_answer
"[""Was the cast list for the movie 'Dragonball Evolution' released in 2009 not provided in the context?""]",no,yes
"[""Was the context providing the cast list for the movie 'Dragonball Evolution' released in 2009?""]",yes,yes
"[""Was the character Goku in the 2009 movie 'Dragonball Evolution' portrayed by an actor other than Justin Chatwin?""]",no,yes
"[""Did Justin Chatwin portray the character Goku in the 2009 movie 'Dragonball Evolution'?""]",yes,yes
"[""Was the role of Master Roshi in the 2009 movie 'Dragonball Evolution' played by an actor other than Chow Yun-fat?""]",no,yes
"[""Did Chow Yun-fat play the role of Master Roshi in the 2009 movie 'Dragonball Evolution'?""]",yes,yes
"[""Was the character of Bulma in the 2009 movie 'Dragonball Evolution' played by an actress other than Emmy Rossum?""]",no,yes
"[""Did Emmy Rossum portray the character of Bulma in the 2009 movie 'Dragonball Evolution'?""]",yes,yes
"[""In the 2009 movie Dragonball Evolution, was the character Chi-Chi played by an actress other than Jamie Chung?""]",no,yes
"[""Did Jamie Chung play the character Chi-Chi in the 2009 movie Dragonball Evolution?""]",yes,yes
"[""Was the character King Piccolo in the 2009 movie 'Dragonball Evolution' performed by an actor other than James Marsters?""]",no,yes
"[""Did James Marsters perform the character King Piccolo in the 2009 movie 'Dragonball Evolution'?""]",yes,yes
"[""Did Chris Evans portray the character Yamcha in the 2009 movie Dragonball Evolution?""]",no,yes
"[""Was the character Yamcha in the 2009 movie Dragonball Evolution portrayed by Joon Park?""]",yes,yes
"[""Did Eriko Tamura not play the role of Mai in the 2009 film Dragonball Evolution?""]",no,yes
"[""Did Eriko Tamura take on the role of Mai in the 2009 adaptation of Dragonball Evolution?""]",yes,yes
"[""Did Jackie Chan play the role of Grandpa Gohan in the 2009 movie Dragonball Evolution?""]",no,yes
"[""In the 2009 film Dragonball Evolution, was the character Grandpa Gohan played by Randall Duk Kim?""]",yes,yes
"[""Was the character Ōzaru in the 2009 movie 'Dragonball Evolution' played by an actor other than Ian Whyte?""]",no,yes
"[""In the 2009 film 'Dragonball Evolution', was the character Ōzaru portrayed by Ian Whyte?""]",yes,yes
"[""Did Ernie Hudson play the character Sifu Norris in the 2009 film Dragonball Evolution?""]",yes,yes
"[""Was the character Sifu Norris in the 2009 movie Dragonball Evolution played by an actor other than Ernie Hudson?""]",no,yes
"[""Did Texas Battle not represent Carey Fuller in the 2009 movie Dragonball Evolution?""]",no,yes
"[""Does Texas Battle play the role of Carey Fuller in the 2009 film Dragonball Evolution?""]",yes,yes
"[""Did Richard Blake not perform the role of Agundes in the 2009 movie Dragonball Evolution?""]",no,yes
"[""Did Richard Blake perform the role of Agundes in the 2009 movie Dragonball Evolution?""]",yes,yes
"[""Did Megumi Seki not play the role of Seki in the 2009 movie Dragonball Evolution?""]",no,yes
"[""In the 2009 movie Dragonball Evolution, did Megumi Seki take on the role of Seki?""]",yes,yes
"[""Was the character Emi in the 2009 movie 'Dragonball Evolution' portrayed by an actor named John Smith?""]",no,yes
"[""Did Shavon Kirksey portray the character Emi in the 2009 movie 'Dragonball Evolution'?""]",yes,yes
"[""Is it true that in the 2009 movie Dragonball Evolution, Jon Valera did not play the character Moreno?""]",no,yes
"[""In the movie Dragonball Evolution released in 2009, was the character Moreno played by Jon Valera?""]",yes,yes
